FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Almen,Abdi,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,140,0,0,0,0,0,0,0,0.0,3,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,54,0,250,0,0,0,3,0,0,0,West Brom,Everton,Man City,Sunderland,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie,Adam,MID,STK,4700000,6,12,0.307692307692308,6.54664484451719e-08,2.5531914893617e-06,0,3763,3,4,0,0,0,0,0,2.6,153,-3,0,12,3,0.6,0,3.0,0,0,1,0,1,0.1,2884,0,109,0,0,411,1221,0,0,58,Burnley,Arsenal,Southampton,Leicester,Liverpool,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.77777777777778e-07,5.55555555555556e-07,0,9954,0,2,0,0,0,0,0,0.6,30,-1,0,3,1,0.0,0,0.0,0,0,0,0,0,0.0,660,0,0,0,0,122,11,0,0,6,Hull City,Southampton,Liverpool,Swansea,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Adrian,GLK,WHU,4900000,0,37,3.4,6.93877551020408e-07,7.55102040816327e-06,0,76765,1,20,0,37,0,0,0,7.6,4812,-1,0,37,1,0.1,0,0.7,3,0,3,0,0,2.4,52525,0,356,0,0,990,423,0,0,198,Arsenal,Liverpool,Burnley,Hull City,Swansea,4.6,3.9,4.4,4.0,3.3,2.0,3.1,4.0,3.3,3.3,3.3,4.0,3.3,3.6,3.3,3.7,3.6,4.4,3.6,2.5,4.4,4.3,4.2,5.1,2.7
Ibrahim,Afellay,MID,STK,5400000,0,0,0.0,0.0,0.0,0,424,0,0,0,0,0,0,0,0.0,14,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,168,0,270,0,0,0,15,0,0,0,Burnley,Arsenal,Southampton,Leicester,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benik,Afobe,FWD,BOU,5600000,1,9,1.0,1.78571428571429e-07,1.6071428571428601e-06,0,21698,0,2,0,0,0,0,0,1.6,399,-4,0,9,4,0.2,0,1.0,0,0,0,0,0,0.3,5173,0,146,0,0,165,172,0,0,11,Liverpool,Burnley,Leicester,Southampton,Chelsea,0.8,0.5,0.9,0.6,0.5,0.5,0.5,0.6,0.6,0.7,0.5,0.7,0.5,0.5,0.8,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.9,0.5
Sergio,Aguero,FWD,MCI,13100000,12,75,6.8,5.19083969465649e-07,5.72519083969466e-06,0,1593726,3,10,0,0,0,10,0,5.7,24843,1,0,75,-1,0.5,1,6.7,16,0,2,0,1,44.2,1624905,0,789,0,4,916,53166,0,0,294,Chelsea,Leicester,Watford,Arsenal,Hull City,8.6,8.1,9.2,8.6,9.1,8.3,10.2,8.1,9.7,8.6,8.9,7.9,9.0,8.5,8.7,10.0,9.1,7.9,9.0,8.4,9.1,9.5,8.8,10.2,9.0
Ola,Aina,DEF,CHE,4600000,0,1,0.0256410256410256,5.57413600891862e-09,2.1739130434782601e-07,0,4319,0,0,0,0,0,0,0,0.2,47,-4,0,1,4,0.0,0,0.0,0,0,0,0,0,0.1,417,0,0,0,0,9,12,0,0,3,Man City,West Brom,Sunderland,Crystal Palace,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan,Ake,DEF,BOU,4200000,1,18,0.46153846153846206,1.0989010989011e-07,4.28571428571429e-06,0,42801,0,5,0,0,0,1,0,4.3,2269,-3,0,18,3,1.3,0,5.3,3,0,1,0,0,1.8,41584,0,232,0,1,195,14791,0,0,73,Liverpool,Burnley,Leicester,Southampton,Chelsea,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Chuba,Akpom,FWD,ARS,5100000,0,0,0.0,0.0,0.0,0,8411,0,0,0,0,0,0,0,0.0,47,-4,0,0,4,0.0,0,0.0,0,0,0,0,0,0.1,1137,0,0,0,0,0,8,0,0,0,West Ham,Stoke,Everton,Man City,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marc,Albrighton,MID,LEI,5000000,1,22,2.2,4.4e-07,4.4e-06,0,54159,1,13,0,0,0,0,0,4.4,928,-5,0,22,5,0.2,0,1.0,0,0,4,0,0,0.8,8917,0,519,0,0,699,277,0,0,93,Sunderland,Man City,Bournemouth,Stoke,Everton,1.5,1.4,1.1,1.2,2.3,1.8,1.5,1.5,1.1,1.1,2.0,1.2,1.4,1.8,1.1,1.1,1.7,2.7,1.1,1.1,1.8,1.1,2.0,1.1,2.2
Toby,Alderweireld,DEF,TOT,6300000,0,31,3.9,6.19047619047619e-07,4.920634920634919e-06,0,560473,0,3,0,0,0,0,0,4.9,14561,-2,0,31,2,0.0,0,0.0,0,0,4,0,0,10.1,70717,0,598,0,0,689,482,0,0,157,Swansea,Man Utd,Hull City,Burnley,Southampton,0.0,3.0,5.0,5.4,4.0,4.0,4.5,4.9,3.3,3.1,4.3,4.4,5.3,5.3,4.5,5.3,3.2,4.0,4.9,5.8,2.5,5.4,4.5,3.9,4.2
Trent,Alexander-Arnold,MID,LIV,4400000,0,0,0.0,0.0,0.0,0,967,0,0,0,0,0,0,0,0.0,24,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,823,0,0,0,0,0,26,0,0,0,Bournemouth,West Ham,Middlesbrough,Everton,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe,Allen,MID,STK,5300000,0,57,4.8,9.056603773584909e-07,1.07547169811321e-05,0,378663,4,17,0,0,0,4,0,10.8,31183,3,0,57,-3,0.1,0,0.7,9,0,3,0,2,13.7,835619,0,132,0,1,982,29740,0,0,253,Burnley,Arsenal,Southampton,Leicester,Liverpool,6.1,4.3,5.1,6.6,3.1,4.1,5.2,6.3,5.3,5.8,5.2,4.4,4.3,5.1,4.4,4.0,5.5,4.9,3.8,4.9,5.7,4.8,4.6,3.4,4.9
Bamidele,Alli,MID,TOT,8100000,5,48,4.0,4.938271604938271e-07,5.92592592592593e-06,0,374675,2,7,0,0,0,3,0,5.9,2904,-4,0,48,4,0.2,0,2.0,3,0,4,0,2,5.0,122362,0,666,0,0,896,26678,0,0,153,Swansea,Man Utd,Hull City,Burnley,Southampton,4.2,3.7,4.3,5.3,3.1,3.7,3.6,4.1,2.7,4.3,4.5,2.0,4.0,5.0,3.5,4.5,3.1,3.7,4.6,5.0,3.6,3.0,2.9,4.7,3.6
Ryan,Allsop,GLK,BOU,4000000,0,0,0.0,0.0,0.0,0,77,0,0,0,0,0,0,0,0.0,54,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,577,0,0,0,0,0,206,0,0,0,Liverpool,Burnley,Leicester,Southampton,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcos,Alonso,DEF,CHE,6200000,2,48,6.0,9.677419354838708e-07,7.74193548387097e-06,0,18767,1,1,0,0,0,1,0,7.7,8021,2,-1,48,-2,1.1,0,7.0,1,0,6,0,1,5.9,243978,0,0,0,1,666,21573,1,0,187,Man City,West Brom,Sunderland,Crystal Palace,Bournemouth,6.6,8.3,6.3,7.9,9.0,8.0,7.1,5.3,8.3,7.0,8.1,6.5,7.9,7.3,8.4,8.0,8.1,7.3,6.8,6.2,8.7,6.4,7.6,7.7,8.1
