FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Almen,Abdi,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,156,0,0,0,0,0,0,0,0.0,7,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,66,0,250,0,0,0,5,0,0,0,Crystal Palace,Tottenham,Stoke,Middlesbrough,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie,Adam,MID,STK,4700000,1,28,0.549019607843137,1.1681268251981599e-07,5.95744680851064e-06,0,9156,3,8,0,0,0,1,0,6.0,3396,-3,0,28,3,0.9,0,4.4,2,0,3,0,1,0.5,22612,0,109,0,0,672,4720,0,0,105,Liverpool,Chelsea,Watford,Sunderland,Man Utd,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.77777777777778e-07,5.55555555555556e-07,0,10042,0,2,0,0,0,0,0,0.6,16,-1,0,3,1,0.0,0,0.0,0,0,0,0,0,0.0,706,0,0,0,0,122,9,0,0,6,Burnley,Man Utd,Leicester,Watford,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Adrian,GLK,WHU,4800000,0,37,3.4,7.08333333333333e-07,7.70833333333333e-06,0,91456,1,20,0,37,0,0,0,7.7,3578,-2,0,37,2,0.0,0,0.0,3,0,3,0,0,2.1,53984,0,356,0,0,990,156,0,0,198,Swansea,Leicester,Man Utd,Crystal Palace,Middlesbrough,2.8,1.9,3.1,4.0,3.0,3.8,3.4,4.1,2.9,3.6,3.1,3.7,3.4,4.2,3.9,2.4,4.2,4.1,4.6,4.8,2.6
Ibrahim,Afellay,MID,STK,5400000,0,0,0.0,0.0,0.0,0,486,0,0,0,0,0,0,0,0.0,21,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,235,0,270,0,0,0,24,0,0,0,Liverpool,Chelsea,Watford,Sunderland,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benik,Afobe,FWD,BOU,5600000,1,26,2.0,3.5714285714285705e-07,4.64285714285714e-06,0,27171,0,6,0,0,0,1,0,4.6,3956,-4,0,26,4,0.6,0,3.6,1,0,1,0,2,0.6,22201,0,146,0,0,365,3178,0,0,61,Chelsea,Swansea,Arsenal,Hull City,Watford,1.0,1.5,1.8,1.7,2.0,2.0,1.0,2.0,1.2,1.0,2.2,2.3,1.0,1.2,1.5,1.0,1.8,1.1,1.7,2.4,1.2
Sergio,Aguero,FWD,MCI,12800000,0,74,6.2,4.84375e-07,5.78125e-06,0,2707707,3,13,0,0,0,10,0,5.8,31083,-2,0,74,2,0.2,1,2.2,16,0,2,0,1,17.4,1633055,0,789,0,4,1006,4049,0,1,284,Hull City,Liverpool,Burnley,Everton,Tottenham,0.0,7.8,9.3,7.4,8.8,7.6,8.7,6.7,7.9,7.5,8.1,8.8,8.0,6.6,8.7,7.0,8.5,7.8,8.2,9.3,7.7
Ola,Aina,DEF,CHE,4600000,0,1,0.0196078431372549,4.26257459505541e-09,2.1739130434782601e-07,0,4496,0,0,0,0,0,0,0,0.2,44,-4,0,1,4,0.0,0,0.0,0,0,0,0,0,0.1,494,0,0,0,0,9,19,0,0,3,Bournemouth,Stoke,Tottenham,Leicester,Hull City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan,Ake,DEF,BOU,4400000,8,42,0.823529411764706,1.8716577540107e-07,9.54545454545455e-06,0,67620,0,14,0,0,0,3,0,9.5,16810,-1,0,42,1,1.1,0,5.0,6,0,2,0,0,5.3,200747,0,232,0,1,555,20744,0,0,183,Chelsea,Swansea,Arsenal,Hull City,Watford,0.0,0.4,0.8,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.8,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.6,0.4
Chuba,Akpom,FWD,ARS,5100000,0,0,0.0,0.0,0.0,0,8593,0,0,0,0,0,0,0,0.0,52,-4,0,0,4,0.0,0,0.0,0,0,0,0,0,0.1,1193,0,0,0,0,0,18,0,0,0,West Brom,Crystal Palace,Bournemouth,Swansea,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marc,Albrighton,MID,LEI,5000000,1,29,2.1,4.2e-07,5.7999999999999995e-06,0,57420,2,19,0,0,0,0,0,5.8,866,-5,0,29,5,0.3,0,1.6,0,0,4,0,0,0.7,10272,0,519,0,0,1005,297,0,0,159,Everton,West Ham,Middlesbrough,Chelsea,Southampton,2.0,1.7,1.1,1.4,1.0,1.0,1.8,1.0,1.2,1.9,1.0,1.0,1.6,2.7,1.0,1.0,1.7,1.0,2.1,1.0,2.1
Toby,Alderweireld,DEF,TOT,6300000,0,39,3.9,6.19047619047619e-07,6.190476190476191e-06,0,585994,0,4,0,0,0,0,0,6.2,13095,-2,0,39,2,0.3,0,1.6,0,0,5,0,0,9.7,84066,0,598,0,0,869,524,0,0,206,Southampton,Watford,Chelsea,West Brom,Man City,3.9,3.3,4.5,5.1,3.4,2.8,4.8,4.2,5.6,5.2,4.0,5.8,2.9,3.2,5.1,5.8,2.2,5.6,4.2,4.1,3.8
Trent,Alexander-Arnold,MID,LIV,4300000,0,1,0.0196078431372549,4.55996352029184e-09,2.3255813953488398e-07,0,1081,0,0,0,0,0,0,0,0.2,22,-2,0,1,2,0.0,0,0.2,0,0,0,0,0,0.0,909,0,0,0,0,1,13,0,0,1,Stoke,Man City,Sunderland,Man Utd,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe,Allen,MID,STK,5200000,7,72,4.5,8.653846153846149e-07,1.38461538461538e-05,0,506610,5,22,0,0,0,5,0,13.8,16082,2,0,72,-2,0.6,0,3.0,9,0,4,0,3,12.7,927686,0,132,0,1,1282,39640,0,0,312,Liverpool,Chelsea,Watford,Sunderland,Man Utd,2.9,3.6,5.6,5.5,4.9,5.3,4.4,4.4,3.2,5.0,3.7,3.9,4.7,4.3,3.4,5.0,4.5,4.7,4.0,3.4,4.0
Bamidele,Alli,MID,TOT,8100000,9,71,4.4,5.4320987654321e-07,8.765432098765429e-06,0,401926,2,9,0,0,0,4,0,8.8,7137,-4,0,71,4,0.7,0,5.6,5,0,6,0,4,5.1,153059,0,666,0,0,1209,6190,0,0,219,Southampton,Watford,Chelsea,West Brom,Man City,3.1,3.9,4.4,5.1,2.8,4.6,5.5,2.2,4.9,5.7,3.6,5.4,3.4,3.6,6.0,5.8,3.8,3.8,2.9,5.4,3.6
