FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Almen,Abdi,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,165,0,0,0,0,0,0,0,0.0,4,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,74,0,250,0,0,0,4,0,0,0,Middlesbrough,Bournemouth,Arsenal,Burnley,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie,Adam,MID,STK,4700000,11,40,0.666666666666667,1.41843971631206e-07,8.510638297872341e-06,0,20465,4,12,0,0,0,1,0,8.5,6041,-3,0,40,3,0.7,0,3.3,4,0,4,0,3,0.8,46373,0,109,0,1,845,20687,0,0,143,Sunderland,Man Utd,Everton,West Brom,Crystal Palace,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.77777777777778e-07,5.55555555555556e-07,0,10115,0,2,0,0,0,0,0,0.6,40,-1,0,3,1,0.0,0,0.0,0,0,0,0,0,0.0,760,0,0,0,0,122,30,0,0,6,Watford,West Ham,West Brom,Tottenham,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Adrian,GLK,WHU,4700000,0,37,3.4,7.23404255319149e-07,7.872340425531911e-06,0,100116,1,20,0,37,0,0,0,7.9,3448,-3,0,37,3,0.0,0,0.0,3,0,3,0,0,1.9,54735,0,356,0,0,990,389,0,0,198,Crystal Palace,Middlesbrough,Man City,Southampton,West Brom,4.1,3.2,3.8,3.7,4.1,3.0,3.8,3.3,3.6,3.6,4.0,3.8,2.4,3.9,3.8,4.3,4.7,2.3
Ibrahim,Afellay,MID,STK,5400000,1,4,0.0666666666666667,1.23456790123457e-08,7.407407407407409e-07,0,662,0,2,0,0,0,0,0,0.7,104,-1,0,4,1,0.2,0,1.0,0,0,0,0,0,0.0,684,0,270,0,0,100,170,0,0,17,Sunderland,Man Utd,Everton,West Brom,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benik,Afobe,FWD,BOU,5600000,0,33,2.2,3.9285714285714297e-07,5.89285714285714e-06,0,40188,0,7,0,0,0,2,0,5.9,6851,-4,0,33,4,0.4,0,2.0,1,0,2,0,2,0.8,42713,0,146,0,0,480,7137,0,0,89,Hull City,Watford,Crystal Palace,Everton,Man City,2.1,2.3,2.4,1.2,2.2,1.4,1.3,2.5,2.5,1.3,1.4,1.7,1.1,2.1,1.4,2.1,2.8,1.4
Sergio,Aguero,FWD,MCI,12800000,7,83,5.9,4.609375e-07,6.484375e-06,0,2758200,3,15,0,0,0,11,0,6.5,34195,-2,0,83,2,0.2,1,2.3,18,0,2,0,1,22.3,1901089,0,789,0,4,1141,78394,0,1,310,Everton,Tottenham,West Ham,Swansea,Bournemouth,6.5,8.2,7.3,8.1,6.7,7.4,7.0,7.9,8.5,7.0,5.7,8.3,6.9,8.1,7.1,8.0,8.9,7.3
Ola,Aina,DEF,CHE,4600000,0,2,0.0333333333333333,7.2463768115942e-09,4.3478260869565203e-07,0,4604,0,0,0,0,0,0,0,0.4,52,-4,0,2,4,0.1,0,0.3,0,0,0,0,0,0.1,538,0,0,0,0,10,19,0,0,6,Leicester,Hull City,Liverpool,Arsenal,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan,Ake,DEF,CHE,4400000,1,51,0.85,1.9318181818181802e-07,1.1590909090909101e-05,0,173021,0,17,0,0,0,3,0,11.6,92587,-1,0,51,1,1.0,0,4.3,8,0,3,0,0,8.5,439080,0,232,0,2,735,84927,0,0,236,Leicester,Hull City,Liverpool,Arsenal,Burnley,0.4,0.5,0.4,0.6,0.4,0.4,0.5,0.5,0.4,0.5,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.4
Chuba,Akpom,FWD,ARS,5100000,0,0,0.0,0.0,0.0,0,8725,0,0,0,0,0,0,0,0.0,61,-4,0,0,4,0.0,0,0.0,0,0,0,0,0,0.1,1272,0,0,0,0,0,45,0,0,0,Swansea,Burnley,Watford,Chelsea,Hull City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marc,Albrighton,MID,LEI,5000000,1,39,2.3,4.6e-07,7.8e-06,0,60598,3,21,0,0,0,0,0,7.8,1846,-5,0,39,5,0.6,0,2.8,2,0,5,0,1,0.7,14729,0,519,0,0,1193,1197,0,0,208,Chelsea,Southampton,Burnley,Man Utd,Swansea,1.6,1.2,1.2,1.9,1.3,1.4,2.1,1.2,1.2,2.0,3.0,1.2,1.2,1.8,1.2,2.4,1.2,2.2
Toby,Alderweireld,DEF,TOT,6300000,6,47,3.9,6.19047619047619e-07,7.460317460317461e-06,0,609766,0,5,0,0,0,0,0,7.5,5671,-2,0,47,2,0.3,0,2.0,0,0,6,0,0,9.2,89206,0,598,0,0,1049,3583,0,0,249,West Brom,Man City,Sunderland,Middlesbrough,Liverpool,5.1,3.6,2.8,5.0,4.1,5.6,4.9,4.2,5.8,2.6,3.7,5.1,5.7,2.4,5.7,4.4,3.9,4.1
Trent,Alexander-Arnold,MID,LIV,4300000,0,1,0.0166666666666667,3.875968992248061e-09,2.3255813953488398e-07,0,1164,0,0,0,0,0,0,0,0.2,45,-2,0,1,2,0.0,0,0.0,0,0,0,0,0,0.0,987,0,0,0,0,1,34,0,0,1,Man Utd,Swansea,Chelsea,Hull City,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe,Allen,MID,STK,5300000,3,78,4.1,7.73584905660377e-07,1.47169811320755e-05,0,629882,6,30,0,0,0,5,0,14.7,67587,3,0,78,-3,0.6,0,3.3,9,0,5,0,3,13.0,1065047,0,132,0,1,1552,56334,0,0,347,Sunderland,Man Utd,Everton,West Brom,Crystal Palace,4.6,4.2,4.8,3.6,4.0,2.6,4.7,3.0,3.7,3.9,3.5,3.3,4.5,3.9,4.1,3.3,3.3,3.3
Bamidele,Alli,MID,TOT,8600000,15,115,6.1,7.093023255813949e-07,1.33720930232558e-05,0,434103,3,10,0,0,0,10,0,13.7,14926,1,-3,115,-1,1.5,0,13.3,12,0,8,0,4,21.4,871437,0,666,0,3,1444,553496,3,0,342,West Brom,Man City,Sunderland,Middlesbrough,Liverpool,8.1,5.1,6.6,8.5,3.8,8.1,8.6,6.1,8.3,5.8,6.4,9.1,8.6,6.4,6.6,5.3,7.9,6.1
Ryan,Allsop,GLK,BOU,4000000,0,0,0.0,0.0,0.0,0,670,0,0,0,0,0,0,0,0.0,193,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,2388,0,0,0,0,0,447,0,0,0,Hull City,Watford,Crystal Palace,Everton,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcos,Alonso,DEF,CHE,6500000,1,83,5.5,8.46153846153846e-07,1.2769230769230801e-05,0,116937,2,6,0,0,0,1,0,12.8,47029,5,0,83,-5,0.6,0,4.0,3,0,10,0,3,8.5,436345,0,0,0,1,1270,11121,0,0,333,Leicester,Hull City,Liverpool,Arsenal,Burnley,4.6,7.9,6.5,7.9,5.0,7.4,6.6,7.7,6.7,7.6,7.4,6.3,5.3,8.1,5.7,7.7,6.5,7.4
Daniel,Amartey,MID,LEI,4500000,3,44,2.6,5.77777777777778e-07,9.77777777777778e-06,0,18628,3,25,0,0,0,1,0,9.8,7429,0,0,44,0,1.0,0,4.3,3,0,4,0,1,0.3,26571,0,23,0,1,1377,1545,0,0,207,Chelsea,Southampton,Burnley,Man Utd,Swansea,0.0,1.3,1.4,2.3,1.6,1.7,2.5,1.3,1.3,2.4,3.5,1.4,1.5,2.2,1.4,2.9,1.3,2.6
Jordi,Amat,DEF,SWA,4100000,0,20,1.3,3.17073170731707e-07,4.8780487804877996e-06,0,321144,5,34,0,0,0,0,0,4.9,41449,1,0,20,-1,0.1,0,0.3,0,0,2,0,0,10.9,388028,0,63,0,0,1350,11443,0,0,224,Arsenal,Liverpool,Southampton,Man City,Leicester,1.1,0.9,1.2,0.7,0.7,0.6,1.0,0.8,0.7,0.8,1.0,1.1,0.7,1.1,0.6,0.8,0.6,0.9
Nordin,Amrabat,MID,WAT,5000000,0,46,2.6,5.2e-07,9.2e-06,0,14823,3,32,0,0,0,0,0,9.2,2508,0,0,46,0,0.3,0,1.5,5,0,2,0,3,0.1,15564,0,74,0,0,1403,146,0,0,185,Middlesbrough,Bournemouth,Arsenal,Burnley,Man Utd,0.0,0.0,1.3,3.2,1.7,2.1,2.4,1.3,1.7,3.4,2.3,1.3,2.3,1.7,1.6,1.8,1.6,1.8
Keshi,Anderson,FWD,CRY,4500000,0,0,0.0,0.0,0.0,0,2352,0,0,0,0,0,0,0,0.0,46,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1700,0,0,0,0,0,27,0,0,0,West Ham,Everton,Bournemouth,Sunderland,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Angelino,DEF,MCI,4300000,0,0,0.0,0.0,0.0,0,2511,0,0,0,0,0,0,0,0.0,185,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,904,0,0,0,0,0,14,0,0,0,Everton,Tottenham,West Ham,Swansea,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
