FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Almen,Abdi,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,168,0,0,0,0,0,0,0,0.0,3,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,74,0,250,0,0,0,0,0,0,0,Bournemouth,Arsenal,Burnley,Man Utd,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie,Adam,MID,STK,4700000,4,44,0.698412698412698,1.48598446470787e-07,9.36170212765957e-06,0,24246,5,13,0,0,0,1,0,9.4,3568,-3,0,44,3,0.9,0,4.0,4,0,4,0,4,0.8,50014,0,109,0,1,912,3260,0,0,160,Man Utd,Everton,West Brom,Crystal Palace,Tottenham,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.77777777777778e-07,5.55555555555556e-07,0,10131,0,2,0,0,0,0,0,0.6,15,-1,0,3,1,0.0,0,0.0,0,0,0,0,0,0.0,771,0,0,0,0,122,10,0,0,6,West Ham,West Brom,Tottenham,Everton,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Adrian,GLK,WHU,4700000,0,37,3.4,7.23404255319149e-07,7.872340425531911e-06,0,102120,1,20,0,37,0,0,0,7.9,1892,-3,0,37,3,0.0,0,0.0,3,0,3,0,0,1.8,54836,0,356,0,0,990,88,0,0,198,Middlesbrough,Man City,Southampton,West Brom,Watford,3.1,4.0,3.6,4.3,2.9,3.9,3.2,3.6,3.3,3.9,3.8,2.4,4.0,3.5,4.3,4.8,2.3
Ibrahim,Afellay,MID,STK,5400000,1,5,0.0793650793650794,1.4697236919459098e-08,9.25925925925926e-07,0,763,0,2,0,0,0,0,0,0.9,97,-1,0,5,1,0.2,0,1.3,0,0,0,0,0,0.0,729,0,270,0,0,123,41,0,0,19,Man Utd,Everton,West Brom,Crystal Palace,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benik,Afobe,FWD,BOU,5600000,1,34,2.1,3.75e-07,6.0714285714285694e-06,0,44580,0,9,0,0,0,2,0,6.1,4157,-4,0,34,4,0.4,0,2.0,1,0,2,0,2,0.7,45640,0,146,0,0,534,2619,0,0,85,Watford,Crystal Palace,Everton,Man City,West Brom,2.1,2.3,1.0,2.2,1.3,1.2,2.1,2.3,1.3,1.3,1.5,1.0,1.9,1.3,1.9,2.6,1.4
Sergio,Aguero,FWD,MCI,12800000,2,85,5.7,4.453125e-07,6.640625e-06,0,2827385,3,19,0,0,0,11,0,6.6,67870,-2,0,85,2,0.2,1,2.8,18,0,2,0,1,21.0,1915835,0,789,0,4,1231,9289,0,1,313,Tottenham,West Ham,Swansea,Bournemouth,Man Utd,7.9,6.5,7.8,6.3,7.2,6.7,7.7,8.4,6.5,5.2,8.2,6.7,8.1,6.4,7.9,8.5,6.6
Ola,Aina,DEF,CHE,4600000,0,2,0.0317460317460317,6.901311249137341e-09,4.3478260869565203e-07,0,4640,0,0,0,0,0,0,0,0.4,36,-4,0,2,4,0.1,0,0.3,0,0,0,0,0,0.1,563,0,0,0,0,10,24,0,0,6,Hull City,Liverpool,Arsenal,Burnley,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan,Ake,DEF,CHE,4200000,0,51,0.8095238095238091,1.92743764172336e-07,1.21428571428571e-05,0,271911,0,17,0,0,0,3,0,11.9,94496,-3,2,51,3,0.5,0,2.3,8,0,3,0,0,6.5,450610,0,232,0,2,735,9880,-2,0,236,Hull City,Liverpool,Arsenal,Burnley,Swansea,0.5,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.4
Chuba,Akpom,FWD,ARS,5100000,0,0,0.0,0.0,0.0,0,8762,0,0,0,0,0,0,0,0.0,37,-4,0,0,4,0.0,0,0.0,0,0,0,0,0,0.1,1302,0,0,0,0,0,29,0,0,0,Burnley,Watford,Chelsea,Hull City,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
