FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Almen,Abdi,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,171,0,0,0,0,0,0,0,0.0,3,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,77,0,250,0,0,0,3,0,0,0,Arsenal,Burnley,Man Utd,West Ham,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie,Adam,MID,STK,4700000,3,47,0.712121212121212,1.51515151515151e-07,1e-05,0,27262,5,13,0,0,0,1,0,10.0,2864,-3,0,47,3,1.3,0,6.0,4,0,5,0,4,0.8,53598,0,109,0,1,974,3439,0,0,166,Everton,West Brom,Crystal Palace,Tottenham,Middlesbrough,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.77777777777778e-07,5.55555555555556e-07,0,10149,0,2,0,0,0,0,0,0.6,18,-1,0,3,1,0.0,0,0.0,0,0,0,0,0,0.0,783,0,0,0,0,122,12,0,0,6,West Brom,Tottenham,Everton,Crystal Palace,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Adrian,GLK,WHU,4700000,0,37,3.4,7.23404255319149e-07,7.872340425531911e-06,0,103578,1,20,0,37,0,0,0,7.9,1384,-3,0,37,3,0.0,0,0.0,3,0,3,0,0,1.8,54910,0,356,0,0,990,71,0,0,198,Man City,Southampton,West Brom,Watford,Chelsea,4.0,3.6,4.4,3.0,3.9,3.2,3.6,3.3,4.0,3.6,2.5,3.9,3.6,4.3,4.7,2.3
Ibrahim,Afellay,MID,STK,5400000,1,6,0.0909090909090909,1.68350168350168e-08,1.11111111111111e-06,0,839,0,3,0,0,0,0,0,1.1,73,-1,0,6,1,0.2,0,1.0,0,0,0,0,0,0.0,790,0,270,0,0,151,59,0,0,21,Everton,West Brom,Crystal Palace,Tottenham,Middlesbrough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benik,Afobe,FWD,BOU,5600000,7,41,2.4,4.28571428571429e-07,7.32142857142857e-06,0,47341,0,9,0,0,0,3,0,7.3,2577,-4,0,41,4,0.5,0,2.7,3,0,2,0,2,0.8,50681,0,146,0,0,551,4863,0,0,111,Crystal Palace,Everton,Man City,West Brom,Man Utd,2.5,1.3,2.7,1.5,1.6,2.5,2.8,1.6,1.7,1.9,1.3,2.3,2.0,2.4,3.1,1.7
Sergio,Aguero,FWD,MCI,12800000,2,87,5.4,4.21875e-07,6.796875e-06,0,2883686,3,21,0,0,0,11,0,6.8,52389,-2,0,87,2,0.3,1,3.7,18,0,2,0,1,19.8,1922914,0,789,0,4,1321,6835,0,1,319,West Ham,Swansea,Bournemouth,Sunderland,Stoke,6.2,7.3,5.9,0.0,6.3,7.1,7.8,6.0,4.8,7.8,6.2,7.4,6.1,7.3,8.1,6.1
Ola,Aina,DEF,CHE,4500000,0,2,0.0303030303030303,6.73400673400673e-09,4.44444444444444e-07,0,4672,0,0,0,0,0,0,0,0.4,31,-5,1,2,5,0.0,0,0.0,0,0,0,0,0,0.1,577,0,0,0,0,10,14,-1,0,6,Liverpool,Arsenal,Burnley,Swansea,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan,Ake,DEF,CHE,4100000,0,51,0.7727272727272729,1.8847006651884698e-07,1.2439024390243901e-05,0,325239,0,17,0,0,0,3,0,12.1,50129,-4,1,51,4,0.1,0,0.3,8,0,3,0,0,5.5,460395,0,232,0,2,735,9335,-1,0,236,Liverpool,Arsenal,Burnley,Swansea,West Ham,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.4
Chuba,Akpom,FWD,ARS,5100000,0,0,0.0,0.0,0.0,0,8800,0,0,0,0,0,0,0,0.0,37,-4,0,0,4,0.0,0,0.0,0,0,0,0,0,0.1,1330,0,0,0,0,0,26,0,0,0,Watford,Chelsea,Hull City,Liverpool,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marc,Albrighton,MID,LEI,5000000,1,42,2.2,4.4e-07,8.400000000000001e-06,0,62889,3,25,0,0,0,0,0,8.4,980,-5,0,42,5,0.3,0,1.3,2,0,5,0,1,0.7,15778,0,519,0,0,1314,387,0,0,228,Burnley,Man Utd,Swansea,Liverpool,Hull City,1.1,1.8,1.3,1.3,2.6,1.1,1.1,1.8,2.7,1.1,1.2,1.7,1.1,2.3,1.1,2.0
Toby,Alderweireld,DEF,TOT,6300000,1,54,3.9,6.19047619047619e-07,8.571428571428571e-06,0,621002,0,7,0,0,0,0,0,8.6,7545,-2,0,54,2,0.7,0,4.3,0,0,7,0,0,8.9,92836,0,598,0,0,1203,1193,0,0,292,Sunderland,Middlesbrough,Liverpool,Stoke,Everton,2.7,4.9,4.2,5.4,5.0,4.2,5.8,2.6,3.7,5.0,5.7,2.5,5.7,4.3,3.9,3.7
Trent,Alexander-Arnold,MID,LIV,4300000,0,3,0.0454545454545454,1.05708245243129e-08,6.976744186046509e-07,0,1306,0,1,0,0,0,0,0,0.7,87,-2,0,3,2,0.2,0,0.7,0,0,0,0,0,0.0,1444,0,0,0,0,91,138,0,0,15,Chelsea,Hull City,Tottenham,Leicester,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe,Allen,MID,STK,5200000,1,81,3.9,7.5e-07,1.55769230769231e-05,0,741828,7,32,0,0,0,5,0,15.3,41102,2,1,81,-2,0.4,0,2.0,9,0,5,0,3,11.2,1099015,0,132,0,1,1732,17781,-1,0,369,Everton,West Brom,Crystal Palace,Tottenham,Middlesbrough,4.2,3.0,3.8,2.4,4.4,2.8,3.3,3.8,3.3,2.9,5.3,3.8,3.3,3.1,3.0,3.0
Bamidele,Alli,MID,TOT,8800000,6,127,6.0,6.81818181818182e-07,1.4431818181818201e-05,0,489170,4,12,0,0,0,11,0,14.6,7941,3,-1,127,-3,1.0,0,9.0,12,0,9,0,5,26.8,1156460,0,666,0,3,1624,167378,1,0,379,Sunderland,Middlesbrough,Liverpool,Stoke,Everton,6.4,8.4,3.8,7.8,8.3,6.0,8.3,5.6,6.4,9.0,8.4,6.3,6.4,4.4,7.9,6.6
Ryan,Allsop,GLK,BOU,4000000,0,0,0.0,0.0,0.0,0,841,0,0,0,0,0,0,0,0.0,67,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,2655,0,0,0,0,0,113,0,0,0,Crystal Palace,Everton,Man City,West Brom,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcos,Alonso,DEF,CHE,6600000,6,110,6.5,9.84848484848485e-07,1.6666666666666698e-05,0,138576,2,6,0,0,0,3,0,16.7,15069,6,0,110,-6,1.4,0,9.3,6,0,12,0,3,11.7,586555,0,0,0,2,1450,27152,0,0,411,Liverpool,Arsenal,Burnley,Swansea,West Ham,7.8,9.1,6.5,8.9,7.8,9.5,8.1,9.0,9.3,7.5,6.8,9.8,7.5,9.2,7.7,9.2
