FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Almen,Abdi,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,171,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,77,0,250,0,0,0,0,0,0,0,Burnley,Man Utd,West Ham,Southampton,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie,Adam,MID,STK,4700000,3,50,0.7246376811594201,1.54178230033919e-07,1.06382978723404e-05,0,29569,5,14,0,0,0,1,0,10.6,2179,-3,0,50,3,0.7,0,3.3,5,0,5,0,4,0.8,55082,0,109,0,1,1064,1300,0,0,186,West Brom,Crystal Palace,Tottenham,Middlesbrough,Man City,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.77777777777778e-07,5.55555555555556e-07,0,10159,0,2,0,0,0,0,0,0.6,10,-1,0,3,1,0.0,0,0.0,0,0,0,0,0,0.0,787,0,0,0,0,122,4,0,0,6,Tottenham,Everton,Crystal Palace,Stoke,Sunderland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Adrian,GLK,WHU,4600000,0,37,0.5362318840579711,1.16572148708255e-07,8.04347826086956e-06,0,104570,1,20,0,37,0,0,0,7.9,936,-4,1,37,4,0.0,0,0.0,3,0,3,0,0,1.8,54956,0,356,0,0,990,46,-1,0,198,Southampton,West Brom,Watford,Chelsea,Bournemouth,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Ibrahim,Afellay,MID,STK,5400000,2,8,0.11594202898550698,2.14707461084273e-08,1.48148148148148e-06,0,879,0,4,0,0,0,0,0,1.5,37,-1,0,8,1,0.2,0,1.3,0,0,0,0,0,0.0,824,0,270,0,0,241,33,0,0,34,West Brom,Crystal Palace,Tottenham,Middlesbrough,Man City,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Benik,Afobe,FWD,BOU,5600000,2,43,2.4,4.28571428571429e-07,7.67857142857143e-06,0,51007,0,10,0,0,0,3,0,7.7,3554,-4,0,43,4,0.6,0,3.3,3,0,2,0,2,0.7,52655,0,146,0,0,611,1781,0,0,118,Everton,Man City,West Brom,Man Utd,West Ham,1.3,2.5,1.6,1.6,2.5,2.8,1.7,1.8,1.9,1.3,2.3,1.9,2.3,3.1,1.8
Sergio,Aguero,FWD,MCI,12800000,1,88,5.2,4.0625e-07,6.875e-06,0,2924004,3,21,0,0,0,11,0,6.9,38196,-2,0,88,2,0.1,1,1.7,18,0,2,0,1,19.1,1934144,0,789,0,4,1339,10796,0,1,320,Swansea,Bournemouth,Sunderland,Stoke,Liverpool,7.1,5.9,0.0,6.2,6.7,7.3,6.0,4.6,7.4,6.0,7.0,5.9,6.5,7.8,6.0
Ola,Aina,DEF,CHE,4500000,0,2,0.0289855072463768,6.44122383252818e-09,4.44444444444444e-07,0,4684,0,0,0,0,0,0,0,0.4,11,-5,0,2,5,0.0,0,0.0,0,0,0,0,0,0.1,580,0,0,0,0,10,3,0,0,6,Arsenal,Burnley,Swansea,West Ham,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan,Ake,DEF,CHE,4000000,0,51,0.7391304347826091,1.84782608695652e-07,1.275e-05,0,349542,0,17,0,0,0,3,0,12.4,22388,-5,1,51,5,0.0,0,0.0,8,0,3,0,0,5.1,467989,0,232,0,2,735,7064,-1,0,236,Arsenal,Burnley,Swansea,West Ham,Watford,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4
Chuba,Akpom,FWD,ARS,5100000,0,0,0.0,0.0,0.0,0,8832,0,0,0,0,0,0,0,0.0,31,-4,0,0,4,0.0,0,0.0,0,0,0,0,0,0.1,1333,0,0,0,0,0,3,0,0,0,Chelsea,Hull City,Liverpool,Leicester,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
