FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Almen,Abdi,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,175,0,0,0,0,0,0,0,0.0,4,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,80,0,250,0,0,0,3,0,0,0,Man Utd,West Ham,Southampton,Chelsea,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie,Adam,MID,STK,4700000,1,51,3.0,6.382978723404259e-07,1.08510638297872e-05,0,32622,5,15,0,0,0,1,0,10.9,2994,-3,0,51,3,0.6,0,2.8,5,0,5,0,4,0.7,56226,0,109,0,1,1121,1104,0,0,192,Crystal Palace,Tottenham,Middlesbrough,Man City,Chelsea,2.5,1.5,3.0,1.8,2.3,2.5,2.1,2.0,3.7,2.4,2.1,2.0,2.0,1.9
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.77777777777778e-07,5.55555555555556e-07,0,10172,0,2,0,0,0,0,0,0.6,13,-1,0,3,1,0.0,0,0.0,0,0,0,0,0,0.0,799,0,0,0,0,122,12,0,0,6,Everton,Crystal Palace,Stoke,Sunderland,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Adrian,GLK,WHU,4600000,0,37,0.513888888888889,1.1171497584541099e-07,8.04347826086956e-06,0,105642,1,20,0,37,0,0,0,8.0,1043,-4,0,37,4,0.0,0,0.0,3,0,3,0,0,1.7,55052,0,356,0,0,990,94,0,0,198,West Brom,Watford,Chelsea,Bournemouth,Leicester,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Ibrahim,Afellay,MID,STK,5400000,2,10,0.138888888888889,2.5720164609053503e-08,1.8518518518518502e-06,0,929,0,5,0,0,0,0,0,1.9,50,-1,0,10,1,0.3,0,1.5,0,0,0,0,0,0.0,919,0,270,0,0,309,92,0,0,46,Crystal Palace,Tottenham,Middlesbrough,Man City,Chelsea,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Benik,Afobe,FWD,BOU,5500000,1,44,2.3,4.18181818181818e-07,8e-06,0,56153,0,12,0,0,0,3,0,7.9,5034,-5,1,44,5,0.5,0,2.8,3,0,2,0,2,0.7,53683,0,146,0,0,619,924,-1,0,126,Man City,West Brom,Man Utd,West Ham,Swansea,2.4,1.4,1.5,2.3,2.6,1.6,1.7,1.7,1.2,2.2,1.7,2.3,2.9,1.7
Sergio,Aguero,FWD,MCI,12700000,1,89,4.9,3.8582677165354293e-07,7.00787401574803e-06,0,3011828,3,21,0,0,0,11,0,7.0,86570,-3,1,89,3,0.1,1,1.5,18,0,2,0,1,17.1,1935670,0,789,0,4,1347,1141,-1,1,319,Bournemouth,Sunderland,Stoke,Liverpool,Arsenal,5.5,0.0,5.9,6.3,6.9,5.4,4.2,7.1,5.6,6.5,5.4,6.0,7.3,5.5
Ola,Aina,DEF,CHE,4500000,0,2,0.0277777777777778,6.17283950617284e-09,4.44444444444444e-07,0,4701,0,0,0,0,0,0,0,0.4,17,-5,0,2,5,0.0,0,0.0,0,0,0,0,0,0.1,592,0,0,0,0,10,12,0,0,6,Burnley,Swansea,West Ham,Watford,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan,Ake,DEF,CHE,4000000,0,51,0.708333333333333,1.7708333333333302e-07,1.275e-05,0,373692,0,17,0,0,0,3,0,12.8,23406,-5,0,51,5,0.0,0,0.0,8,0,3,0,0,4.8,477892,0,232,0,2,735,9524,0,0,236,Burnley,Swansea,West Ham,Watford,Stoke,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4
Chuba,Akpom,FWD,ARS,5100000,0,0,0.0,0.0,0.0,0,8864,0,0,0,0,0,0,0,0.0,32,-4,0,0,4,0.0,0,0.0,0,0,0,0,0,0.1,1339,0,0,0,0,0,6,0,0,0,Hull City,Liverpool,Leicester,West Brom,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
