FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Almen,Abdi,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,178,0,0,0,0,0,0,0,0.0,3,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,83,0,250,0,0,0,3,0,0,0,West Ham,Southampton,Crystal Palace,Sunderland,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie,Adam,MID,STK,4700000,3,54,3.0,6.382978723404259e-07,1.14893617021277e-05,0,35325,5,15,0,0,0,1,0,11.5,2608,-3,0,54,3,0.5,0,2.3,5,0,6,0,4,0.7,56759,0,109,0,1,1199,477,0,0,204,Tottenham,Middlesbrough,Man City,Chelsea,Leicester,1.5,3.1,1.8,2.3,2.5,2.1,2.1,3.8,2.3,2.2,2.0,2.1,1.9
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.77777777777778e-07,5.55555555555556e-07,0,10184,0,2,0,0,0,0,0,0.6,12,-1,0,3,1,0.0,0,0.0,0,0,0,0,0,0.0,806,0,0,0,0,122,7,0,0,6,Crystal Palace,Stoke,Man Utd,Swansea,Hull City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Adrian,GLK,WHU,4600000,0,37,0.4933333333333329,1.0724637681159401e-07,8.04347826086956e-06,0,106817,1,20,0,37,0,0,0,8.0,1134,-4,0,37,4,0.0,0,0.0,3,0,3,0,0,1.7,55154,0,356,0,0,990,96,0,0,198,Watford,Chelsea,Bournemouth,Leicester,Hull City,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2
Ibrahim,Afellay,MID,STK,5400000,1,11,0.146666666666667,2.7160493827160497e-08,2.03703703703704e-06,0,999,0,5,0,0,0,0,0,2.0,70,-1,0,11,1,0.3,0,1.7,0,0,0,0,0,0.0,943,0,270,0,0,321,22,0,0,50,Tottenham,Middlesbrough,Man City,Chelsea,Leicester,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Benik,Afobe,FWD,BOU,5500000,1,45,2.3,4.18181818181818e-07,8.18181818181818e-06,0,58855,0,13,0,0,0,3,0,8.2,2479,-5,0,45,5,0.2,0,1.3,3,0,2,0,2,0.6,55068,0,146,0,0,662,1330,0,0,131,West Brom,Man Utd,West Ham,Swansea,Southampton,1.5,1.5,2.3,2.5,1.6,1.7,1.7,1.2,2.1,1.9,2.2,2.8,1.8
Sergio,Aguero,FWD,MCI,12700000,5,94,4.9,3.8582677165354293e-07,7.4015748031496095e-06,0,3040551,3,21,0,0,0,11,0,7.4,25200,-3,0,94,3,0.2,1,2.3,18,0,3,0,2,16.8,1951519,0,789,0,4,1423,15805,0,1,329,Sunderland,Stoke,Liverpool,Arsenal,Chelsea,0.0,6.1,6.3,6.9,5.4,4.3,7.1,5.6,6.4,5.3,6.1,7.2,5.5
Ola,Aina,DEF,CHE,4500000,0,2,0.0266666666666667,5.92592592592593e-09,4.44444444444444e-07,0,4727,0,0,0,0,0,0,0,0.4,24,-5,0,2,5,0.0,0,0.0,0,0,0,0,0,0.1,604,0,0,0,0,10,12,0,0,6,Swansea,West Ham,Stoke,Crystal Palace,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan,Ake,DEF,CHE,3900000,0,51,0.68,1.74358974358974e-07,1.30769230769231e-05,0,395151,0,17,0,0,0,3,0,13.1,20439,-6,1,51,6,0.0,0,0.0,8,0,3,0,0,4.6,490427,0,232,0,2,735,12085,-1,0,236,Swansea,West Ham,Stoke,Crystal Palace,Man City,0.3,0.3,0.0,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3
Chuba,Akpom,FWD,ARS,5100000,0,0,0.0,0.0,0.0,0,8892,0,0,0,0,0,0,0,0.0,26,-4,0,0,4,0.0,0,0.0,0,0,0,0,0,0.1,1349,0,0,0,0,0,9,0,0,0,Liverpool,West Brom,Man City,West Ham,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
