FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Almen,Abdi,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,183,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,87,0,250,0,0,0,0,0,0,0,Crystal Palace,Sunderland,West Brom,Tottenham,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie,Adam,MID,STK,4700000,0,54,2.8,5.95744680851064e-07,1.14893617021277e-05,0,43071,6,19,0,0,0,1,0,11.5,5571,-3,0,54,3,0.2,0,0.8,5,0,6,0,4,0.6,60017,0,109,0,1,1258,79,0,0,204,Chelsea,Leicester,Burnley,Liverpool,Hull City,0.0,2.1,2.0,1.8,2.0,3.4,1.9,2.0,1.7,2.0,1.6
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.77777777777778e-07,5.55555555555556e-07,0,10208,0,2,0,0,0,0,0,0.6,17,-1,0,3,1,0.0,0,0.0,0,0,0,0,0,0.0,818,0,0,0,0,122,7,0,0,6,Man Utd,Swansea,Hull City,Burnley,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Adrian,GLK,WHU,4600000,0,37,0.45679012345679,9.93022007514761e-08,8.04347826086956e-06,0,107947,1,20,0,37,0,0,0,8.0,592,-4,0,37,4,0.0,0,0.0,3,0,3,0,0,1.7,55409,0,356,0,0,990,223,0,0,198,Bournemouth,Leicester,Hull City,Arsenal,Swansea,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Ibrahim,Afellay,MID,STK,5400000,2,14,0.172839506172839,3.20073159579332e-08,2.59259259259259e-06,0,1138,0,5,0,0,0,0,0,2.6,84,-1,0,14,1,0.2,0,1.0,0,0,0,0,0,0.0,1092,0,270,0,0,378,20,0,0,61,Chelsea,Leicester,Burnley,Liverpool,Hull City,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Benik,Afobe,FWD,BOU,5400000,2,48,2.2,4.0740740740740706e-07,8.88888888888889e-06,0,62705,0,14,0,0,0,3,0,8.9,1327,-6,0,48,6,0.2,0,1.3,3,0,2,0,2,0.7,63825,0,146,0,0,777,7981,0,0,135,West Ham,Swansea,Southampton,Liverpool,Chelsea,2.2,2.4,1.6,1.6,1.7,1.2,2.1,1.8,2.1,2.6,1.6
Sergio,Aguero,FWD,MCI,12800000,9,103,4.9,3.828125e-07,8.046875e-06,0,3222569,3,21,0,0,0,12,0,8.0,177568,-2,0,103,2,0.4,1,4.7,19,0,5,0,2,21.5,2340691,0,789,0,4,1603,11111,0,1,368,Liverpool,Arsenal,Chelsea,Hull City,Southampton,0.0,6.9,5.5,4.6,7.0,5.8,6.2,5.4,5.7,7.3,5.7
Daniel,Agyei,FWD,BUR,4500000,0,0,0.0,0.0,0.0,0,69,0,0,0,0,0,0,0,0.0,41,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,202,0,0,0,0,0,66,0,0,0,Liverpool,Sunderland,Tottenham,Stoke,Middlesbrough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ola,Aina,DEF,CHE,4500000,0,2,0.0246913580246914,5.48696844993141e-09,4.44444444444444e-07,0,4747,0,0,0,0,0,0,0,0.4,9,-5,0,2,5,0.0,0,0.0,0,0,0,0,0,0.1,618,0,0,0,0,10,11,0,0,6,Stoke,Crystal Palace,Man City,Bournemouth,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan,Ake,DEF,CHE,3900000,0,51,0.62962962962963,1.6144349477682801e-07,1.30769230769231e-05,0,419116,0,17,0,0,0,3,0,13.1,11979,-6,0,51,6,0.0,0,0.0,8,0,3,0,0,4.5,510802,0,232,0,2,735,6230,0,0,236,Stoke,Crystal Palace,Man City,Bournemouth,Man Utd,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Chuba,Akpom,FWD,ARS,5100000,0,0,0.0,0.0,0.0,0,8914,0,0,0,0,0,0,0,0.0,14,-4,0,0,4,0.0,0,0.0,0,0,0,0,0,0.1,1352,0,0,0,0,0,1,0,0,0,West Brom,Man City,West Ham,Crystal Palace,Middlesbrough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marc,Albrighton,MID,LEI,4900000,2,53,2.3,4.6938775510204106e-07,1.0816326530612199e-05,0,66796,3,29,0,0,0,0,0,10.8,1159,-6,0,53,6,0.6,0,2.7,2,0,6,0,2,0.7,20153,0,519,0,0,1615,498,0,0,271,West Ham,Stoke,Sunderland,Everton,Crystal Palace,0.0,1.2,2.1,2.7,1.2,1.3,1.9,1.2,2.6,1.2,2.0
Toby,Alderweireld,DEF,TOT,6300000,1,71,3.7,5.87301587301587e-07,1.12698412698413e-05,0,640907,1,11,0,0,0,0,0,11.3,3298,-2,0,71,2,0.1,0,0.7,3,0,9,0,0,8.8,110369,0,598,0,0,1611,568,0,0,382,Southampton,Burnley,Swansea,Watford,Bournemouth,0.0,5.3,2.2,3.1,4.5,5.4,2.2,5.4,4.1,3.8,3.3
Trent,Alexander-Arnold,MID,LIV,4300000,1,5,0.0617283950617284,1.4355440712029901e-08,1.16279069767442e-06,0,1617,0,1,0,0,0,0,0,1.2,59,-2,0,5,2,0.2,0,0.7,0,0,0,0,0,0.0,1704,0,0,0,0,93,30,0,0,21,Burnley,Man City,Everton,Bournemouth,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe,Allen,MID,STK,5200000,6,102,3.8,7.307692307692309e-07,1.96153846153846e-05,0,903973,7,38,0,0,0,6,0,19.6,61550,2,-1,102,-2,0.8,0,4.3,10,0,8,0,3,10.9,1249811,0,132,0,1,2242,8029,1,0,432,Chelsea,Leicester,Burnley,Liverpool,Hull City,0.0,3.4,3.3,3.0,3.2,5.2,3.2,3.2,2.8,3.3,2.7
Bamidele,Alli,MID,TOT,8700000,12,155,6.0,6.89655172413793e-07,1.7816091954023003e-05,0,827050,4,16,0,0,0,13,0,17.8,78049,2,0,155,-2,0.8,0,7.3,14,0,12,0,6,23.9,1365481,0,666,0,3,2071,32337,0,0,459,Southampton,Burnley,Swansea,Watford,Bournemouth,0.0,8.0,5.5,5.8,9.0,8.1,6.0,6.9,4.4,7.8,6.3
Ryan,Allsop,GLK,BOU,4000000,0,0,0.0,0.0,0.0,0,1202,0,0,0,0,0,0,0,0.0,81,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,3172,0,0,0,0,0,93,0,0,0,West Ham,Swansea,Southampton,Liverpool,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcos,Alonso,DEF,CHE,6800000,2,126,5.7,8.38235294117647e-07,1.8529411764705898e-05,0,207461,2,11,0,0,0,4,0,18.5,25379,8,0,126,-8,0.3,0,2.0,6,0,12,0,3,14.7,776098,0,0,0,2,1900,6133,0,0,477,Stoke,Crystal Palace,Man City,Bournemouth,Man Utd,0.0,6.7,7.8,7.6,6.8,5.9,8.4,5.9,8.1,6.8,7.6
Daniel,Amartey,MID,LEI,4500000,0,46,2.4,5.33333333333333e-07,1.02222222222222e-05,0,25483,3,25,0,0,0,1,0,10.2,373,0,0,46,0,0.2,0,0.7,3,0,4,0,1,0.2,27215,0,23,0,1,1420,68,0,0,216,West Ham,Stoke,Sunderland,Everton,Crystal Palace,0.0,1.2,2.3,2.9,1.2,1.4,2.1,1.2,2.8,1.2,2.2
Jordi,Amat,DEF,SWA,4000000,1,21,1.3,3.25e-07,5.25e-06,0,438207,5,34,0,0,0,0,0,5.3,10422,0,0,21,0,0.1,0,0.3,0,0,2,0,0,8.5,407963,0,63,0,0,1351,2346,0,0,227,Hull City,Bournemouth,Middlesbrough,Tottenham,West Ham,0.7,0.8,0.9,1.0,1.0,0.6,1.1,0.6,0.8,0.6,1.1
Nordin,Amrabat,MID,WAT,5000000,0,46,2.6,5.2e-07,9.2e-06,0,16855,3,32,0,0,0,0,0,9.2,62,0,0,46,0,0.0,0,0.0,5,0,2,0,3,0.1,15674,0,74,0,0,1403,1,0,0,185,Crystal Palace,Sunderland,West Brom,Tottenham,Swansea,0.0,1.8,3.1,2.2,1.3,2.3,2.1,1.7,1.8,1.5,1.8
Keshi,Anderson,FWD,CRY,4500000,0,0,0.0,0.0,0.0,0,2478,0,0,0,0,0,0,0,0.0,9,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1787,0,0,0,0,0,6,0,0,0,Watford,Chelsea,Southampton,Arsenal,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Angelino,DEF,MCI,4300000,0,0,0.0,0.0,0.0,0,2748,0,0,0,0,0,0,0,0.0,11,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,945,0,0,0,0,0,2,0,0,0,Liverpool,Arsenal,Chelsea,Hull City,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victor,Anichebe,FWD,SUN,4300000,0,37,0.45679012345679,1.06230261269021e-07,8.6046511627907e-06,0,289335,1,12,0,0,0,3,0,8.6,4471,-2,0,37,2,0.0,0,0.0,5,0,2,0,1,1.2,322796,0,0,0,1,715,1863,0,0,131,Burnley,Watford,Leicester,Man Utd,West Ham,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2
Michail,Antonio,MID,WHU,6900000,0,117,4.7,6.81159420289855e-07,1.6956521739130403e-05,0,1163015,4,37,0,0,0,8,0,17.0,17336,-1,0,117,1,0.2,0,1.3,7,0,7,0,7,9.0,1314740,0,452,0,3,2169,40341,0,1,356,Bournemouth,Leicester,Hull City,Arsenal,Swansea,4.3,6.6,5.4,3.5,5.4,5.7,5.5,4.4,5.1,4.2,4.5
Ikechi,Anya,MID,WAT,4500000,0,1,1.0,2.22222222222222e-07,2.22222222222222e-07,0,6068,0,0,0,0,0,0,0,0.2,9,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.1,378,0,176,0,0,10,1,0,0,3,Crystal Palace,Sunderland,West Brom,Tottenham,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alvaro,Arbeloa,DEF,WHU,4500000,0,0,0.0,0.0,0.0,0,5704,3,9,0,0,0,0,0,0.0,19,-5,0,0,5,0.0,0,0.0,0,0,0,0,0,0.1,5271,0,0,0,0,258,44,0,0,34,Bournemouth,Leicester,Hull City,Arsenal,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott,Arfield,MID,BUR,5200000,1,53,2.2,4.23076923076923e-07,1.01923076923077e-05,0,7743,3,27,0,0,0,1,0,10.2,54,-3,0,53,3,0.2,0,1.0,3,0,4,0,2,0.1,4521,0,0,0,1,1511,58,0,0,193,Liverpool,Sunderland,Tottenham,Stoke,Middlesbrough,1.1,1.4,1.9,2.1,1.1,1.1,1.8,1.1,1.9,1.1,1.5
Giedrius,Arlauskis,GLK,WAT,4000000,0,0,0.0,0.0,0.0,0,103,0,0,0,0,0,0,0,0.0,20,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,298,0,0,0,0,0,25,0,0,0,Crystal Palace,Sunderland,West Brom,Tottenham,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marko,Arnautovic,MID,STK,7100000,16,82,3.6,5.07042253521127e-07,1.15492957746479e-05,0,111219,8,27,0,0,0,5,0,11.5,9172,-4,0,82,4,0.7,0,5.0,6,0,8,0,3,1.0,72652,0,528,0,2,1921,2003,0,1,289,Chelsea,Leicester,Burnley,Liverpool,Hull City,0.0,3.2,3.0,2.7,2.9,4.8,2.9,3.0,2.6,3.0,2.4
Harry,Arter,MID,BOU,5000000,1,59,2.3,4.6e-07,1.18e-05,0,20210,8,49,0,0,0,1,0,11.8,295,0,0,59,0,0.3,0,1.3,2,0,6,0,2,0.3,22325,0,188,0,0,2201,767,0,1,380,West Ham,Swansea,Southampton,Liverpool,Chelsea,1.4,1.9,1.2,1.2,1.5,1.2,2.2,1.9,2.0,2.6,1.5
Takuma,Asano,FWD,ARS,4900000,0,0,0.0,0.0,0.0,0,4424,0,0,0,0,0,0,0,0.0,12,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,626,0,0,0,0,0,7,0,0,0,West Brom,Man City,West Ham,Crystal Palace,Middlesbrough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel,Asoro,MID,SUN,4400000,0,1,0.0123456790123457,2.80583613916947e-09,2.2727272727272702e-07,0,612,0,0,0,0,0,0,0,0.2,6,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.0,520,0,0,0,0,10,5,0,0,3,Burnley,Watford,Leicester,Man Utd,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie,Austin,FWD,SOU,6400000,0,59,4.5,7.03125e-07,9.21875e-06,0,896948,1,7,0,0,0,6,0,9.2,990,-1,0,59,1,0.0,0,0.0,10,0,6,0,1,1.9,869501,0,32,0,1,866,40,0,0,211,Tottenham,Bournemouth,Crystal Palace,West Brom,Man City,0.0,0.0,0.0,0.0,0.0,5.6,3.6,6.7,4.9,4.4,5.9
Daniel,Ayala,DEF,MID,4800000,1,23,0.283950617283951,5.9156378600822994e-08,4.79166666666667e-06,0,11023,2,6,0,0,0,1,0,4.8,87,-2,0,23,2,0.2,0,1.0,0,0,2,0,0,0.1,6015,0,0,0,0,487,10,0,0,106,Man Utd,Swansea,Hull City,Burnley,Arsenal,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Andre,Ayew,MID,WHU,7100000,4,36,0.444444444444444,6.25978090766823e-08,5.07042253521127e-06,0,275890,0,9,0,0,0,2,0,5.1,180,-4,0,36,4,0.6,0,4.0,2,0,2,0,1,1.0,10542,0,524,0,0,554,1495,0,0,96,Bournemouth,Leicester,Hull City,Arsenal,Swansea,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Jordan,Ayew,FWD,SWA,5000000,1,3,0.037037037037037,7.407407407407409e-09,6e-07,0,1623,0,1,0,0,0,0,0,0.6,521,0,0,3,0,0.2,0,1.0,0,0,0,0,0,0.1,4543,0,0,0,0,52,816,0,0,6,Hull City,Bournemouth,Middlesbrough,Tottenham,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cesar,Azpilicueta,DEF,CHE,6500000,2,120,4.4,6.76923076923077e-07,1.8461538461538502e-05,0,502089,3,20,0,0,0,0,0,18.5,26923,5,0,120,-5,0.3,0,2.0,16,0,13,0,2,17.8,685584,0,470,0,1,2430,1384,0,0,627,Stoke,Crystal Palace,Man City,Bournemouth,Man Utd,0.0,4.9,6.0,5.3,5.2,4.0,6.3,4.0,5.8,5.0,5.4
,Baba Rahman,DEF,CHE,5500000,0,0,0.0,0.0,0.0,0,1369,0,0,0,0,0,0,0,0.0,15,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,315,0,138,0,0,0,5,0,0,0,Stoke,Crystal Palace,Man City,Bournemouth,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eric,Bailly,DEF,MUN,5300000,0,48,0.592592592592593,1.1180992313067801e-07,9.0566037735849e-06,0,520127,3,11,0,0,0,0,0,9.1,4133,-2,0,48,2,0.8,0,4.0,9,0,5,0,0,6.0,220082,0,0,0,0,1098,1078,0,0,291,Middlesbrough,West Brom,Everton,Sunderland,Chelsea,0.0,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Leighton,Baines,DEF,EVE,5700000,1,100,4.8,8.42105263157895e-07,1.75438596491228e-05,0,520904,2,20,0,0,0,2,0,17.5,6030,2,0,100,-2,0.8,1,4.3,13,0,8,0,3,12.8,696360,0,212,0,1,1874,40523,0,0,448,West Brom,Hull City,Liverpool,Man Utd,Leicester,7.1,7.1,5.4,4.3,6.3,6.9,5.8,6.5,5.0,6.2,5.6
Mario,Balotelli,FWD,LIV,6300000,0,0,0.0,0.0,0.0,0,11838,0,0,0,0,0,0,0,0.0,35,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.2,1933,0,0,0,0,0,23,0,0,0,Burnley,Man City,Everton,Bournemouth,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
