FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Almen,Abdi,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,185,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,89,0,250,0,0,0,2,0,0,0,Crystal Palace,Sunderland,West Brom,Tottenham,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie,Adam,MID,STK,4700000,0,54,2.8,5.95744680851064e-07,1.14893617021277e-05,0,45730,6,19,0,0,0,1,0,11.5,2528,-3,0,54,3,0.0,0,0.0,5,0,6,0,4,0.5,60102,0,109,0,1,1258,85,0,0,204,Chelsea,Leicester,Burnley,Liverpool,Hull City,2.1,2.0,1.8,2.0,3.4,1.9,2.0,1.6,2.0,1.6
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.77777777777778e-07,5.55555555555556e-07,0,10211,0,2,0,0,0,0,0,0.6,3,-1,0,3,1,0.0,0,0.0,0,0,0,0,0,0.0,822,0,0,0,0,122,4,0,0,6,Man Utd,Swansea,Hull City,Burnley,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Adrian,GLK,WHU,4600000,0,37,0.44047619047619,9.57556935817805e-08,8.04347826086956e-06,0,108329,1,20,0,37,0,0,0,8.0,372,-4,0,37,4,0.0,0,0.0,3,0,3,0,0,1.7,55453,0,356,0,0,990,36,0,0,198,Leicester,Hull City,Arsenal,Swansea,Sunderland,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Ibrahim,Afellay,MID,STK,5400000,0,14,0.166666666666667,3.08641975308642e-08,2.59259259259259e-06,0,1182,0,5,0,0,0,0,0,2.6,39,-1,0,14,1,0.2,0,1.0,0,0,0,0,0,0.0,1104,0,270,0,0,378,10,0,0,61,Chelsea,Leicester,Burnley,Liverpool,Hull City,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Benik,Afobe,FWD,BOU,5400000,2,50,2.2,4.0740740740740706e-07,9.25925925925926e-06,0,65834,1,16,0,0,0,3,0,9.3,3089,-6,0,50,6,0.3,1,1.7,3,0,2,0,3,0.7,66967,0,146,0,0,861,2824,0,0,135,Swansea,Southampton,Liverpool,Chelsea,Tottenham,2.4,1.5,1.6,1.7,1.2,2.1,1.8,2.1,2.6,1.6
Sergio,Aguero,FWD,MCI,12700000,0,103,4.9,3.8582677165354293e-07,8.11023622047244e-06,0,3263153,3,21,0,0,0,12,0,8.1,35039,-3,1,103,3,0.4,1,4.5,19,0,5,0,2,21.6,2389176,0,789,0,4,1603,48402,-1,1,368,Liverpool,Arsenal,Chelsea,Hull City,Southampton,6.9,5.5,4.6,7.0,5.8,0.0,5.4,5.7,7.3,5.7
Daniel,Agyei,FWD,BUR,4500000,1,1,0.0119047619047619,2.64550264550265e-09,2.22222222222222e-07,0,92,0,0,0,0,0,0,0,0.2,22,0,0,1,0,0.1,0,0.3,0,0,0,0,0,0.0,277,0,0,0,0,1,74,0,0,3,Sunderland,Tottenham,Stoke,Middlesbrough,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ola,Aina,DEF,CHE,4500000,0,2,0.0238095238095238,5.291005291005289e-09,4.44444444444444e-07,0,4760,0,0,0,0,0,0,0,0.4,13,-5,0,2,5,0.0,0,0.0,0,0,0,0,0,0.1,623,0,0,0,0,10,5,0,0,6,Stoke,Crystal Palace,Man City,Bournemouth,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan,Ake,DEF,CHE,3900000,0,51,0.6071428571428571,1.55677655677656e-07,1.30769230769231e-05,0,428935,0,17,0,0,0,3,0,13.1,9463,-6,0,51,6,0.0,0,0.0,8,0,3,0,0,4.5,518279,0,232,0,2,735,7367,0,0,236,Stoke,Crystal Palace,Man City,Bournemouth,Man Utd,0.3,0.3,0.3,0.3,0.3,0.0,0.3,0.3,0.3,0.3
Chuba,Akpom,FWD,ARS,5100000,0,0,0.0,0.0,0.0,0,8923,0,0,0,0,0,0,0,0.0,9,-4,0,0,4,0.0,0,0.0,0,0,0,0,0,0.1,1354,0,0,0,0,0,2,0,0,0,West Brom,Man City,West Ham,Crystal Palace,Middlesbrough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marc,Albrighton,MID,LEI,4900000,0,53,2.3,4.6938775510204106e-07,1.0816326530612199e-05,0,67428,3,29,0,0,0,0,0,10.8,607,-6,0,53,6,0.7,0,3.5,2,0,6,0,2,0.8,23862,0,519,0,0,1615,3708,0,0,271,West Ham,Stoke,Sunderland,Everton,Crystal Palace,1.2,2.1,2.7,1.2,1.3,0.0,1.2,2.6,1.2,2.0
Toby,Alderweireld,DEF,TOT,6300000,0,71,3.7,5.87301587301587e-07,1.12698412698413e-05,0,641965,1,11,0,0,0,0,0,11.3,967,-2,0,71,2,0.2,0,1.0,3,0,9,0,0,8.9,112863,0,598,0,0,1611,2490,0,0,382,Southampton,Burnley,Swansea,Watford,Bournemouth,5.3,2.2,3.1,4.5,5.4,0.0,5.4,4.1,3.8,3.1
Trent,Alexander-Arnold,MID,LIV,4300000,0,5,0.0595238095238095,1.3842746400885901e-08,1.16279069767442e-06,0,1651,0,1,0,0,0,0,0,1.2,34,-2,0,5,2,0.1,0,0.3,0,0,0,0,0,0.0,1726,0,0,0,0,93,20,0,0,21,Man City,Everton,Bournemouth,Stoke,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe,Allen,MID,STK,5200000,0,102,3.8,7.307692307692309e-07,1.96153846153846e-05,0,935464,7,38,0,0,0,6,0,19.6,29654,2,0,102,-2,0.5,0,2.7,10,0,8,0,3,10.4,1260417,0,132,0,1,2242,10453,0,0,432,Chelsea,Leicester,Burnley,Liverpool,Hull City,3.4,3.3,3.0,3.2,5.2,3.2,3.3,2.7,3.3,2.7
Bamidele,Alli,MID,TOT,8800000,0,155,6.0,6.81818181818182e-07,1.76136363636364e-05,0,836927,4,16,0,0,0,13,0,17.8,7399,3,-1,155,-3,1.1,0,10.0,14,0,12,0,6,26.6,1494657,0,666,0,3,2071,128774,1,0,459,Southampton,Burnley,Swansea,Watford,Bournemouth,8.0,5.5,5.8,9.0,8.1,0.0,6.9,4.4,7.8,6.2
Ryan,Allsop,GLK,BOU,4000000,0,0,0.0,0.0,0.0,0,1258,0,0,0,0,0,0,0,0.0,51,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,3248,0,0,0,0,0,76,0,0,0,Swansea,Southampton,Liverpool,Chelsea,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcos,Alonso,DEF,CHE,6800000,0,126,5.7,8.38235294117647e-07,1.8529411764705898e-05,0,216204,2,11,0,0,0,4,0,18.5,7896,8,0,126,-8,0.3,0,2.0,6,0,12,0,3,15.0,794825,0,0,0,2,1900,18623,0,0,477,Stoke,Crystal Palace,Man City,Bournemouth,Man Utd,6.7,7.8,7.6,6.8,5.9,0.0,5.8,8.1,6.7,7.6
Daniel,Amartey,MID,LEI,4400000,0,46,2.4,5.454545454545451e-07,1.04545454545455e-05,0,25756,3,25,0,0,0,1,0,10.5,255,-1,1,46,1,0.1,0,0.5,3,0,4,0,1,0.2,27345,0,23,0,1,1420,127,-1,0,216,West Ham,Stoke,Sunderland,Everton,Crystal Palace,1.2,2.3,2.9,1.2,1.4,0.0,1.2,2.8,1.2,2.1
Jordi,Amat,DEF,SWA,4000000,0,21,1.2,3e-07,5.25e-06,0,445720,5,36,0,0,0,0,0,5.3,7088,0,0,21,0,0.1,0,0.3,0,0,2,0,0,8.4,410372,0,63,0,0,1409,2360,0,0,237,Bournemouth,Middlesbrough,Tottenham,West Ham,Watford,0.7,0.8,0.9,0.9,0.6,0.9,0.6,0.7,0.6,1.0
Nordin,Amrabat,MID,WAT,5000000,0,46,2.6,5.2e-07,9.2e-06,0,16886,3,32,0,0,0,0,0,9.2,30,0,0,46,0,0.0,0,0.0,5,0,2,0,3,0.1,15706,0,74,0,0,1403,32,0,0,185,Crystal Palace,Sunderland,West Brom,Tottenham,Swansea,1.8,3.1,2.3,1.3,2.3,2.1,1.7,1.8,1.5,1.8
Keshi,Anderson,FWD,CRY,4500000,0,0,0.0,0.0,0.0,0,2490,0,0,0,0,0,0,0,0.0,12,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1797,0,0,0,0,0,10,0,0,0,Watford,Chelsea,Southampton,Arsenal,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Angelino,DEF,MCI,4300000,0,0,0.0,0.0,0.0,0,2760,0,0,0,0,0,0,0,0.0,12,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,949,0,0,0,0,0,4,0,0,0,Liverpool,Arsenal,Chelsea,Hull City,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Victor,Anichebe,FWD,SUN,4300000,0,37,0.44047619047619,1.02436323366556e-07,8.6046511627907e-06,0,292479,1,12,0,0,0,3,0,8.6,3008,-2,0,37,2,0.0,0,0.0,5,0,2,0,1,1.1,325011,0,0,0,1,715,2178,0,0,131,Burnley,Watford,Leicester,Man Utd,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2
Michail,Antonio,MID,WHU,6900000,8,125,4.8,6.956521739130439e-07,1.81159420289855e-05,0,1173243,4,40,0,0,0,9,0,18.1,10042,-1,0,125,1,0.5,0,3.3,8,0,7,0,7,9.6,1350624,0,452,0,3,2259,34088,0,1,385,Leicester,Hull City,Arsenal,Swansea,Sunderland,6.8,5.5,3.6,5.5,5.9,5.7,4.5,5.3,4.3,4.7
Ikechi,Anya,MID,WAT,4500000,0,1,1.0,2.22222222222222e-07,2.22222222222222e-07,0,6078,0,0,0,0,0,0,0,0.2,10,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.1,381,0,176,0,0,10,3,0,0,3,Crystal Palace,Sunderland,West Brom,Tottenham,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alvaro,Arbeloa,DEF,WHU,4500000,0,0,0.0,0.0,0.0,0,5727,3,9,0,0,0,0,0,0.0,23,-5,0,0,5,0.0,0,0.0,0,0,0,0,0,0.1,5295,0,0,0,0,258,23,0,0,34,Leicester,Hull City,Arsenal,Swansea,Sunderland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scott,Arfield,MID,BUR,5200000,2,55,2.2,4.23076923076923e-07,1.05769230769231e-05,0,7792,3,29,0,0,0,1,0,10.6,49,-3,0,55,3,0.3,0,1.3,3,0,4,0,2,0.1,4568,0,0,0,1,1600,45,0,0,204,Sunderland,Tottenham,Stoke,Middlesbrough,Everton,1.4,1.9,2.1,1.1,1.1,1.8,1.1,2.0,1.1,1.5
Giedrius,Arlauskis,GLK,WAT,4000000,0,0,0.0,0.0,0.0,0,114,0,0,0,0,0,0,0,0.0,11,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,322,0,0,0,0,0,23,0,0,0,Crystal Palace,Sunderland,West Brom,Tottenham,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marko,Arnautovic,MID,STK,7100000,0,82,3.6,5.07042253521127e-07,1.15492957746479e-05,0,114339,8,27,0,0,0,5,0,11.5,2820,-4,0,82,4,0.8,0,5.7,6,0,8,0,3,0.9,73512,0,528,0,2,1921,851,0,1,289,Chelsea,Leicester,Burnley,Liverpool,Hull City,3.2,3.0,2.8,2.9,4.8,2.9,3.0,2.5,3.0,2.4
Harry,Arter,MID,BOU,5000000,2,61,2.3,4.6e-07,1.22e-05,0,21143,8,51,0,0,0,1,0,12.2,928,0,0,61,0,0.3,0,1.7,2,0,6,0,2,0.3,22508,0,188,0,0,2291,146,0,1,387,Swansea,Southampton,Liverpool,Chelsea,Tottenham,0.0,1.2,1.2,1.5,1.2,2.2,1.9,2.0,2.7,1.5
Takuma,Asano,FWD,ARS,4900000,0,0,0.0,0.0,0.0,0,4433,0,0,0,0,0,0,0,0.0,9,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,630,0,0,0,0,0,4,0,0,0,West Brom,Man City,West Ham,Crystal Palace,Middlesbrough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joel,Asoro,MID,SUN,4400000,0,1,0.0119047619047619,2.7056277056277105e-09,2.2727272727272702e-07,0,615,0,0,0,0,0,0,0,0.2,3,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.0,526,0,0,0,0,10,6,0,0,3,Burnley,Watford,Leicester,Man Utd,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie,Austin,FWD,SOU,6400000,0,59,4.5,7.03125e-07,9.21875e-06,0,897518,1,7,0,0,0,6,0,9.2,550,-1,0,59,1,0.0,0,0.0,10,0,6,0,1,1.9,869546,0,32,0,1,866,43,0,0,211,Tottenham,Bournemouth,Crystal Palace,West Brom,Man City,0.0,0.0,0.0,0.0,0.0,0.0,6.8,4.9,4.4,5.9
Daniel,Ayala,DEF,MID,4800000,0,23,0.273809523809524,5.7043650793650805e-08,4.79166666666667e-06,0,11088,2,6,0,0,0,1,0,4.8,63,-2,0,23,2,0.3,0,1.5,0,0,2,0,0,0.1,6021,0,0,0,0,487,6,0,0,106,Man Utd,Swansea,Hull City,Burnley,Arsenal,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Andre,Ayew,MID,WHU,7100000,6,42,0.5,7.042253521126761e-08,5.91549295774648e-06,0,276378,0,10,0,0,0,3,0,5.9,478,-4,0,42,4,0.8,0,6.0,2,0,2,0,1,1.0,11521,0,524,0,0,587,900,0,0,118,Leicester,Hull City,Arsenal,Swansea,Sunderland,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Jordan,Ayew,FWD,SWA,5000000,1,4,0.0476190476190476,9.52380952380952e-09,8e-07,0,2189,0,3,0,0,0,0,0,0.8,563,0,0,4,0,0.2,0,1.0,0,0,0,0,0,0.1,5163,0,0,0,0,98,593,0,0,5,Bournemouth,Middlesbrough,Tottenham,West Ham,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cesar,Azpilicueta,DEF,CHE,6400000,0,120,4.4,6.875e-07,1.875e-05,0,513135,3,20,0,0,0,0,0,18.8,10293,4,1,120,-4,0.3,0,2.0,16,0,13,0,2,17.7,691817,0,470,0,1,2430,6216,-1,0,627,Stoke,Crystal Palace,Man City,Bournemouth,Man Utd,4.9,6.0,5.3,5.2,4.0,0.0,3.9,5.8,5.0,5.4
