FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Almen,Abdi,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,186,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,91,0,250,0,0,0,2,0,0,0,Sunderland,West Brom,Tottenham,Swansea,Hull City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie,Adam,MID,STK,4700000,0,54,2.8,5.95744680851064e-07,1.14893617021277e-05,0,47635,6,19,0,0,0,1,0,11.5,1826,-3,0,54,3,0.0,0,0.0,5,0,6,0,4,0.5,60163,0,109,0,1,1258,60,0,0,204,Leicester,Burnley,Liverpool,Hull City,Swansea,2.0,1.9,2.0,3.5,2.0,2.0,1.6,2.0,1.6
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.77777777777778e-07,5.55555555555556e-07,0,10220,0,2,0,0,0,0,0,0.6,9,-1,0,3,1,0.0,0,0.0,0,0,0,0,0,0.0,832,0,0,0,0,122,9,0,0,6,Swansea,Hull City,Burnley,Arsenal,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Adrian,GLK,WHU,4600000,0,37,0.425287356321839,9.245377311344331e-08,8.04347826086956e-06,0,108770,1,20,0,37,0,0,0,8.0,431,-4,0,37,4,0.0,0,0.0,3,0,3,0,0,1.7,55497,0,356,0,0,990,43,0,0,198,Hull City,Arsenal,Swansea,Sunderland,Everton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Ibrahim,Afellay,MID,STK,5400000,0,14,0.160919540229885,2.97999148573861e-08,2.59259259259259e-06,0,1224,0,5,0,0,0,0,0,2.6,40,-1,0,14,1,0.1,0,0.7,0,0,0,0,0,0.0,1118,0,270,0,0,378,14,0,0,61,Leicester,Burnley,Liverpool,Hull City,Swansea,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Benik,Afobe,FWD,BOU,5400000,12,62,2.6,4.81481481481482e-07,1.14814814814815e-05,0,68492,1,16,0,0,0,4,0,11.5,2548,-6,0,62,6,1.0,1,5.3,6,0,3,0,4,1.1,84413,0,146,0,1,951,17353,0,0,170,Southampton,Liverpool,Chelsea,Tottenham,Middlesbrough,2.0,2.1,2.2,1.5,2.7,2.2,2.7,3.2,2.1
Sergio,Aguero,FWD,MCI,12700000,6,109,5.0,3.93700787401575e-07,8.58267716535433e-06,0,3288720,3,22,0,0,0,13,0,8.6,24256,-3,0,109,3,0.4,1,5.0,19,0,5,0,2,21.8,2421160,0,789,0,4,1693,30695,0,1,385,Arsenal,Chelsea,Hull City,Southampton,Man Utd,5.7,4.7,7.2,6.0,5.5,5.7,5.8,7.3,5.9
Daniel,Agyei,FWD,BUR,4500000,0,1,0.0114942528735632,2.55427841634738e-09,2.22222222222222e-07,0,164,0,0,0,0,0,0,0,0.2,72,0,0,1,0,0.1,0,0.3,0,0,0,0,0,0.0,394,0,0,0,0,1,117,0,0,3,Tottenham,Stoke,Middlesbrough,Everton,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ola,Aina,DEF,CHE,4500000,0,2,0.0229885057471264,5.10855683269476e-09,4.44444444444444e-07,0,4771,0,0,0,0,0,0,0,0.4,11,-5,0,2,5,0.0,0,0.0,0,0,0,0,0,0.1,629,0,0,0,0,10,6,0,0,6,Crystal Palace,Man City,Bournemouth,Man Utd,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan,Ake,DEF,CHE,3800000,0,51,0.586206896551724,1.5426497277676899e-07,1.34210526315789e-05,0,437543,0,17,0,0,0,3,0,13.1,8292,-7,1,51,7,0.0,0,0.0,8,0,3,0,0,4.5,528174,0,232,0,2,735,9637,-1,0,236,Crystal Palace,Man City,Bournemouth,Man Utd,Southampton,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
