FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Almen,Abdi,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,188,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,93,0,250,0,0,0,1,0,0,0,West Brom,Tottenham,Swansea,Hull City,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie,Adam,MID,STK,4700000,1,55,2.8,5.95744680851064e-07,1.17021276595745e-05,0,48592,6,19,0,0,0,1,0,11.7,858,-3,0,55,3,0.1,0,0.3,5,0,6,0,4,0.5,60228,0,109,0,1,1279,59,0,0,206,Burnley,Liverpool,Hull City,Swansea,West Ham,1.9,2.0,3.5,1.9,2.0,1.6,2.1,1.6
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.77777777777778e-07,5.55555555555556e-07,0,10232,0,2,0,0,0,0,0,0.6,11,-1,0,3,1,0.0,0,0.0,0,0,0,0,0,0.0,841,0,0,0,0,122,9,0,0,6,Hull City,Burnley,Arsenal,Bournemouth,Sunderland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Adrian,GLK,WHU,4600000,0,37,0.41111111111111104,8.937198067632849e-08,8.04347826086956e-06,0,109000,1,20,0,37,0,0,0,8.0,203,-4,0,37,4,0.0,0,0.0,3,0,3,0,0,1.6,55511,0,356,0,0,990,12,0,0,198,Arsenal,Swansea,Sunderland,Everton,Stoke,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Ibrahim,Afellay,MID,STK,5400000,0,14,0.155555555555556,2.8806584362139905e-08,2.59259259259259e-06,0,1246,0,5,0,0,0,0,0,2.6,21,-1,0,14,1,0.1,0,0.3,0,0,0,0,0,0.0,1127,0,270,0,0,378,9,0,0,61,Burnley,Liverpool,Hull City,Swansea,West Ham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Benik,Afobe,FWD,BOU,5400000,2,64,2.6,4.81481481481482e-07,1.1851851851851899e-05,0,72746,1,16,0,0,0,4,0,11.9,4102,-6,0,64,6,1.0,1,5.3,6,0,4,0,4,1.2,95299,0,146,0,1,1041,9869,0,0,173,Liverpool,Chelsea,Tottenham,Middlesbrough,Sunderland,2.1,2.2,1.5,2.6,2.2,2.8,3.2,2.0
Sergio,Aguero,FWD,MCI,12700000,7,116,5.0,3.93700787401575e-07,9.133858267716541e-06,0,3310120,3,24,0,0,0,14,0,9.1,19458,-3,0,116,3,0.4,1,5.0,20,0,5,0,2,21.6,2438131,0,789,0,4,1783,15117,0,1,416,Chelsea,Hull City,Southampton,Man Utd,Middlesbrough,4.8,7.3,5.9,5.5,5.6,5.8,7.3,5.6
Daniel,Agyei,FWD,BUR,4500000,0,1,0.0111111111111111,2.4691358024691394e-09,2.22222222222222e-07,0,198,0,0,0,0,0,0,0,0.2,31,0,0,1,0,0.1,0,0.3,0,0,0,0,0,0.0,461,0,0,0,0,1,64,0,0,3,Stoke,Middlesbrough,Everton,Man Utd,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ola,Aina,DEF,CHE,4500000,0,2,0.0222222222222222,4.93827160493827e-09,4.44444444444444e-07,0,4777,0,0,0,0,0,0,0,0.4,5,-5,0,2,5,0.0,0,0.0,0,0,0,0,0,0.1,629,0,0,0,0,10,0,0,0,6,Man City,Bournemouth,Man Utd,Southampton,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan,Ake,DEF,CHE,3800000,0,51,0.566666666666667,1.49122807017544e-07,1.34210526315789e-05,0,442359,0,17,0,0,0,3,0,13.4,4389,-7,0,51,7,0.0,0,0.0,8,0,3,0,0,4.6,536031,0,232,0,2,735,7175,0,0,236,Man City,Bournemouth,Man Utd,Southampton,Everton,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
