FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Almen,Abdi,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,189,0,0,0,0,0,0,0,0.0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,93,0,250,0,0,0,0,0,0,0,Tottenham,Swansea,Hull City,Liverpool,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie,Adam,MID,STK,4700000,1,56,2.7,5.744680851063829e-07,1.1914893617021302e-05,0,49458,7,20,0,0,0,1,0,11.9,853,-3,0,56,3,0.1,0,0.7,5,0,6,0,4,0.4,60371,0,109,0,1,1369,143,0,0,210,Liverpool,Hull City,Swansea,West Ham,Bournemouth,1.9,3.3,1.8,2.0,1.5,2.0,1.4
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.77777777777778e-07,5.55555555555556e-07,0,10247,0,2,0,0,0,0,0,0.6,15,-1,0,3,1,0.0,0,0.0,0,0,0,0,0,0.0,852,0,0,0,0,122,11,0,0,6,Burnley,Arsenal,Bournemouth,Sunderland,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Adrian,GLK,WHU,4600000,0,37,0.397849462365591,8.64890135577373e-08,8.04347826086956e-06,0,109265,1,20,0,37,0,0,0,8.0,259,-4,0,37,4,0.0,0,0.0,3,0,3,0,0,1.6,55558,0,356,0,0,990,47,0,0,198,Swansea,Sunderland,Everton,Stoke,Tottenham,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Ibrahim,Afellay,MID,STK,5400000,1,15,0.161290322580645,2.9868578255675e-08,2.77777777777778e-06,0,1265,0,5,0,0,0,0,0,2.8,19,-1,0,15,1,0.1,0,0.3,0,0,0,0,0,0.0,1132,0,270,0,0,384,5,0,0,63,Liverpool,Hull City,Swansea,West Ham,Bournemouth,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Benik,Afobe,FWD,BOU,5500000,9,73,2.8,5.09090909090909e-07,1.32727272727273e-05,0,75896,1,18,0,0,0,5,0,13.5,3098,-5,-1,73,5,1.1,1,6.3,9,0,4,0,4,1.7,118113,0,146,0,1,1131,22641,1,0,201,Chelsea,Tottenham,Middlesbrough,Sunderland,Stoke,2.4,1.8,2.9,2.5,3.2,3.5,2.2
Sergio,Aguero,FWD,MCI,12800000,8,124,5.2,4.0625e-07,9.6875e-06,0,3314834,3,26,0,0,0,15,0,9.8,4115,-2,-1,124,2,0.5,1,7.0,22,0,5,0,2,23.5,2525349,0,789,0,4,1873,86984,1,1,442,Hull City,Southampton,Man Utd,Middlesbrough,Crystal Palace,7.6,6.1,5.8,6.0,6.3,7.7,5.8
Daniel,Agyei,FWD,BUR,4500000,0,1,0.010752688172043001,2.389486260454e-09,2.22222222222222e-07,0,233,0,0,0,0,0,0,0,0.2,35,0,0,1,0,0.1,0,0.3,0,0,0,0,0,0.0,514,0,0,0,0,1,53,0,0,3,Middlesbrough,Everton,Man Utd,Crystal Palace,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ola,Aina,DEF,CHE,4500000,0,2,0.021505376344086002,4.778972520908e-09,4.44444444444444e-07,0,4785,0,0,0,0,0,0,0,0.4,8,-5,0,2,5,0.0,0,0.0,0,0,0,0,0,0.1,632,0,0,0,0,10,3,0,0,6,Bournemouth,Man Utd,Southampton,Everton,Middlesbrough,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan,Ake,DEF,CHE,3800000,0,51,0.548387096774194,1.44312393887946e-07,1.34210526315789e-05,0,447962,0,17,0,0,0,3,0,13.4,5518,-7,0,51,7,0.0,0,0.0,8,0,3,0,0,4.7,546635,0,232,0,2,735,10467,0,0,236,Bournemouth,Man Utd,Southampton,Everton,Middlesbrough,0.3,0.3,0.3,0.3,0.3,0.3,0.3
