FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Almen,Abdi,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,192,0,0,0,0,0,0,0,0.0,3,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,95,0,250,0,0,0,2,0,0,0,Swansea,Hull City,Liverpool,Leicester,Everton,0.0,0.0,0.0,0.0,0.0,0.0
Charlie,Adam,MID,STK,4700000,1,57,2.6,5.53191489361702e-07,1.21276595744681e-05,0,51483,7,22,0,0,0,1,0,12.1,1991,-3,0,57,3,0.2,0,0.8,5,0,6,0,4,0.4,60437,0,109,0,1,1423,60,0,0,211,Hull City,Swansea,West Ham,Bournemouth,Arsenal,0.0,1.7,1.9,1.4,1.9,1.4
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.77777777777778e-07,5.55555555555556e-07,0,10263,0,2,0,0,0,0,0,0.6,15,-1,0,3,1,0.0,0,0.0,0,0,0,0,0,0.0,856,0,0,0,0,122,3,0,0,6,Arsenal,Bournemouth,Sunderland,Man City,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0
,Adrian,GLK,WHU,4600000,0,37,0.3854166666666671,8.3786231884058e-08,8.04347826086956e-06,0,109653,1,20,0,37,0,0,0,8.0,371,-4,0,37,4,0.0,0,0.0,3,0,3,0,0,1.6,55621,0,356,0,0,990,61,0,0,198,Sunderland,Everton,Stoke,Tottenham,Liverpool,0.2,0.2,0.2,0.2,0.2,0.2
Ibrahim,Afellay,MID,STK,5400000,0,15,0.15625,2.89351851851852e-08,2.77777777777778e-06,0,1299,0,5,0,0,0,0,0,2.8,32,-1,0,15,1,0.1,0,0.3,0,0,0,0,0,0.0,1148,0,270,0,0,384,15,0,0,63,Hull City,Swansea,West Ham,Bournemouth,Arsenal,0.0,0.0,0.0,0.0,0.0,0.1
Benik,Afobe,FWD,BOU,5500000,5,78,2.9,5.27272727272727e-07,1.41818181818182e-05,0,81204,1,21,0,0,0,5,0,14.2,5199,-5,0,78,5,1.3,1,7.0,9,0,4,0,5,2.3,147482,0,146,0,1,1207,28537,0,0,218,Tottenham,Middlesbrough,Sunderland,Stoke,Burnley,1.9,3.0,2.7,3.3,3.6,2.4
Sergio,Aguero,FWD,MCI,12800000,9,133,5.3,4.140625e-07,1.0390625e-05,0,3352437,3,27,0,0,0,16,0,10.4,37449,-2,0,133,2,0.6,1,7.5,25,0,5,0,2,23.1,2546164,0,789,0,4,1963,16965,0,1,479,Southampton,Man Utd,Middlesbrough,Crystal Palace,Leicester,6.2,5.9,6.0,6.5,15.0,6.0
Daniel,Agyei,FWD,BUR,4500000,0,1,0.0104166666666667,2.3148148148148102e-09,2.22222222222222e-07,0,293,0,0,0,0,0,0,0,0.2,59,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.0,575,0,0,0,0,1,55,0,0,3,Everton,Man Utd,Crystal Palace,West Brom,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0
Ola,Aina,DEF,CHE,4500000,0,2,0.0208333333333333,4.6296296296296295e-09,4.44444444444444e-07,0,4794,0,0,0,0,0,0,0,0.4,9,-5,0,2,5,0.0,0,0.0,0,0,0,0,0,0.1,636,0,0,0,0,10,4,0,0,6,Man Utd,Southampton,Everton,Middlesbrough,West Brom,0.0,0.0,0.0,0.0,0.0,0.0
Nathan,Ake,DEF,CHE,3800000,0,51,0.53125,1.39802631578947e-07,1.34210526315789e-05,0,455584,0,17,0,0,0,3,0,13.4,7417,-7,0,51,7,0.0,0,0.0,8,0,3,0,0,4.8,558946,0,232,0,2,735,11870,0,0,236,Man Utd,Southampton,Everton,Middlesbrough,West Brom,0.3,0.3,0.3,0.3,0.6,0.3
