FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Almen,Abdi,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,195,0,0,0,0,0,0,0,0.0,3,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,100,0,250,0,0,0,5,0,0,0,Hull City,Liverpool,Leicester,Everton,Chelsea,0.0,0.0,0.0,0.0,0.0
Charlie,Adam,MID,STK,4700000,1,58,2.5,5.31914893617021e-07,1.23404255319149e-05,0,52476,7,23,0,0,0,1,0,12.3,880,-3,0,58,3,0.2,0,1.0,5,0,6,0,4,0.4,60550,0,109,0,1,1480,109,0,0,216,Swansea,West Ham,Bournemouth,Arsenal,Southampton,1.5,1.8,1.3,1.8,1.3
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.77777777777778e-07,5.55555555555556e-07,0,10272,0,2,0,0,0,0,0,0.6,9,-1,0,3,1,0.0,0,0.0,0,0,0,0,0,0.0,869,0,0,0,0,122,13,0,0,6,Bournemouth,Sunderland,Man City,Chelsea,Southampton,0.0,0.0,0.0,0.0,0.0
,Adrian,GLK,WHU,4600000,0,37,0.3737373737373739,8.12472551602986e-08,8.04347826086956e-06,0,110023,1,20,0,37,0,0,0,8.0,354,-4,0,37,4,0.0,0,0.0,3,0,3,0,0,1.6,55655,0,356,0,0,990,30,0,0,198,Everton,Stoke,Tottenham,Liverpool,Burnley,0.2,0.2,0.2,0.2,0.2
Ibrahim,Afellay,MID,STK,5400000,0,15,1.3,2.40740740740741e-07,2.77777777777778e-06,0,1354,0,5,0,0,0,0,0,2.8,54,-1,0,15,1,0.1,0,0.3,0,0,0,0,0,0.0,1159,0,270,0,0,384,11,0,0,63,Swansea,West Ham,Bournemouth,Arsenal,Southampton,0.0,0.0,0.0,0.0,0.0
Benik,Afobe,FWD,BOU,5500000,2,80,2.9,5.27272727272727e-07,1.45454545454545e-05,0,97635,1,24,0,0,0,5,0,14.5,16120,-5,0,80,5,0.8,1,4.5,9,0,4,0,5,2.4,168086,0,146,0,1,1283,19252,0,0,222,Middlesbrough,Sunderland,Stoke,Burnley,Leicester,3.1,2.7,3.4,3.6,2.3
Sergio,Aguero,FWD,MCI,12800000,6,139,5.3,4.140625e-07,1.0859375e-05,0,3412144,3,27,0,0,0,17,0,10.9,56399,-2,0,139,2,0.6,1,7.5,25,0,6,0,2,22.1,2561055,0,789,0,4,2051,14050,0,1,501,Man Utd,Middlesbrough,Crystal Palace,Leicester,West Brom,5.8,6.2,6.5,14.8,5.9
Daniel,Agyei,FWD,BUR,4500000,1,2,0.0202020202020202,4.48933782267116e-09,4.44444444444444e-07,0,347,0,0,0,0,0,0,0,0.4,52,0,0,2,0,0.1,0,0.3,0,0,0,0,0,0.0,626,0,0,0,0,9,51,0,0,6,Man Utd,Crystal Palace,West Brom,Bournemouth,West Ham,0.0,0.0,0.0,0.0,0.0
Ola,Aina,DEF,CHE,4500000,0,2,0.0202020202020202,4.48933782267116e-09,4.44444444444444e-07,0,4806,0,0,0,0,0,0,0,0.4,12,-5,0,2,5,0.0,0,0.0,0,0,0,0,0,0.1,643,0,0,0,0,10,7,0,0,6,Southampton,Everton,Middlesbrough,West Brom,Watford,0.0,0.0,0.0,0.0,0.0
Nathan,Ake,DEF,CHE,3800000,0,51,0.515151515151515,1.35566188197767e-07,1.34210526315789e-05,0,464739,0,17,0,0,0,3,0,13.4,8792,-7,0,51,7,0.0,0,0.0,8,0,3,0,0,4.9,570628,0,232,0,2,735,11057,0,0,236,Southampton,Everton,Middlesbrough,West Brom,Watford,0.3,0.3,0.3,0.6,0.3
Chuba,Akpom,FWD,ARS,5100000,0,0,0.0,0.0,0.0,0,8965,0,0,0,0,0,0,0,0.0,8,-4,0,0,4,0.0,0,0.0,0,0,0,0,0,0.1,1377,0,0,0,0,0,3,0,0,0,Leicester,Tottenham,Man Utd,Southampton,Stoke,0.0,0.0,0.0,0.0,0.0
Marc,Albrighton,MID,LEI,4900000,2,75,2.8,5.714285714285711e-07,1.5306122448979598e-05,0,78788,3,37,0,0,0,1,0,15.3,5842,-6,0,75,6,0.9,0,4.3,3,0,6,0,5,1.6,69101,0,519,0,0,1901,5822,0,0,376,Arsenal,West Brom,Watford,Man City,Tottenham,1.4,1.5,3.7,3.9,2.8
Toby,Alderweireld,DEF,TOT,6300000,6,94,3.9,6.19047619047619e-07,1.49206349206349e-05,0,649666,1,13,0,0,0,0,0,14.9,2485,-2,0,94,2,0.8,0,5.3,4,0,12,0,0,9.4,142920,0,598,0,0,2061,4283,0,0,494,Crystal Palace,Arsenal,West Ham,Man Utd,Leicester,4.2,5.8,4.3,6.4,3.4
Trent,Alexander-Arnold,MID,LIV,4300000,0,7,0.0707070707070707,1.64435048155978e-08,1.62790697674419e-06,0,1824,0,2,0,0,0,0,0,1.6,42,-2,0,7,2,0.1,0,0.5,0,0,0,0,0,0.0,1898,0,0,0,0,155,18,0,0,28,Crystal Palace,Watford,Southampton,West Ham,Middlesbrough,0.0,0.0,0.0,0.0,0.0
Joe,Allen,MID,STK,4900000,0,108,3.5,7.142857142857141e-07,2.2040816326530603e-05,0,1123460,8,43,0,0,0,6,0,21.6,43745,-1,1,108,1,0.3,0,1.3,10,0,8,0,3,6.8,1290492,0,132,0,1,2532,658,-1,0,469,Swansea,West Ham,Bournemouth,Arsenal,Southampton,0.0,3.1,2.3,3.1,2.4
