FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Almen,Abdi,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,197,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,101,0,250,0,0,0,1,0,0,0,Liverpool,Leicester,Everton,Chelsea,Man City,0.0,0.0,0.0,0.0
Charlie,Adam,MID,STK,4700000,0,58,2.5,5.31914893617021e-07,1.23404255319149e-05,0,53084,7,23,0,0,0,1,0,12.3,560,-3,0,58,3,0.2,0,0.8,5,0,6,0,4,0.4,60610,0,109,0,1,1480,55,0,0,216,West Ham,Bournemouth,Arsenal,Southampton,,1.8,1.2,1.9,1.3
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.77777777777778e-07,5.55555555555556e-07,0,10282,0,2,0,0,0,0,0,0.6,9,-1,0,3,1,0.0,0,0.0,0,0,0,0,0,0.0,872,0,0,0,0,122,2,0,0,6,Man City,Chelsea,Southampton,Liverpool,,0.0,0.0,0.0,0.0
,Adrian,GLK,WHU,4600000,6,43,0.42156862745097995,9.164535379369141e-08,9.347826086956521e-06,0,110176,1,20,0,37,0,0,0,9.3,141,-4,0,43,4,0.3,0,1.2,3,0,4,0,0,1.6,55818,0,356,0,0,1080,160,0,0,218,Stoke,Tottenham,Liverpool,Burnley,,0.2,0.2,0.2,0.2
Ibrahim,Afellay,MID,STK,5400000,0,15,1.3,2.40740740740741e-07,2.77777777777778e-06,0,1377,0,5,0,0,0,0,0,2.8,22,-1,0,15,1,0.0,0,0.2,0,0,0,0,0,0.0,1164,0,270,0,0,384,5,0,0,63,West Ham,Bournemouth,Arsenal,Southampton,,0.0,0.0,0.0,0.0
Benik,Afobe,FWD,BOU,5600000,6,86,3.0,5.35714285714286e-07,1.5357142857142903e-05,0,104172,1,24,0,0,0,6,0,15.6,5721,-4,-1,86,4,0.9,1,4.8,9,0,5,0,5,3.2,213660,0,146,0,1,1373,44757,1,0,254,Sunderland,Stoke,Burnley,Leicester,,2.8,3.6,3.8,2.4
Sergio,Aguero,FWD,MCI,12800000,2,141,5.2,4.0625e-07,1.1015625e-05,0,3438407,3,27,0,0,0,17,0,11.0,23232,-2,0,141,2,0.5,1,6.4,25,0,7,0,2,22.7,2614764,0,789,0,4,2141,53108,0,1,504,Middlesbrough,Crystal Palace,Leicester,West Brom,Watford,5.9,6.3,14.5,5.7
Daniel,Agyei,FWD,BUR,4500000,1,3,0.0294117647058824,6.5359477124183e-09,6.66666666666667e-07,0,368,0,0,0,0,0,0,0,0.7,20,0,0,3,0,0.1,0,0.4,0,0,0,0,0,0.0,653,0,0,0,0,25,26,0,0,6,Crystal Palace,West Brom,Bournemouth,West Ham,,0.0,0.0,0.0,0.0
Ola,Aina,DEF,CHE,4500000,0,2,0.0196078431372549,4.3572984749455295e-09,4.44444444444444e-07,0,4813,0,0,0,0,0,0,0,0.4,7,-5,0,2,5,0.0,0,0.0,0,0,0,0,0,0.1,648,0,0,0,0,10,5,0,0,6,Everton,Middlesbrough,West Brom,Watford,Sunderland,0.0,0.0,0.0,0.0
Nathan,Ake,DEF,CHE,3800000,0,51,0.5,1.3157894736842101e-07,1.34210526315789e-05,0,472396,0,17,0,0,0,3,0,13.4,7203,-7,0,51,7,0.0,0,0.0,8,0,3,0,0,5.0,581129,0,232,0,2,735,9976,0,0,236,Everton,Middlesbrough,West Brom,Watford,Sunderland,0.2,0.2,0.4,0.2
