FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW36Forecast,GW37Forecast,GW38Forecast
Almen,Abdi,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,197,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,102,0,250,0,0,0,1,0,0,0,Leicester,Everton,Chelsea,Man City,,0.0,0.0,0.0
Charlie,Adam,MID,STK,4600000,1,59,2.5,5.43478260869565e-07,1.2826086956521699e-05,0,53388,7,23,0,0,0,1,0,12.8,291,-4,1,59,4,0.2,0,0.8,5,0,6,0,4,0.4,60622,0,109,0,1,1491,11,-1,0,218,Bournemouth,Arsenal,Southampton,,,1.3,1.9,1.3
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.77777777777778e-07,5.55555555555556e-07,0,10284,0,2,0,0,0,0,0,0.6,2,-1,0,3,1,0.0,0,0.0,0,0,0,0,0,0.0,873,0,0,0,0,122,1,0,0,6,Chelsea,Southampton,Liverpool,,,0.0,0.0,0.0
,Adrian,GLK,WHU,4600000,7,50,0.47619047619047605,1.0351966873706e-07,1.0869565217391302e-05,0,110272,1,20,0,41,0,0,0,10.9,92,-4,0,50,4,0.6,0,2.6,3,0,5,0,0,1.6,55940,0,356,0,0,1170,118,0,0,248,Tottenham,Liverpool,Burnley,,,0.2,0.2,0.2
Ibrahim,Afellay,MID,STK,5400000,0,15,1.3,2.40740740740741e-07,2.77777777777778e-06,0,1391,0,5,0,0,0,0,0,2.8,13,-1,0,15,1,0.0,0,0.2,0,0,0,0,0,0.0,1168,0,270,0,0,384,3,0,0,63,Bournemouth,Arsenal,Southampton,,,0.0,0.0,0.0
Benik,Afobe,FWD,BOU,5500000,1,87,2.9,5.27272727272727e-07,1.58181818181818e-05,0,130910,1,24,0,0,0,6,0,15.5,26604,-5,1,87,5,0.8,1,4.6,9,0,5,0,5,2.7,216114,0,146,0,1,1429,1507,-1,0,260,Stoke,Burnley,Leicester,,,0.0,0.0,2.3
Sergio,Aguero,FWD,MCI,12800000,12,153,5.5,4.296875e-07,1.1953125e-05,0,3486082,3,29,0,0,0,18,0,12.0,47155,-2,0,153,2,0.6,1,7.4,28,0,7,0,3,21.8,2622037,0,789,0,5,2231,6141,0,1,553,Crystal Palace,Leicester,West Brom,Watford,,0.0,15.3,6.3
Daniel,Agyei,FWD,BUR,4500000,0,3,0.0285714285714286,6.34920634920635e-09,6.66666666666667e-07,0,387,0,0,0,0,0,0,0,0.7,18,0,0,3,0,0.1,0,0.4,0,0,0,0,0,0.0,670,0,0,0,0,25,17,0,0,6,West Brom,Bournemouth,West Ham,,,0.0,0.0,0.0
Ola,Aina,DEF,CHE,4500000,0,2,0.019047619047619,4.23280423280423e-09,4.44444444444444e-07,0,4817,0,0,0,0,0,0,0,0.4,4,-5,0,2,5,0.0,0,0.0,0,0,0,0,0,0.1,654,0,0,0,0,10,6,0,0,6,Middlesbrough,West Brom,Watford,Sunderland,,0.0,0.0,0.0
Nathan,Ake,DEF,CHE,3800000,1,52,0.495238095238095,1.30325814536341e-07,1.36842105263158e-05,0,478172,0,17,0,0,0,3,0,13.7,5618,-7,0,52,7,0.1,0,0.2,8,0,3,0,0,5.1,591439,0,232,0,2,744,10092,0,0,240,Middlesbrough,West Brom,Watford,Sunderland,,0.2,0.4,0.2
Chuba,Akpom,FWD,ARS,5100000,0,0,0.0,0.0,0.0,0,8975,0,0,0,0,0,0,0,0.0,2,-4,0,0,4,0.0,0,0.0,0,0,0,0,0,0.1,1382,0,0,0,0,0,1,0,0,0,Man Utd,Southampton,Stoke,Sunderland,Everton,0.0,0.0,0.0
Marc,Albrighton,MID,LEI,4900000,3,80,2.8,5.714285714285711e-07,1.63265306122449e-05,0,86310,3,38,0,0,0,1,0,16.3,3314,-6,0,80,6,0.9,0,4.4,3,0,7,0,5,1.8,85873,0,519,0,0,2081,9838,0,0,400,Watford,Man City,Tottenham,Bournemouth,,3.6,3.8,2.7
Toby,Alderweireld,DEF,TOT,6300000,6,106,4.1,6.50793650793651e-07,1.68253968253968e-05,0,652829,1,13,0,0,0,0,0,16.8,1158,-2,0,106,2,0.8,0,5.2,4,0,14,0,0,9.4,148744,0,598,0,0,2241,3111,0,0,541,West Ham,Man Utd,Leicester,Hull City,,4.6,6.9,3.8
Trent,Alexander-Arnold,MID,LIV,4300000,0,8,0.0761904761904762,1.7718715393133997e-08,1.86046511627907e-06,0,1870,0,2,0,0,0,0,0,1.9,18,-2,0,8,2,0.1,0,0.4,0,0,0,0,0,0.0,1929,0,0,0,0,167,7,0,0,32,Southampton,West Ham,Middlesbrough,,,0.0,0.0,0.0
