FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW37Forecast,GW38Forecast
Almen,Abdi,MID,WAT,5000000,0,0,0.0,0.0,0.0,0,199,0,0,0,0,0,0,0,0.0,2,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,105,0,250,0,0,0,3,0,0,0,Everton,Chelsea,Man City,,,0.0,0.0
Charlie,Adam,MID,STK,4600000,0,59,0.5462962962962961,1.18760064412238e-07,1.2826086956521699e-05,0,54138,7,23,0,0,0,1,0,12.8,526,-4,0,59,4,0.1,0,0.5,5,0,6,0,4,0.3,60675,0,109,0,1,1491,38,0,0,218,Arsenal,Southampton,,,,0.3,0.3
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.77777777777778e-07,5.55555555555556e-07,0,10295,0,2,0,0,0,0,0,0.6,9,-1,0,3,1,0.0,0,0.0,0,0,0,0,0,0.0,879,0,0,0,0,122,5,0,0,6,Southampton,Liverpool,,,,0.0,0.0
,Adrian,GLK,WHU,4600000,10,60,0.555555555555556,1.20772946859903e-07,1.30434782608696e-05,0,110686,1,20,0,46,0,0,0,13.0,341,-4,0,60,4,1.3,0,5.8,6,0,6,0,0,1.6,57354,0,356,0,0,1260,1354,0,0,279,Liverpool,Burnley,,,,0.3,0.3
Ibrahim,Afellay,MID,STK,5400000,0,15,1.3,2.40740740740741e-07,2.77777777777778e-06,0,1403,0,5,0,0,0,0,0,2.8,7,-1,0,15,1,0.0,0,0.0,0,0,0,0,0,0.0,1175,0,270,0,0,384,4,0,0,63,Arsenal,Southampton,,,,0.0,0.0
Benik,Afobe,FWD,BOU,5400000,0,87,2.9,5.37037037037037e-07,1.6111111111111098e-05,0,182357,1,24,0,0,0,6,0,16.1,29817,-6,1,87,6,0.4,1,2.3,9,0,5,0,5,1.6,217226,0,146,0,1,1429,425,-1,0,260,Burnley,Leicester,,,,3.5,2.3
Sergio,Aguero,FWD,MCI,12700000,0,153,5.5,4.3307086614173203e-07,1.2047244094488198e-05,0,3677894,3,29,0,0,0,18,0,12.0,84617,-3,1,153,3,0.4,1,5.0,28,0,7,0,3,17.6,2627510,0,789,0,5,2231,4150,-1,1,553,Leicester,West Brom,Watford,,,15.5,6.2
Daniel,Agyei,FWD,BUR,4500000,0,3,0.0277777777777778,6.17283950617284e-09,6.66666666666667e-07,0,429,0,0,0,0,0,0,0,0.7,33,0,0,3,0,0.1,0,0.5,0,0,0,0,0,0.0,737,0,0,0,0,25,56,0,0,6,Bournemouth,West Ham,,,,0.0,0.0
Ola,Aina,DEF,CHE,4500000,0,2,0.0185185185185185,4.11522633744856e-09,4.44444444444444e-07,0,4834,0,0,0,0,0,0,0,0.4,13,-5,0,2,5,0.0,0,0.0,0,0,0,0,0,0.1,662,0,0,0,0,10,7,0,0,6,West Brom,Watford,Sunderland,,,0.0,0.0
Nathan,Ake,DEF,CHE,3800000,0,52,0.48148148148148107,1.2670565302144199e-07,1.36842105263158e-05,0,499309,0,17,0,0,0,3,0,13.7,16673,-7,0,52,7,0.1,0,0.3,8,0,3,0,0,5.1,614614,0,232,0,2,744,14545,0,0,240,West Brom,Watford,Sunderland,,,0.4,0.2
