FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW1Forecast,GW2Forecast,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4500000,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,Tottenham,Huddersfield,West Ham,Swansea,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tammy,Abraham,FWD,SWA,5500000,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,Southampton,Man Utd,Crystal Palace,Newcastle,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie,Adam,MID,STK,5000000,0,59,4.26784118676211e-27,8.53568237352421e-34,1.18e-05,0,0,7,23,0,0,0,1,0,0,0,0,0,59,0,0,0,0,5,0,6,0,4,0.1,0,0,0,0,0,1491,0,0,0,218,Everton,Arsenal,West Brom,Man Utd,Newcastle,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.7
,Adam Smith,DEF,BOU,5000000,0,104,2.7368421052631597,5.47368421052632e-07,2.08e-05,0,0,6,61,0,0,0,1,0,0,0,0,0,104,0,0,0,0,12,0,8,0,5,1.3,0,1,0,0,0,3101,0,0,0,645,West Brom,Watford,Man City,Arsenal,Brighton,2.3,2.5,2.8,2.7,3.9,3.4,2.2,2.1,2.9,2.8,3.4,3.9,2.6,3.1,3.4,2.9,2.0,2.4,2.3,3.4,3.9,3.4,3.3,2.9,2.2,3.4,3.4,3.9,1.7,2.6,2.8,2.0,3.4,1.9,2.5,2.8,3.1,2.5,132.1
,Adrian,GLK,WHU,4500000,0,64,4.62952264326737e-27,1.0287828096149698e-33,1.4222222222222198e-05,0,0,1,25,0,53,0,0,0,0,0,0,0,64,0,0,0,0,6,0,6,0,0,0.6,0,0,0,0,0,1440,0,0,0,311,Man Utd,Southampton,Newcastle,Huddersfield,West Brom,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.7
Ibrahim,Afellay,MID,STK,5000000,0,15,5.4252218475789496e-27,1.08504436951579e-33,3e-06,0,0,0,5,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,384,0,0,0,63,Everton,Arsenal,West Brom,Man Utd,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8
Benik,Afobe,FWD,BOU,6000000,0,88,6.365593634492629e-27,1.06093227241544e-33,1.4666666666666698e-05,0,0,1,24,0,0,0,6,0,0,0,0,0,88,0,0,1,0,9,0,5,0,5,0.8,0,0,0,0,0,1458,0,0,0,259,West Brom,Watford,Man City,Arsenal,Brighton,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.8
Sergio,Aguero,FWD,MCI,11500000,0,175,4.60526315789474,4.0045766590389e-07,1.52173913043478e-05,0,0,4,30,0,0,0,20,0,0,0,0,0,175,0,0,1,0,32,0,8,0,5,11.2,0,0,0,0,0,2404,0,0,1,640,Brighton,Everton,Bournemouth,Liverpool,Watford,5.7,4.7,4.9,5.3,5.3,6.0,3.9,6.3,6.3,5.4,5.3,4.8,5.7,5.9,5.8,4.3,5.5,5.8,5.8,5.7,5.1,6.2,4.4,6.5,6.3,5.5,5.7,4.4,4.8,5.4,6.5,3.8,5.3,4.9,6.4,5.0,6.5,5.0,323.9
Nathan,Ake,DEF,BOU,5000000,0,55,3.9784960215578894e-27,7.95699204311579e-34,1.1e-05,0,0,1,20,0,0,0,3,0,0,0,0,0,55,0,0,0,0,8,0,3,0,1,8.7,0,0,0,0,0,834,0,0,0,267,West Brom,Watford,Man City,Arsenal,Brighton,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.5
Marc,Albrighton,MID,LEI,5500000,0,95,2.5,4.54545454545455e-07,1.72727272727273e-05,0,0,5,47,0,0,0,2,0,0,0,0,0,95,0,0,0,0,3,0,8,0,6,1.2,0,0,0,0,0,2412,0,0,0,468,Arsenal,Brighton,Man Utd,Chelsea,Huddersfield,1.2,3.5,1.4,2.0,3.1,1.8,1.9,2.2,1.7,2.1,1.9,1.7,1.3,1.6,2.5,3.1,1.7,2.1,1.9,2.1,1.3,3.5,1.5,2.6,1.7,2.2,1.3,2.3,2.4,1.7,1.5,3.1,3.5,2.0,2.2,1.7,1.7,1.2,147.6
Toby,Alderweireld,DEF,TOT,6000000,0,120,3.15789473684211,5.263157894736841e-07,2e-05,0,0,1,17,0,0,0,1,0,0,0,0,0,120,0,0,0,0,4,0,14,0,0,15.3,0,0,0,0,0,2601,0,0,0,611,Newcastle,Chelsea,Burnley,Everton,Swansea,3.9,3.4,3.7,3.9,3.8,3.6,3.9,2.3,3.0,2.5,4.1,3.4,3.5,2.1,2.5,4.1,4.5,2.8,3.1,4.1,4.2,3.2,4.5,3.5,3.1,2.4,4.0,3.5,4.5,1.8,4.5,2.8,3.5,3.5,3.9,3.1,2.8,2.7,108.6
Trent,Alexander-Arnold,DEF,LIV,4500000,0,8,5.78690330408421e-28,1.28597851201871e-34,1.77777777777778e-06,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,167,0,0,0,32,Watford,Crystal Palace,Arsenal,Man City,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1
Joe,Allen,MID,STK,5500000,0,118,3.1052631578947403,5.64593301435407e-07,2.14545454545455e-05,0,0,9,49,0,0,0,6,0,0,0,0,0,118,0,0,0,0,10,0,10,0,3,5.1,0,0,0,0,0,2930,0,0,0,525,Everton,Arsenal,West Brom,Man Utd,Newcastle,2.4,2.2,2.4,2.7,3.9,2.8,3.0,1.9,3.3,3.0,3.2,3.9,2.4,2.5,3.1,1.7,2.8,2.4,3.0,3.9,2.2,4.4,2.1,4.4,3.6,2.7,4.4,2.6,2.4,2.5,3.0,1.7,2.3,1.9,3.4,1.9,3.0,2.5,179.4
Bamidele,Alli,MID,TOT,9500000,0,225,5.92105263157895,6.232686980609421e-07,2.36842105263158e-05,0,0,4,22,0,0,0,18,0,0,0,0,0,225,0,0,0,0,17,0,17,0,11,38.9,0,0,0,0,0,3036,0,0,0,679,Newcastle,Chelsea,Burnley,Everton,Swansea,7.4,7.2,8.3,6.4,7.7,5.3,7.4,8.1,6.7,5.8,7.6,4.9,7.6,6.8,7.4,8.0,8.4,5.4,7.2,7.6,6.5,6.6,7.6,6.5,7.0,5.5,6.1,6.4,8.4,7.0,8.4,6.0,6.9,6.6,7.4,8.4,6.5,7.9,301.7
