FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW2Forecast,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4500000,0,0,0.0,0.0,0.0,0,1378,0,0,0,0,0,0,0,0.0,1378,0,0,0,0,0.0,0,0,0,0,0,0,0,0.3,290,0,0,0,0,0,290,0,0,0,Huddersfield,West Ham,Swansea,Stoke,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tammy,Abraham,FWD,SWA,5500000,2,2,2.0,3.63636363636364e-07,3.63636363636364e-07,0,13624,0,0,0,0,0,0,0,0.4,13624,0,0,2,0,0.4,0,2,0,0,1,0,0,2.6,5050,0,0,0,0,80,5050,0,0,6,Man Utd,Crystal Palace,Newcastle,Tottenham,Watford,1.2,2.3,2.5,1.0,1.8,2.5,1.1,2.8,1.9,2.8,1.5,1.9,2.3,1.7,1.1,1.0,1.0,2.7,2.5,1.4,1.0,2.2,2.8,2.3,2.5,1.9,2.5,2.8,1.0,1.1,1.0,1.0,1.2,1.0,2.7,1.5,2.1,3.5
Charlie,Adam,MID,STK,5000000,0,0,0.0,0.0,0.0,0,961,0,0,0,0,0,0,0,0.0,961,0,0,0,0,0.0,0,0,0,0,0,0,0,0.1,140,0,0,0,0,0,140,0,0,0,Arsenal,West Brom,Man Utd,Newcastle,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Adam Smith,DEF,BOU,5000000,1,1,0.33333333333333304,6.66666666666667e-08,2e-07,0,5129,0,0,0,0,0,0,0,0.2,5129,0,0,1,0,0.2,0,1,0,0,0,0,0,1.1,403,0,0,0,0,10,403,0,0,2,Watford,Man City,Arsenal,Brighton,Everton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3
,Adrian,GLK,WHU,4500000,0,0,0.0,0.0,0.0,0,2233,0,0,0,0,0,0,0,0.0,2233,0,0,0,0,0.0,0,0,0,0,0,0,0,0.6,218,0,0,0,0,0,218,0,0,0,Southampton,Newcastle,Huddersfield,West Brom,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibrahim,Afellay,MID,STK,5000000,0,0,0.0,0.0,0.0,0,164,0,0,0,0,0,0,0,0.0,164,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,39,0,0,0,0,0,39,0,0,0,Arsenal,West Brom,Man Utd,Newcastle,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benik,Afobe,FWD,BOU,6000000,2,2,2.0,3.3333333333333304e-07,3.3333333333333304e-07,0,5655,0,1,0,0,0,0,0,0.3,5655,0,0,2,0,0.3,0,2,0,0,0,0,0,0.6,974,0,0,0,0,63,974,0,0,7,Watford,Man City,Arsenal,Brighton,Everton,1.8,1.0,1.9,2.8,1.0,2.8,1.0,1.7,2.7,2.2,1.1,1.0,1.9,1.1,2.3,1.0,2.8,1.0,2.8,1.2,2.5,2.3,2.5,2.3,2.1,1.0,2.5,2.5,1.0,1.1,1.4,2.7,2.5,1.2,1.0,1.0,1.5,2.7
Sergio,Aguero,FWD,MCI,11500000,9,9,9.0,7.826086956521741e-07,7.826086956521741e-07,0,24742,0,0,0,0,0,1,0,0.8,24742,0,0,9,0,0.8,0,9,3,0,1,0,0,12.1,39553,0,0,0,0,82,39553,0,0,33,Everton,Bournemouth,Liverpool,Watford,Crystal Palace,11.9,11.2,12.8,11.2,12.8,11.2,12.8,12.8,9.4,12.8,11.2,9.8,11.2,12.8,10.2,9.2,10.4,12.8,11.2,11.2,12.8,11.2,12.8,11.1,11.2,12.8,11.2,12.8,11.2,12.8,10.2,11.9,8.6,11.0,11.2,11.5,9.5,9.6
Nathan,Ake,DEF,BOU,5000000,3,3,3.0,6e-07,6e-07,0,17114,0,1,0,0,0,0,0,0.6,17114,0,0,3,0,0.6,0,3,1,0,0,0,0,8.4,14319,0,0,0,0,90,14319,0,0,25,Watford,Man City,Arsenal,Brighton,Everton,2.9,2.5,1.5,4.3,1.5,1.6,3.7,3.0,2.4,3.3,1.9,3.0,2.2,4.3,3.7,1.5,2.2,2.0,4.3,1.9,3.7,1.8,3.7,1.9,3.6,1.5,3.9,1.5,4.3,4.3,2.3,4.3,1.6,1.7,3.7,3.6,1.6,4.1
Marc,Albrighton,MID,LEI,5500000,5,5,5.0,9.09090909090909e-07,9.09090909090909e-07,0,7636,0,4,0,0,0,0,0,0.9,7636,0,0,5,0,0.9,0,5,0,0,0,0,1,3.2,68830,0,0,0,0,87,68830,0,0,20,Brighton,Man Utd,Chelsea,Huddersfield,Liverpool,6.7,3.1,7.1,4.6,4.8,6.2,5.2,5.8,7.1,6.2,5.6,6.2,4.5,6.0,6.2,5.4,7.1,4.0,4.5,3.9,5.6,6.2,5.5,6.2,6.7,4.6,7.1,7.1,4.2,4.8,5.8,7.1,5.1,6.4,6.2,7.1,3.5,5.3
