FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4400000,0,0,0.0,0.0,0.0,0,10471,0,0,0,0,0,0,0,0.0,411,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.2,4417,0,0,0,0,0,101,0,0,0,Man Utd,Watford,West Brom,Chelsea,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tammy,Abraham,FWD,SWA,6000000,2,48,4.4,7.33333333333333e-07,8e-06,0,342046,0,11,0,0,0,4,0,8.1,65678,5,-1,48,-5,0.5,0,3.0,8,0,4,0,1,18.1,1127041,0,0,0,1,895,115965,1,0,156,Burnley,Bournemouth,Chelsea,Stoke,West Brom,4.8,4.7,4.7,6.0,5.5,3.9,5.8,6.0,4.4,6.3,3.5,4.8,5.2,5.6,4.9,4.0,5.2,5.2,4.4,3.8,3.6,5.1,6.0,4.8,3.3,5.7,5.6,60.1
Charlie,Adam,MID,STK,4700000,0,1,0.0909090909090909,1.93423597678917e-08,2.1276595744680897e-07,0,5282,0,0,0,0,0,0,0,0.2,214,-3,1,1,3,0.1,0,0.3,0,0,0,0,0,0.1,1838,0,0,0,0,2,114,-1,0,0,Brighton,Crystal Palace,Liverpool,Swansea,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
,Adam Smith,DEF,BOU,4800000,1,17,1.5,3.125e-07,3.5416666666666703e-06,0,31351,3,13,0,0,0,0,0,3.5,944,-2,0,17,2,0.3,0,1.3,0,0,1,0,0,0.5,2982,0,0,0,0,819,183,0,0,131,Huddersfield,Swansea,Burnley,Southampton,Crystal Palace,1.4,0.9,0.9,0.8,1.9,0.8,1.2,0.8,1.2,0.8,1.0,1.3,1.0,1.0,1.0,1.0,1.1,0.8,0.9,1.4,1.4,2.1,0.8,1.0,1.2,0.8,1.0,27.6
,Adrian,GLK,WHU,4300000,0,0,0.0,0.0,0.0,0,12428,0,0,0,0,0,0,0,0.0,453,-2,1,0,2,0.0,0,0.0,0,0,0,0,0,0.4,1601,0,0,0,0,0,91,-1,0,0,Watford,Leicester,Everton,Man City,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibrahim,Afellay,MID,STK,4900000,0,2,0.18181818181818202,3.71057513914657e-08,4.08163265306122e-07,0,1071,1,6,0,0,0,0,0,0.4,72,-1,0,2,1,0.0,0,0.0,0,0,0,0,0,0.0,772,0,0,0,0,62,47,0,0,4,Brighton,Crystal Palace,Liverpool,Swansea,Tottenham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4
Benik,Afobe,FWD,BOU,5700000,0,14,1.27272727272727,2.2328548644338103e-07,2.45614035087719e-06,0,27867,0,5,0,0,0,0,0,2.5,706,-3,0,14,3,0.4,0,2.3,0,0,0,0,1,0.2,4141,0,0,0,0,340,320,0,0,44,Huddersfield,Swansea,Burnley,Southampton,Crystal Palace,0.8,0.8,0.6,0.6,0.9,0.6,0.8,0.6,0.8,1.1,0.7,1.0,0.7,0.6,1.0,0.6,0.8,0.6,0.6,0.9,1.0,1.2,0.6,0.8,0.8,0.6,0.6,16.0
Sergio,Aguero,FWD,MCI,11800000,8,67,8.4,7.118644067796609e-07,5.6779661016949205e-06,0,1687337,0,1,0,0,0,8,0,5.7,105742,3,0,67,-3,0.4,0,5.0,11,0,6,0,3,22.2,2192175,0,0,0,1,602,116394,0,0,283,Leicester,Huddersfield,Southampton,West Ham,Man Utd,10.5,10.2,10.4,12.0,9.0,12.0,10.1,11.0,10.5,10.5,10.1,10.0,12.1,12.3,11.2,12.0,9.2,9.7,10.9,11.4,10.5,12.5,10.5,10.5,10.5,12.4,12.1,97.4
Nathan,Ake,DEF,BOU,4900000,7,30,2.7,5.510204081632651e-07,6.1224489795918405e-06,0,244090,1,14,0,0,0,0,0,6.1,4245,-1,0,30,1,0.8,0,3.7,5,0,2,0,0,3.8,51888,0,0,0,0,982,13543,0,0,193,Huddersfield,Swansea,Burnley,Southampton,Crystal Palace,3.3,2.4,2.5,2.2,3.4,1.5,2.9,1.8,2.9,2.2,2.6,3.2,2.5,2.6,2.5,2.5,2.7,1.8,2.4,3.2,3.3,3.9,2.0,2.6,2.9,1.9,2.5,29.3
Marc,Albrighton,MID,LEI,5500000,1,21,1.9,3.45454545454545e-07,3.81818181818182e-06,0,137822,2,11,0,0,0,0,0,3.8,7239,0,0,21,0,0.2,0,1.3,0,0,2,0,1,1.4,115120,0,0,0,0,695,187,0,0,96,Man City,West Ham,Tottenham,Burnley,Newcastle,1.0,1.0,1.2,1.4,1.0,1.2,1.9,1.6,1.2,1.0,1.8,1.1,1.0,1.4,1.6,1.0,1.4,1.6,1.0,2.0,1.0,1.8,1.1,1.2,1.1,1.8,1.0,32.1
