FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4400000,1,1,0.0833333333333333,1.8939393939393898e-08,2.2727272727272702e-07,0,10813,0,1,0,0,0,0,0,0.2,333,-1,0,1,1,0.1,0,0.3,0,0,0,0,0,0.2,4573,0,0,0,0,24,154,0,0,5,Watford,West Brom,Chelsea,Leicester,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Tammy,Abraham,FWD,SWA,6000000,2,50,4.2,7e-07,8.33333333333333e-06,0,566098,0,13,0,0,0,4,0,8.3,222712,5,0,50,-5,0.5,0,3.0,8,0,4,0,1,14.3,1147095,0,0,0,1,976,17383,0,0,159,Bournemouth,Chelsea,Stoke,West Brom,Man City,0.0,0.0,5.6,5.3,3.8,5.5,6.0,3.8,5.3,3.8,4.5,5.1,5.4,4.8,4.0,4.8,5.2,4.1,4.1,3.4,5.0,5.7,4.4,3.0,4.8,5.4,63.9
Charlie,Adam,MID,STK,4700000,0,1,0.0833333333333333,1.77304964539007e-08,2.1276595744680897e-07,0,5444,0,0,0,0,0,0,0,0.2,162,-3,0,1,3,0.1,0,0.3,0,0,0,0,0,0.1,1911,0,0,0,0,2,70,0,0,0,Crystal Palace,Liverpool,Swansea,Tottenham,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
,Adam Smith,DEF,BOU,4800000,1,18,1.5,3.125e-07,3.75e-06,0,32134,3,13,0,0,0,0,0,3.8,772,-2,0,18,2,0.2,0,1.0,0,0,1,0,0,0.5,3200,0,0,0,0,866,215,0,0,140,Swansea,Burnley,Southampton,Crystal Palace,Man Utd,0.8,1.1,1.0,1.8,0.8,1.3,0.8,1.4,0.8,1.0,1.5,0.9,0.9,1.1,0.9,1.2,0.8,1.1,1.4,1.2,2.2,0.8,1.1,1.0,0.8,0.9,29.1
,Adrian,GLK,WHU,4300000,0,0,0.0,0.0,0.0,0,12716,0,0,0,0,0,0,0,0.0,279,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.4,1687,0,0,0,0,0,84,0,0,0,Leicester,Everton,Man City,Chelsea,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibrahim,Afellay,MID,STK,4900000,0,2,0.166666666666667,3.40136054421769e-08,4.08163265306122e-07,0,1143,1,6,0,0,0,0,0,0.4,71,-1,0,2,1,0.0,0,0.0,0,0,0,0,0,0.0,805,0,0,0,0,62,33,0,0,4,Crystal Palace,Liverpool,Swansea,Tottenham,Burnley,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4
Benik,Afobe,FWD,BOU,5700000,0,14,1.16666666666667,2.04678362573099e-07,2.45614035087719e-06,0,28331,0,5,0,0,0,0,0,2.5,458,-3,0,14,3,0.1,0,0.7,0,0,0,0,1,0.2,4612,0,0,0,0,340,454,0,0,44,Swansea,Burnley,Southampton,Crystal Palace,Man Utd,0.6,0.6,0.6,0.7,0.6,0.8,0.6,0.8,1.0,0.6,0.9,0.6,0.6,0.9,0.6,0.8,0.6,0.6,0.9,0.7,1.2,0.6,0.7,0.6,0.6,0.6,16.0
Sergio,Aguero,FWD,MCI,11700000,0,67,8.4,7.179487179487179e-07,5.7264957264957295e-06,0,1880473,0,1,0,0,0,8,0,5.7,190741,2,1,67,-2,0.2,0,2.7,11,0,6,0,3,19.0,2218145,0,0,0,1,602,24054,-1,0,283,Huddersfield,Southampton,West Ham,Man Utd,Swansea,10.2,10.7,12.1,9.3,11.8,10.7,11.4,10.5,10.4,10.3,10.0,12.1,11.8,10.9,11.5,8.9,9.2,11.1,11.3,10.7,12.3,10.4,10.6,10.5,12.6,11.7,97.4
Nathan,Ake,DEF,BOU,4900000,6,36,3.0,6.12244897959184e-07,7.346938775510201e-06,0,247808,1,14,0,0,0,0,0,7.3,3632,-1,0,36,1,1.0,0,5.0,5,0,3,0,0,4.0,63322,0,0,0,0,1072,11109,0,0,219,Swansea,Burnley,Southampton,Crystal Palace,Man Utd,2.6,3.1,3.0,3.5,1.7,3.7,2.1,3.8,2.6,3.0,4.0,2.8,2.9,3.1,2.7,3.3,2.1,3.2,3.8,3.5,4.5,2.2,3.1,3.0,2.5,2.7,32.9
Marc,Albrighton,MID,LEI,5500000,2,23,1.9,3.45454545454545e-07,4.18181818181818e-06,0,141691,2,13,0,0,0,0,0,4.2,3729,0,0,23,0,0.2,0,1.3,0,0,2,0,1,1.3,115420,0,0,0,0,761,299,0,0,103,West Ham,Tottenham,Burnley,Newcastle,Southampton,1.1,1.2,1.3,1.1,1.3,1.8,1.4,1.1,1.0,1.8,1.2,1.0,1.5,1.6,1.0,1.3,1.6,1.1,2.0,1.0,1.7,1.1,1.3,1.1,1.8,1.0,33.1
Toby,Alderweireld,DEF,TOT,5900000,0,38,3.8,6.44067796610169e-07,6.44067796610169e-06,0,529342,3,7,0,0,0,0,0,6.4,48503,-1,0,38,1,0.1,0,0.7,3,0,5,0,0,7.1,160064,0,0,0,0,900,137,0,0,200,West Brom,Leicester,Watford,Stoke,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,5.2,3.7,3.8,4.3,4.4,3.2,5.4,4.5,5.5,3.5,4.7,4.1,3.8,3.2,4.2,4.4,4.2,3.9,27.7
Trent,Alexander-Arnold,DEF,LIV,4200000,7,8,0.666666666666667,1.58730158730159e-07,1.9047619047619e-06,0,148837,2,8,0,0,0,0,0,1.9,2161,-3,0,8,3,0.5,0,2.3,1,0,1,0,0,1.2,79135,0,0,0,0,360,8899,0,0,68,Chelsea,Stoke,Brighton,Everton,West Brom,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.5,0.3,0.3,0.3,0.3,0.3,0.4,26.2
Joe,Allen,MID,STK,5200000,2,24,2.2,4.23076923076923e-07,4.6153846153846195e-06,0,152210,4,17,0,0,0,0,0,4.6,2900,-3,0,24,3,0.4,0,2.0,1,0,2,0,1,1.4,16939,0,0,0,0,983,367,0,0,140,Crystal Palace,Liverpool,Swansea,Tottenham,Burnley,1.4,1.8,2.0,1.2,1.4,2.2,1.9,1.3,1.6,2.1,1.1,2.2,1.2,1.7,1.5,1.5,1.6,1.1,2.5,1.1,1.5,1.5,1.7,1.1,2.2,2.1,41.8
Bamidele,Alli,MID,TOT,9200000,2,51,4.6,5e-07,5.54347826086957e-06,0,1458980,1,9,0,0,0,3,0,5.5,62197,-3,1,51,3,0.1,0,1.3,4,0,5,0,2,16.3,560109,0,0,0,1,965,10452,-1,0,147,West Brom,Leicester,Watford,Stoke,Brighton,5.8,4.6,4.7,5.1,4.8,3.2,4.5,5.0,6.2,5.9,6.7,5.0,5.3,3.1,6.7,4.5,6.3,5.1,6.1,4.9,4.4,3.4,4.1,4.1,4.5,5.5,83.7
Marcos,Alonso,DEF,CHE,6900000,14,60,5.0,7.2463768115942e-07,8.69565217391304e-06,0,708313,3,10,0,0,0,3,0,8.7,12779,-1,0,60,1,1.3,0,8.7,5,0,5,0,0,14.4,587940,0,0,0,2,1025,31363,0,0,247,Liverpool,Swansea,Newcastle,West Ham,Huddersfield,5.5,4.8,6.1,6.5,6.3,5.6,5.0,6.3,5.8,4.9,5.0,6.8,5.5,7.5,6.7,4.5,5.3,6.9,6.3,6.0,6.8,6.9,7.2,6.2,6.6,5.8,66.6
Daniel,Amartey,MID,LEI,4400000,0,1,0.0833333333333333,1.8939393939393898e-08,2.2727272727272702e-07,0,12654,0,2,0,0,0,0,0,0.2,471,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.2,8998,0,0,0,0,18,115,0,0,2,West Ham,Tottenham,Burnley,Newcastle,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
Ethan,Ampadu,MID,CHE,4500000,0,0,0.0,0.0,0.0,0,182,0,0,0,0,0,0,0,0.0,43,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,303,0,0,0,0,0,45,0,0,0,Liverpool,Swansea,Newcastle,West Ham,Huddersfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nordin,Amrabat,MID,WAT,5000000,0,6,2.0,4e-07,1.2e-06,0,7379,0,3,0,0,0,0,0,1.2,30,0,0,6,0,0.0,0,0.0,0,0,1,0,0,0.0,3618,0,0,0,0,198,1,0,0,11,Newcastle,Man Utd,Tottenham,Burnley,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
