FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4400000,0,1,0.0769230769230769,1.74825174825175e-08,2.2727272727272702e-07,0,11072,0,1,0,0,0,0,0,0.2,255,-1,0,1,1,0.1,0,0.3,0,0,0,0,0,0.2,4628,0,0,0,0,24,53,0,0,5,West Brom,Chelsea,Leicester,Everton,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Tammy,Abraham,FWD,SWA,5900000,1,51,3.9,6.61016949152542e-07,8.64406779661017e-06,0,706133,0,13,0,0,0,4,0,8.6,133170,4,1,51,-4,0.3,0,1.7,8,0,4,0,1,11.9,1159870,0,0,0,1,982,12598,-1,0,162,Chelsea,Stoke,West Brom,Man City,Everton,0.0,5.0,4.8,3.6,5.0,5.7,3.4,4.6,3.5,4.2,4.6,4.4,4.3,3.5,4.3,4.8,3.7,3.8,2.9,4.5,5.4,3.9,2.9,4.2,5.0,63.9
Charlie,Adam,MID,STK,4700000,0,1,0.0769230769230769,1.6366612111293e-08,2.1276595744680897e-07,0,5576,0,0,0,0,0,0,0,0.2,129,-3,0,1,3,0.0,0,0.0,0,0,0,0,0,0.1,1969,0,0,0,0,2,57,0,0,0,Liverpool,Swansea,Tottenham,Burnley,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
,Adam Smith,DEF,BOU,4800000,6,24,1.8,3.75e-07,5e-06,0,32559,3,13,0,0,0,0,0,5.0,404,-2,0,24,2,0.6,0,2.7,0,0,2,0,0,0.5,3662,0,0,0,0,956,458,0,0,167,Burnley,Southampton,Crystal Palace,Man Utd,Liverpool,1.4,1.3,2.1,0.9,1.7,0.9,1.8,1.2,1.4,1.8,1.3,1.3,1.5,1.3,1.4,0.9,1.4,1.7,1.7,2.7,1.0,1.4,1.3,1.1,1.3,32.5
,Adrian,GLK,WHU,4300000,0,0,0.0,0.0,0.0,0,12984,0,0,0,0,0,0,0,0.0,264,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.3,1749,0,0,0,0,0,62,0,0,0,Everton,Man City,Chelsea,Arsenal,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibrahim,Afellay,MID,STK,4900000,0,2,0.153846153846154,3.13971742543171e-08,4.08163265306122e-07,0,1187,1,6,0,0,0,0,0,0.4,43,-1,0,2,1,0.0,0,0.0,0,0,0,0,0,0.0,823,0,0,0,0,62,18,0,0,4,Liverpool,Swansea,Tottenham,Burnley,West Ham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4
Benik,Afobe,FWD,BOU,5700000,1,15,1.15384615384615,2.0242914979757102e-07,2.63157894736842e-06,0,28714,0,5,0,0,0,0,0,2.6,371,-3,0,15,3,0.1,0,0.3,0,0,0,0,1,0.2,5053,0,0,0,0,351,433,0,0,47,Burnley,Southampton,Crystal Palace,Man Utd,Liverpool,0.6,0.6,0.7,0.6,0.7,0.6,0.8,1.0,0.6,0.7,0.6,0.6,0.9,0.6,0.7,0.6,0.6,0.8,0.6,1.1,0.6,0.7,0.6,0.6,0.6,16.1
Sergio,Aguero,FWD,MCI,11700000,8,75,8.3,7.0940170940171e-07,6.41025641025641e-06,0,1952708,0,2,0,0,0,9,0,6.4,67563,2,0,75,-2,0.5,0,5.3,13,0,6,0,3,19.1,2294218,0,0,0,1,687,75556,0,0,309,Southampton,West Ham,Man Utd,Swansea,Tottenham,10.9,12.0,9.0,11.4,10.7,11.3,10.5,10.0,10.2,9.9,11.7,11.7,11.1,11.4,8.7,9.5,10.8,11.6,10.5,12.3,10.3,10.7,10.3,12.4,11.3,109.7
Nathan,Ake,DEF,BOU,4900000,6,42,3.2,6.53061224489796e-07,8.571428571428571e-06,0,250722,1,14,0,0,0,0,0,8.6,2835,-1,0,42,1,1.3,0,6.3,5,0,4,0,0,4.1,73903,0,0,0,0,1162,10360,0,0,246,Burnley,Southampton,Crystal Palace,Man Utd,Liverpool,3.3,3.2,3.7,2.0,3.9,2.3,4.1,3.0,3.3,4.1,3.1,3.2,3.5,3.1,3.5,2.5,3.4,3.9,3.9,4.8,2.6,3.5,3.1,2.9,3.2,38.0
Marc,Albrighton,MID,LEI,5500000,10,33,2.5,4.54545454545455e-07,6e-06,0,143393,2,14,0,0,0,1,0,6.0,1626,0,0,33,0,0.8,0,4.3,3,0,2,0,1,1.4,118068,0,0,0,1,851,2634,0,0,135,Tottenham,Burnley,Newcastle,Southampton,Crystal Palace,1.9,2.0,1.9,1.8,2.7,2.2,1.9,1.2,2.7,1.8,1.5,2.2,2.5,1.2,2.0,2.4,1.7,2.7,1.4,2.5,1.8,2.0,1.6,2.6,1.5,39.8
