FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4400000,1,2,0.14285714285714302,3.24675324675325e-08,4.54545454545455e-07,0,11338,0,1,0,0,0,0,0,0.5,257,-1,0,2,1,0.1,0,0.5,0,0,0,0,0,0.2,4689,0,0,0,0,50,61,0,0,11,Chelsea,Leicester,Everton,Arsenal,West Ham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.2
Tammy,Abraham,FWD,SWA,5900000,0,51,3.9,6.61016949152542e-07,8.64406779661017e-06,0,755409,0,13,0,0,0,4,0,8.6,43434,4,0,51,-4,0.2,0,1.3,8,0,4,0,1,11.7,1198096,0,0,0,1,982,37934,0,0,162,Stoke,West Brom,Man City,Everton,Crystal Palace,5.1,5.0,3.8,4.3,5.4,3.4,4.7,3.8,4.2,4.4,4.5,4.2,3.7,4.0,5.1,3.7,4.0,3.0,4.5,5.2,4.0,3.0,4.2,5.1,63.9
Charlie,Adam,MID,STK,4700000,1,2,0.14285714285714302,3.03951367781155e-08,4.25531914893617e-07,0,5712,0,0,0,0,0,0,0,0.4,133,-3,0,2,3,0.1,0,0.3,0,0,0,0,0,0.1,2052,0,0,0,0,7,83,0,0,2,Swansea,Tottenham,Burnley,West Ham,West Brom,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3
,Adam Smith,DEF,BOU,4800000,0,24,1.8,3.75e-07,5e-06,0,33279,3,13,0,0,0,0,0,5.0,709,-2,0,24,2,0.4,0,2.0,0,0,2,0,0,0.5,3909,0,0,0,0,956,232,0,0,167,Southampton,Crystal Palace,Man Utd,Liverpool,Man City,1.3,2.2,0.9,1.6,0.9,1.9,1.2,1.4,1.7,1.3,1.3,1.4,1.2,1.4,0.9,1.4,1.7,1.7,2.7,1.0,1.4,1.3,1.2,1.3,32.5
,Adrian,GLK,WHU,4300000,0,0,0.0,0.0,0.0,0,13250,0,0,0,0,0,0,0,0.0,260,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.3,1913,0,0,0,0,0,164,0,0,0,Man City,Chelsea,Arsenal,Stoke,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibrahim,Afellay,MID,STK,4900000,0,2,0.14285714285714302,2.91545189504373e-08,4.08163265306122e-07,0,1238,1,6,0,0,0,0,0,0.4,50,-1,0,2,1,0.0,0,0.0,0,0,0,0,0,0.0,851,0,0,0,0,62,27,0,0,4,Swansea,Tottenham,Burnley,West Ham,West Brom,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4
Benik,Afobe,FWD,BOU,5700000,0,15,1.07142857142857,1.8796992481203e-07,2.63157894736842e-06,0,29164,0,5,0,0,0,0,0,2.6,442,-3,0,15,3,0.1,0,0.3,0,0,0,0,1,0.2,5246,0,0,0,0,351,180,0,0,47,Southampton,Crystal Palace,Man Utd,Liverpool,Man City,0.5,0.6,0.5,0.6,0.5,0.8,0.8,0.5,0.6,0.5,0.5,0.8,0.5,0.6,0.5,0.5,0.7,0.6,0.9,0.5,0.6,0.5,0.5,0.5,16.1
Sergio,Aguero,FWD,MCI,11700000,2,77,7.7,6.58119658119658e-07,6.581196581196579e-06,0,2001322,0,3,0,0,0,9,0,6.6,45626,2,0,77,-2,0.4,0,4.5,13,0,6,0,3,19.8,2378613,0,0,0,1,777,81909,0,0,316,West Ham,Man Utd,Swansea,Tottenham,Bournemouth,11.2,8.4,10.5,10.0,10.3,9.9,9.6,9.3,9.3,10.6,10.7,10.3,10.6,7.7,8.4,10.3,10.6,9.6,11.2,9.5,10.1,9.5,11.6,10.4,120.3
Nathan,Ake,DEF,BOU,4900000,1,43,3.1,6.3265306122449e-07,8.77551020408163e-06,0,256059,1,16,0,0,0,0,0,8.8,5224,-1,0,43,1,1.0,0,5.0,5,0,4,0,0,4.1,80926,0,0,0,0,1252,6627,0,0,262,Southampton,Crystal Palace,Man Utd,Liverpool,Man City,3.1,3.7,1.9,3.6,2.3,4.1,2.9,3.2,3.8,3.1,3.1,3.2,3.0,3.3,2.3,3.3,3.7,3.8,4.6,2.6,3.3,3.1,2.8,3.0,40.0
Marc,Albrighton,MID,LEI,5500000,8,41,2.9,5.27272727272727e-07,7.45454545454545e-06,0,145397,2,15,0,0,0,1,0,7.5,1940,0,0,41,0,1.0,0,5.3,6,0,2,0,2,1.6,133399,0,0,0,1,941,15236,0,0,165,Burnley,Newcastle,Southampton,Crystal Palace,Man Utd,2.5,2.3,2.3,3.2,2.6,2.4,1.5,3.5,2.2,1.9,2.6,3.2,1.5,2.5,3.1,2.1,3.3,1.9,3.1,2.3,2.5,2.1,3.4,1.9,48.8
