FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4300000,0,2,0.125,2.9069767441860498e-08,4.65116279069767e-07,0,13450,0,1,0,0,0,0,0,0.5,968,-2,0,2,2,0.1,0,0.4,0,0,0,0,0,0.2,8351,0,0,0,0,50,1582,0,0,11,Everton,Arsenal,West Ham,Man City,Brighton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.2
Tammy,Abraham,FWD,SWA,5900000,4,57,3.8,6.44067796610169e-07,9.66101694915254e-06,0,877540,0,15,0,0,0,4,0,9.7,63966,4,0,57,-4,0.3,0,1.8,8,0,4,0,2,10.2,1240220,0,0,0,1,1086,12712,0,0,177,Man City,Everton,Crystal Palace,Liverpool,Watford,3.8,3.8,5.1,3.3,4.2,4.0,4.0,4.3,4.4,3.7,4.0,3.9,5.0,3.2,4.1,2.9,4.0,5.1,3.7,3.3,4.0,5.2,71.3
Charlie,Adam,MID,STK,4700000,0,2,0.125,2.6595744680851098e-08,4.25531914893617e-07,0,5999,0,0,0,0,0,0,0,0.4,113,-3,0,2,3,0.0,0,0.2,0,0,0,0,0,0.1,2195,0,0,0,0,7,59,0,0,2,Burnley,West Ham,West Brom,Huddersfield,Chelsea,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3
,Adam Smith,DEF,BOU,4800000,0,25,1.8,3.75e-07,5.20833333333333e-06,0,36495,4,14,0,0,0,0,0,5.2,549,-2,0,25,2,0.3,0,1.6,0,0,2,0,0,0.4,4100,0,0,0,0,1046,111,0,0,176,Man Utd,Liverpool,Man City,West Ham,Everton,0.9,1.5,1.0,2.1,1.2,1.4,1.5,1.4,1.3,1.4,1.1,1.3,0.9,1.4,1.7,1.7,2.6,1.1,1.3,1.3,1.2,1.2,36.8
,Adrian,GLK,WHU,4300000,5,7,0.4375,1.01744186046512e-07,1.62790697674419e-06,0,14059,2,2,0,8,0,0,0,1.6,462,-2,0,7,2,0.3,0,1.4,0,0,1,0,0,0.5,11815,0,0,0,0,180,8776,0,0,39,Arsenal,Stoke,Newcastle,Bournemouth,West Brom,0.2,0.2,0.2,0.2,0.0,0.4,0.2,0.2,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,4.8
Ibrahim,Afellay,MID,STK,4900000,1,4,0.25,5.10204081632653e-08,8.16326530612245e-07,0,1309,1,6,0,0,0,0,0,0.8,31,-1,0,4,1,0.1,0,0.4,0,0,0,0,0,0.0,905,0,0,0,0,92,27,0,0,12,Burnley,West Ham,West Brom,Huddersfield,Chelsea,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9
Benik,Afobe,FWD,BOU,5700000,1,17,1.0625,1.8640350877193e-07,2.98245614035088e-06,0,29913,0,5,0,0,0,0,0,3.0,319,-3,0,17,3,0.1,0,0.6,0,0,0,0,1,0.2,5530,0,0,0,0,355,92,0,0,53,Man Utd,Liverpool,Man City,West Ham,Everton,0.5,0.6,0.5,0.7,0.8,0.5,0.6,0.5,0.5,0.8,0.5,0.7,0.5,0.5,0.7,0.6,0.8,0.5,0.6,0.5,0.5,0.5,16.1
Sergio,Aguero,FWD,MCI,11600000,0,79,7.2,6.20689655172414e-07,6.81034482758621e-06,0,2247335,0,4,0,0,0,9,0,6.8,91975,1,0,79,-1,0.2,0,2.4,13,0,6,0,3,16.9,2473482,0,0,0,1,861,69118,0,0,319,Swansea,Tottenham,Bournemouth,Newcastle,Crystal Palace,9.3,9.5,9.6,9.3,9.0,9.0,8.8,10.0,10.2,9.0,10.0,7.5,8.2,9.5,10.0,8.8,10.0,8.8,9.5,8.7,10.8,9.8,125.6
Nathan,Ake,DEF,BOU,4900000,1,46,2.9,5.91836734693878e-07,9.38775510204082e-06,0,272718,1,19,0,0,0,0,0,9.4,10012,-1,0,46,1,0.7,0,3.2,5,0,4,0,0,4.0,90903,0,0,0,0,1432,2227,0,0,285,Man Utd,Liverpool,Man City,West Ham,Everton,1.9,3.0,2.2,4.0,2.6,2.9,3.2,2.9,2.7,3.0,2.4,2.8,2.1,3.0,3.4,3.3,4.2,2.3,2.8,2.7,2.6,2.7,46.0
Marc,Albrighton,MID,LEI,5500000,5,49,3.1,5.63636363636364e-07,8.909090909090911e-06,0,154249,2,17,0,0,0,1,0,8.9,3716,0,0,49,0,1.0,0,5.6,6,0,3,0,3,1.9,157890,0,0,0,1,1121,12680,0,0,198,Southampton,Crystal Palace,Man Utd,Watford,Liverpool,2.5,3.4,2.8,2.5,1.6,4.1,2.2,2.4,2.7,3.7,1.6,3.0,3.3,2.4,3.5,2.1,3.5,2.3,2.9,2.3,3.8,1.9,63.2
