FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4300000,1,3,0.17647058823529396,4.10396716826265e-08,6.976744186046509e-07,0,14351,0,1,0,0,0,0,0,0.7,874,-2,0,3,2,0.1,0,0.5,0,0,0,0,0,0.2,9463,0,0,0,0,66,1073,0,0,15,Arsenal,West Ham,Man City,Brighton,Stoke,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.7
Tammy,Abraham,FWD,SWA,5800000,1,58,3.6,6.20689655172414e-07,1e-05,0,940189,0,17,0,0,0,4,0,9.8,59741,3,1,58,-3,0.3,0,1.7,8,0,4,0,2,9.1,1247272,0,0,0,1,1131,6652,-1,0,177,Everton,Crystal Palace,Liverpool,Watford,Tottenham,3.5,4.7,3.1,4.0,3.6,3.9,3.7,3.9,3.6,3.6,3.7,4.4,3.1,3.7,2.7,3.6,4.4,3.5,3.0,3.7,4.8,71.8
Charlie,Adam,MID,STK,4700000,0,2,0.11764705882352902,2.50312891113892e-08,4.25531914893617e-07,0,6107,0,0,0,0,0,0,0,0.4,107,-3,0,2,3,0.0,0,0.2,0,0,0,0,0,0.1,2253,0,0,0,0,7,57,0,0,2,West Ham,West Brom,Huddersfield,Chelsea,Newcastle,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3
,Adam Smith,DEF,BOU,4800000,2,27,1.8,3.75e-07,5.625e-06,0,36965,4,15,0,0,0,0,0,5.6,440,-2,0,27,2,0.4,0,1.7,0,0,2,0,0,0.4,4191,0,0,0,0,1136,85,0,0,190,Liverpool,Man City,West Ham,Everton,Brighton,1.5,1.0,2.1,1.1,1.4,1.6,1.4,1.3,1.5,1.1,1.3,0.9,1.5,1.7,1.6,2.7,1.1,1.4,1.3,1.2,1.2,41.5
,Adrian,GLK,WHU,4300000,8,15,0.882352941176471,2.05198358413133e-07,3.4883720930232598e-06,0,14755,2,2,0,11,0,0,0,3.5,670,-2,0,15,2,0.6,0,2.5,1,0,2,0,0,0.8,26739,0,0,0,0,270,14636,0,0,67,Stoke,Newcastle,Bournemouth,West Brom,Tottenham,0.4,0.5,0.4,0.0,1.0,0.4,0.4,1.3,0.4,0.5,0.4,0.4,0.5,0.5,0.5,0.4,0.5,0.4,0.4,0.4,0.4,6.7
Ibrahim,Afellay,MID,STK,4900000,0,4,0.23529411764705901,4.801920768307321e-08,8.16326530612245e-07,0,1345,1,6,0,0,0,0,0,0.8,34,-1,0,4,1,0.1,0,0.3,0,0,0,0,0,0.0,929,0,0,0,0,92,24,0,0,12,West Ham,West Brom,Huddersfield,Chelsea,Newcastle,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9
Benik,Afobe,FWD,BOU,5700000,1,18,1.05882352941176,1.85758513931889e-07,3.1578947368421102e-06,0,30204,0,5,0,0,0,0,0,3.2,278,-3,0,18,3,0.1,0,0.7,0,0,0,0,1,0.2,5603,0,0,0,0,374,71,0,0,55,Liverpool,Man City,West Ham,Everton,Brighton,0.5,0.5,0.7,0.7,0.5,0.6,0.5,0.5,0.8,0.5,0.7,0.5,0.5,0.7,0.5,0.8,0.5,0.6,0.5,0.5,0.5,16.9
Sergio,Aguero,FWD,MCI,11600000,6,85,7.1,6.12068965517241e-07,7.32758620689655e-06,0,2316050,0,4,0,0,0,10,0,7.3,66026,1,0,85,-1,0.3,0,3.0,13,0,7,0,3,16.4,2514229,0,0,0,1,951,35431,0,0,349,Tottenham,Bournemouth,Newcastle,Crystal Palace,Watford,9.3,9.6,9.3,8.9,8.9,8.6,9.6,9.9,8.6,9.7,7.4,8.0,9.3,9.9,9.0,9.6,8.5,9.3,8.7,10.6,9.8,139.3
Nathan,Ake,DEF,BOU,4900000,2,48,2.8,5.714285714285711e-07,9.79591836734694e-06,0,280275,1,20,0,0,0,0,0,9.8,7165,-1,0,48,1,0.6,0,3.0,5,0,4,0,0,3.9,93189,0,0,0,0,1522,2207,0,0,296,Liverpool,Man City,West Ham,Everton,Brighton,2.9,2.0,3.9,2.3,2.7,3.1,2.7,2.6,3.0,2.2,2.7,1.9,3.0,3.3,3.1,4.2,2.2,2.8,2.6,2.5,2.4,49.5
Marc,Albrighton,MID,LEI,5500000,1,50,2.9,5.27272727272727e-07,9.09090909090909e-06,0,160854,2,17,0,0,0,1,0,9.1,6447,0,0,50,0,0.9,0,4.8,6,0,3,0,3,2.0,168477,0,0,0,1,1139,10051,0,0,198,Crystal Palace,Man Utd,Watford,Liverpool,Huddersfield,3.1,2.5,2.3,1.6,3.6,2.0,2.2,2.6,3.3,1.5,2.7,3.1,2.2,3.1,1.9,3.1,2.0,2.5,2.0,3.4,1.7,63.4
