FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4300000,0,3,0.166666666666667,3.87596899224806e-08,6.976744186046509e-07,0,15657,0,1,0,0,0,0,0,0.7,1289,-2,0,3,2,0.1,0,0.3,0,0,0,0,0,0.2,10569,0,0,0,0,66,1093,0,0,15,West Ham,Man City,Brighton,Stoke,Swansea,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.7
Tammy,Abraham,FWD,SWA,5800000,2,60,3.5,6.03448275862069e-07,1.03448275862069e-05,0,990994,0,20,0,0,0,4,0,10.3,48729,3,0,60,-3,0.3,0,1.7,8,0,4,0,2,8.6,1269080,0,0,0,1,1216,21668,0,0,180,Crystal Palace,Liverpool,Watford,Tottenham,Newcastle,4.2,2.9,3.9,3.7,3.7,3.4,3.9,3.6,3.4,3.4,4.0,3.1,3.7,2.6,3.5,4.3,3.4,2.8,3.7,4.6,74.4
Charlie,Adam,MID,STK,4700000,1,3,0.166666666666667,3.54609929078014e-08,6.382978723404259e-07,0,6257,0,2,0,0,0,0,0,0.6,149,-3,0,3,3,0.1,0,0.3,0,0,0,0,0,0.1,2321,0,0,0,0,35,66,0,0,13,West Brom,Huddersfield,Chelsea,Newcastle,Man Utd,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.6
,Adam Smith,DEF,BOU,4800000,0,27,1.7,3.5416666666666705e-07,5.625e-06,0,37577,4,19,0,0,0,0,0,5.6,600,-2,0,27,2,0.3,0,1.5,0,0,2,0,0,0.4,4328,0,0,0,0,1226,136,0,0,203,Man City,West Ham,Everton,Brighton,Arsenal,0.9,1.8,1.0,1.3,1.5,1.3,1.2,1.3,1.0,1.2,0.9,1.5,1.5,1.6,2.4,1.0,1.2,1.2,1.1,1.1,43.6
,Adrian,GLK,WHU,4300000,6,21,1.16666666666667,2.71317829457364e-07,4.88372093023256e-06,0,16568,2,2,0,11,0,0,0,4.9,1794,-2,0,21,2,0.8,0,3.5,1,0,3,0,0,1.3,55632,0,0,0,0,360,28441,0,0,87,Newcastle,Bournemouth,West Brom,Tottenham,Huddersfield,0.7,0.6,0.0,1.5,0.6,0.7,1.6,0.6,0.8,0.6,0.6,0.8,0.7,0.8,0.6,0.8,0.6,0.6,0.6,0.6,6.8
Ibrahim,Afellay,MID,STK,4800000,0,4,0.222222222222222,4.6296296296296295e-08,8.33333333333333e-07,0,1392,1,6,0,0,0,0,0,0.8,47,-2,1,4,2,0.1,0,0.3,0,0,0,0,0,0.0,955,0,0,0,0,92,26,-1,0,12,West Brom,Huddersfield,Chelsea,Newcastle,Man Utd,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9
Benik,Afobe,FWD,BOU,5700000,0,18,1.0,1.75438596491228e-07,3.1578947368421102e-06,0,30554,0,5,0,0,0,0,0,3.2,339,-3,0,18,3,0.1,0,0.7,0,0,0,0,1,0.2,5763,0,0,0,0,374,157,0,0,55,Man City,West Ham,Everton,Brighton,Arsenal,0.5,0.6,0.6,0.5,0.5,0.5,0.5,0.7,0.5,0.6,0.5,0.5,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.5,16.9
Sergio,Aguero,FWD,MCI,11500000,1,86,6.6,5.73913043478261e-07,7.47826086956522e-06,0,2400266,0,4,0,0,0,10,0,7.5,81475,0,1,86,0,0.3,0,3.2,13,0,7,0,3,16.9,2627473,0,0,0,1,1008,112513,-1,0,349,Bournemouth,Newcastle,Crystal Palace,Watford,Liverpool,8.8,8.6,8.5,8.2,7.8,9.0,9.2,7.7,8.8,6.6,7.2,8.7,9.2,8.3,8.8,7.7,8.5,8.0,9.8,8.9,145.5
Nathan,Ake,DEF,BOU,4900000,-1,47,2.6,5.306122448979589e-07,9.59183673469388e-06,0,291814,2,24,0,0,0,0,0,9.6,11349,-1,0,47,1,0.4,0,1.8,5,0,4,0,0,3.7,95551,0,0,0,0,1612,2321,0,0,309,Man City,West Ham,Everton,Brighton,Arsenal,1.9,3.3,2.0,2.5,2.8,2.5,2.4,2.6,2.0,2.4,1.8,2.8,2.9,3.0,3.7,2.0,2.4,2.3,2.2,2.2,51.9
Marc,Albrighton,MID,LEI,5500000,2,52,2.9,5.27272727272727e-07,9.45454545454545e-06,0,173256,2,19,0,0,0,1,0,9.5,12248,0,0,52,0,0.9,0,4.8,6,0,3,0,3,1.9,173990,0,0,0,1,1215,5141,0,0,209,Man Utd,Watford,Liverpool,Huddersfield,Chelsea,2.4,2.4,1.7,3.3,2.0,2.1,2.6,3.1,1.5,2.6,2.9,2.3,3.0,2.0,3.1,2.1,2.6,2.1,3.0,1.8,68.2
