FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4300000,0,3,0.157894736842105,3.6719706242350095e-08,6.976744186046509e-07,0,16199,0,1,0,0,0,0,0,0.7,537,-2,0,3,2,0.1,0,0.3,0,0,0,0,0,0.2,10716,0,0,0,0,66,145,0,0,15,Man City,Brighton,Stoke,Swansea,Man City,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.7
Tammy,Abraham,FWD,SWA,5700000,2,62,3.4,5.96491228070175e-07,1.0877192982456098e-05,0,1038500,0,21,0,0,0,4,0,10.7,47050,2,1,62,-2,0.3,0,1.8,8,0,4,0,2,7.8,1276598,0,0,0,1,1306,7294,-1,0,182,Liverpool,Watford,Tottenham,Newcastle,Liverpool,2.8,3.7,3.4,3.5,3.4,3.7,3.4,3.2,3.0,3.9,3.0,3.6,2.5,3.4,4.0,3.1,2.7,3.6,4.5,80.7
Charlie,Adam,MID,STK,4700000,0,3,0.157894736842105,3.35946248600224e-08,6.382978723404259e-07,0,6387,0,2,0,0,0,0,0,0.6,130,-3,0,3,3,0.1,0,0.3,0,0,0,0,0,0.1,2354,0,0,0,0,35,33,0,0,13,Huddersfield,Chelsea,Newcastle,Man Utd,Huddersfield,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.6
,Adam Smith,DEF,BOU,4800000,-1,26,1.5,3.125e-07,5.41666666666667e-06,0,38002,5,23,0,0,0,0,0,5.4,413,-2,0,26,2,0.1,0,0.3,0,0,2,0,0,0.4,4669,0,0,0,0,1316,338,0,0,214,West Ham,Everton,Brighton,Arsenal,West Ham,1.5,0.8,1.0,1.2,1.0,1.0,1.1,0.8,1.0,0.8,1.1,1.3,1.2,2.1,0.8,1.0,0.9,0.9,0.9,45.7
,Adrian,GLK,WHU,4300000,1,22,1.1578947368421102,2.69277845777234e-07,5.11627906976744e-06,0,19925,2,5,0,12,0,0,0,5.1,3338,-2,0,22,2,0.9,0,3.7,1,0,3,0,0,1.4,65708,0,0,0,0,450,9599,0,0,98,Bournemouth,West Brom,Tottenham,Huddersfield,Bournemouth,0.6,0.0,1.5,0.6,0.7,1.6,0.6,0.8,0.6,0.6,0.8,0.7,0.7,0.6,0.8,0.6,0.6,0.6,0.6,7.5
Ibrahim,Afellay,MID,STK,4800000,0,4,0.21052631578947398,4.3859649122807e-08,8.33333333333333e-07,0,1422,1,6,0,0,0,0,0,0.8,30,-2,0,4,2,0.1,0,0.3,0,0,0,0,0,0.0,979,0,0,0,0,92,24,0,0,12,Huddersfield,Chelsea,Newcastle,Man Utd,Huddersfield,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9
Benik,Afobe,FWD,BOU,5700000,1,19,1.0,1.75438596491228e-07,3.3333333333333304e-06,0,30778,0,7,0,0,0,0,0,3.3,221,-3,0,19,3,0.1,0,0.7,0,0,0,0,1,0.2,5975,0,0,0,0,392,211,0,0,57,West Ham,Everton,Brighton,Arsenal,West Ham,0.6,0.6,0.5,0.5,0.5,0.5,0.7,0.5,0.6,0.5,0.5,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.5,17.1
Sergio,Aguero,FWD,MCI,11500000,16,102,7.3,6.34782608695652e-07,8.8695652173913e-06,0,2442773,0,4,0,0,0,12,0,8.9,41977,0,0,102,0,0.4,0,5.0,16,0,8,0,4,17.8,2721920,0,0,0,2,1098,92544,0,0,425,Newcastle,Crystal Palace,Watford,Liverpool,Newcastle,9.5,9.4,9.3,9.0,9.9,10.2,9.2,9.8,7.8,8.4,9.5,10.4,9.2,10.3,8.8,9.8,9.1,10.7,9.8,160.5
Nathan,Ake,DEF,BOU,4900000,0,47,2.5,5.102040816326529e-07,9.59183673469388e-06,0,297860,2,28,0,0,0,0,0,9.6,5943,-1,0,47,1,0.2,0,0.8,5,0,4,0,0,3.7,100122,0,0,0,0,1702,4554,0,0,317,West Ham,Everton,Brighton,Arsenal,West Ham,3.1,2.0,2.3,2.6,2.4,2.2,2.5,1.8,2.2,1.7,2.5,2.7,2.7,3.6,1.8,2.4,2.1,2.1,2.1,53.8
Marc,Albrighton,MID,LEI,5500000,4,56,2.9,5.27272727272727e-07,1.01818181818182e-05,0,177882,3,21,0,0,0,1,0,10.2,4520,0,0,56,0,0.7,0,3.8,6,0,3,0,4,1.9,179327,0,0,0,1,1305,5287,0,0,234,Watford,Liverpool,Huddersfield,Chelsea,Watford,2.4,1.7,3.3,2.0,2.2,2.6,3.1,1.5,2.6,3.0,2.3,2.9,1.9,2.9,2.2,2.6,2.1,3.0,1.8,74.4
Toby,Alderweireld,DEF,TOT,5800000,0,38,2.0,3.44827586206897e-07,6.55172413793103e-06,0,623029,3,7,0,0,0,0,0,6.6,5595,-2,0,38,2,0.0,0,0.0,3,0,5,0,0,5.2,160503,0,0,0,0,900,54,0,0,200,Southampton,Swansea,West Ham,Everton,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,1.2,2.0,2.4,2.0,1.2,1.7,1.5,1.4,1.3,1.5,1.9,1.4,1.4,27.7
Trent,Alexander-Arnold,DEF,LIV,4200000,0,17,0.8947368421052628,2.13032581453634e-07,4.04761904761905e-06,0,173457,2,9,0,0,0,0,0,4.0,3568,-3,0,17,3,0.4,0,1.5,2,0,2,0,0,1.2,104612,0,0,0,0,529,5816,0,0,112,Swansea,Leicester,Burnley,Man City,Swansea,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.7,0.4,0.4,0.5,0.9,0.4,0.4,0.4,0.5,0.4,0.7,34.4
