FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW3Forecast,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4500000,0,0,0.0,0.0,0.0,0,3174,0,0,0,0,0,0,0,0.0,1788,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.3,661,0,0,0,0,0,370,0,0,0,West Ham,Swansea,Stoke,Brighton,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tammy,Abraham,FWD,SWA,5500000,2,4,2.0,3.63636363636364e-07,7.27272727272727e-07,0,31205,0,3,0,0,0,0,0,0.7,17412,0,0,4,0,0.4,0,2.0,0,0,1,0,0,2.3,14625,0,0,0,0,162,9527,0,0,5,Crystal Palace,Newcastle,Tottenham,Watford,West Ham,2.2,1.5,2.7,1.0,2.9,1.0,1.4,2.0,2.0,3.0,1.4,2.0,1.0,1.0,1.0,1.2,1.1,1.2,2.2,1.0,2.6,1.2,2.2,1.2,1.0,3.0,2.1,1.2,1.0,1.2,1.3,1.2,2.3,1.0,2.5,3.0,4.1
Charlie,Adam,MID,STK,4900000,0,0,0.0,0.0,0.0,0,1855,0,0,0,0,0,0,0,0.0,890,-1,1,0,1,0.0,0,0.0,0,0,0,0,0,0.1,297,0,0,0,0,0,157,-1,0,0,West Brom,Man Utd,Newcastle,Chelsea,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Adam Smith,DEF,BOU,5000000,1,2,1.0,2e-07,4e-07,0,11874,0,2,0,0,0,0,0,0.4,6713,0,0,2,0,0.2,0,1.0,0,0,0,0,0,0.9,537,0,0,0,0,100,133,0,0,16,Man City,Arsenal,Brighton,Everton,Leicester,0.5,0.5,0.9,0.5,0.5,1.5,0.5,0.5,0.7,0.5,0.9,0.5,0.5,1.1,0.5,0.6,0.8,0.5,0.5,0.9,0.6,0.5,0.6,1.5,0.5,0.7,0.5,0.9,0.7,0.8,1.1,0.5,0.5,0.5,0.5,0.8,2.2
,Adrian,GLK,WHU,4500000,0,0,0.0,0.0,0.0,0,4420,0,0,0,0,0,0,0,0.0,2167,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.5,365,0,0,0,0,0,146,0,0,0,Newcastle,Huddersfield,West Brom,Tottenham,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibrahim,Afellay,MID,STK,5000000,0,0,0.0,0.0,0.0,0,349,0,0,0,0,0,0,0,0.0,185,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,66,0,0,0,0,0,27,0,0,0,West Brom,Man Utd,Newcastle,Chelsea,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benik,Afobe,FWD,BOU,5900000,1,3,1.5,2.5423728813559297e-07,5.084745762711859e-07,0,12365,0,1,0,0,0,0,0,0.5,6660,-1,1,3,1,0.3,0,1.5,0,0,0,0,0,0.5,1322,0,0,0,0,121,332,-1,0,9,Man City,Arsenal,Brighton,Everton,Leicester,0.8,1.0,1.9,0.8,1.4,1.5,0.8,0.8,1.5,0.8,1.3,0.8,0.8,1.1,0.8,1.2,1.2,2.1,1.2,1.9,1.9,1.9,1.0,2.2,0.8,1.5,0.8,0.8,0.8,1.2,1.1,0.8,0.8,0.8,0.8,1.8,9.0
Sergio,Aguero,FWD,MCI,11500000,2,11,5.5,4.78260869565217e-07,9.56521739130435e-07,0,66212,0,1,0,0,0,1,0,1.0,41142,0,0,11,0,0.5,0,5.5,3,0,1,0,0,12.7,108851,0,0,0,0,172,68915,0,0,43,Bournemouth,Liverpool,Watford,Crystal Palace,Chelsea,8.2,6.0,8.2,5.5,8.2,8.2,4.2,6.2,7.7,6.1,6.1,4.5,5.8,6.1,8.2,3.0,5.5,8.2,8.2,3.0,6.0,5.5,3.3,8.2,6.6,7.2,3.9,5.1,5.5,5.9,3.2,8.2,3.6,8.0,3.2,6.9,19.1
Nathan,Ake,DEF,BOU,5000000,1,4,2.0,4e-07,8e-07,0,71749,0,3,0,0,0,0,0,0.8,54494,0,0,4,0,0.4,0,2.0,1,0,0,0,0,7.0,18369,0,0,0,0,180,3882,0,0,38,Man City,Arsenal,Brighton,Everton,Leicester,1.2,1.0,2.5,1.0,1.5,3.0,1.0,1.4,2.1,1.2,2.5,1.0,1.3,2.7,1.0,1.9,2.2,1.2,1.4,2.5,1.8,1.1,1.9,3.0,1.2,2.1,1.0,2.2,2.0,2.3,2.7,1.0,1.0,1.2,1.4,2.3,7.5
Marc,Albrighton,MID,LEI,5500000,3,8,4.0,7.27272727272727e-07,1.45454545454545e-06,0,30046,0,4,0,0,0,0,0,1.5,22346,0,0,8,0,0.7,0,4.0,0,0,1,0,1,3.2,87433,0,0,0,0,177,17677,0,0,32,Man Utd,Chelsea,Huddersfield,Liverpool,Bournemouth,2.0,5.3,2.0,5.7,3.7,4.3,4.7,6.0,2.0,4.0,3.3,3.2,4.3,3.7,2.1,6.0,3.2,2.9,2.0,4.3,3.9,3.2,2.9,5.1,3.6,6.0,6.0,2.0,6.0,3.0,6.0,4.5,4.9,3.7,6.0,3.8,10.5
