FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4300000,2,5,0.25,5.8139534883720896e-08,1.16279069767442e-06,0,16814,0,2,0,0,0,0,0,1.2,604,-2,0,5,2,0.1,0,0.5,0,0,0,0,0,0.2,11265,0,0,0,0,136,546,0,0,19,Brighton,Stoke,Swansea,Man City,Burnley,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.6
Tammy,Abraham,FWD,SWA,5700000,1,63,3.3,5.789473684210529e-07,1.10526315789474e-05,0,1088631,0,24,0,0,0,4,0,11.1,48438,2,0,63,-2,0.4,0,2.0,8,0,4,0,2,7.1,1285611,0,0,0,1,1334,8792,0,0,185,Watford,Tottenham,Newcastle,Liverpool,Arsenal,3.4,3.3,3.4,3.2,3.6,3.3,3.2,2.8,3.7,2.8,3.6,2.4,3.1,3.7,2.9,2.6,3.4,4.3,82.9
Charlie,Adam,MID,STK,4700000,1,4,0.2,4.25531914893617e-08,8.51063829787234e-07,0,6528,0,2,0,0,0,0,0,0.9,138,-3,0,4,3,0.1,0,0.3,0,0,0,0,0,0.1,2411,0,0,0,0,49,56,0,0,20,Chelsea,Newcastle,Man Utd,Huddersfield,Watford,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,7.1
,Adam Smith,DEF,BOU,4800000,1,27,1.5,3.125e-07,5.625e-06,0,38680,5,26,0,0,0,0,0,5.6,660,-2,0,27,2,0.1,0,0.5,0,0,2,0,0,0.4,4961,0,0,0,0,1406,279,0,0,233,Everton,Brighton,Arsenal,West Ham,Chelsea,0.9,1.0,1.2,1.0,0.9,1.1,0.8,1.0,0.8,1.1,1.3,1.2,2.1,0.8,1.0,0.9,0.9,0.9,49.3
Oluwatosin,Adarabioyo,DEF,MCI,4000000,0,0,0.0,0.0,0.0,0,70,0,0,0,0,0,0,0,0.0,70,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,266,0,0,0,0,0,266,0,0,0,Crystal Palace,Watford,Liverpool,Newcastle,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Adrian,GLK,WHU,4300000,3,25,1.25,2.90697674418605e-07,5.81395348837209e-06,0,26469,2,8,0,19,0,0,0,5.8,6453,-2,0,25,2,1.0,0,4.2,1,0,3,0,0,1.6,78462,0,0,0,0,540,12338,0,0,121,West Brom,Tottenham,Huddersfield,Bournemouth,Crystal Palace,0.0,1.6,0.6,0.8,1.8,0.6,1.0,0.6,0.6,0.9,0.8,0.9,0.6,0.9,0.6,0.6,0.6,0.7,12.9
Ibrahim,Afellay,MID,STK,4800000,0,4,0.2,4.1666666666666696e-08,8.33333333333333e-07,0,1456,1,6,0,0,0,0,0,0.8,34,-2,0,4,2,0.1,0,0.3,0,0,0,0,0,0.0,1013,0,0,0,0,92,34,0,0,12,Chelsea,Newcastle,Man Utd,Huddersfield,Watford,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9
Benik,Afobe,FWD,BOU,5700000,1,20,1.0,1.75438596491228e-07,3.50877192982456e-06,0,31133,0,9,0,0,0,0,0,3.5,347,-3,0,20,3,0.1,0,0.8,0,0,0,0,1,0.2,6216,0,0,0,0,417,238,0,0,56,Everton,Brighton,Arsenal,West Ham,Chelsea,0.6,0.5,0.5,0.5,0.5,0.7,0.5,0.6,0.5,0.5,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.5,24.7
Sergio,Aguero,FWD,MCI,11600000,2,104,6.9,5.94827586206897e-07,8.96551724137931e-06,0,2517175,0,4,0,0,0,12,0,9.0,71464,1,-1,104,-1,0.4,0,4.5,16,0,9,0,4,19.1,2866575,0,0,0,2,1174,142521,1,0,429,Crystal Palace,Watford,Liverpool,Newcastle,West Brom,8.9,8.8,8.1,9.2,9.6,8.6,9.2,7.3,7.6,9.1,9.9,8.7,9.5,8.3,9.3,8.7,10.1,9.2,170.8
Nathan,Ake,DEF,BOU,4900000,9,56,2.8,5.714285714285711e-07,1.14285714285714e-05,0,302913,3,31,0,0,0,1,0,11.4,4863,-1,0,56,1,0.4,0,2.2,5,0,4,0,1,4.1,126105,0,0,0,0,1792,25819,0,0,347,Everton,Brighton,Arsenal,West Ham,Chelsea,2.4,2.7,3.1,2.8,2.6,3.0,2.1,2.7,2.0,2.8,3.3,3.1,4.0,2.1,2.8,2.5,2.6,2.5,66.2
