FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4300000,0,5,0.23809523809523803,5.5370985603543697e-08,1.16279069767442e-06,0,17215,0,2,0,0,0,0,0,1.2,393,-2,0,5,2,0.1,0,0.4,0,0,0,0,0,0.2,11403,0,0,0,0,136,132,0,0,19,Stoke,Swansea,Man City,Burnley,Crystal Palace,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.6
Tammy,Abraham,FWD,SWA,5600000,1,64,3.2,5.714285714285711e-07,1.14285714285714e-05,0,1123205,0,25,0,0,0,4,0,11.2,33629,1,1,64,-1,0.3,0,1.9,8,0,4,0,2,6.5,1290052,0,0,0,1,1390,4283,-1,0,184,Tottenham,Newcastle,Liverpool,Arsenal,Leicester,3.1,3.2,3.1,3.4,3.2,3.0,2.7,3.5,2.7,3.3,2.4,3.0,3.6,2.7,2.5,3.2,4.2,83.4
Charlie,Adam,MID,STK,4700000,2,6,0.28571428571428603,6.0790273556231e-08,1.27659574468085e-06,0,6600,0,6,0,0,0,0,0,1.3,70,-3,0,6,3,0.1,0,0.6,0,0,0,0,0,0.1,2485,0,0,0,0,129,73,0,0,34,Newcastle,Man Utd,Huddersfield,Watford,Bournemouth,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,9.7
,Adam Smith,DEF,BOU,4800000,6,33,1.7,3.5416666666666705e-07,6.875e-06,0,39125,5,27,0,0,0,0,0,6.9,431,-2,0,33,2,0.3,0,1.3,1,0,2,0,1,0.4,5755,0,0,0,0,1496,789,0,0,263,Brighton,Arsenal,West Ham,Chelsea,Stoke,1.2,1.5,1.3,1.1,1.5,0.9,1.3,0.8,1.3,1.5,1.5,2.5,0.9,1.3,1.1,1.1,1.1,57.3
Oluwatosin,Adarabioyo,DEF,MCI,4000000,0,0,0.0,0.0,0.0,0,194,0,0,0,0,0,0,0,0.0,124,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,547,0,0,0,0,0,276,0,0,0,Watford,Liverpool,Newcastle,West Brom,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Adrian,GLK,WHU,4300000,0,25,1.25,2.90697674418605e-07,5.81395348837209e-06,0,33566,2,8,0,19,0,0,0,5.8,6894,-2,0,25,2,1.0,0,4.2,1,0,3,0,0,2.7,147146,0,0,0,0,540,68200,0,0,121,West Brom,Tottenham,Huddersfield,Bournemouth,Crystal Palace,1.6,0.6,0.8,1.8,0.7,1.0,0.6,0.6,0.9,0.8,0.9,0.6,0.9,0.6,0.6,0.6,0.7,12.9
Ibrahim,Afellay,MID,STK,4800000,2,6,0.28571428571428603,5.95238095238095e-08,1.25e-06,0,1484,1,9,0,0,0,0,0,1.3,28,-2,0,6,2,0.1,0,0.6,0,0,0,0,0,0.0,1058,0,0,0,0,162,43,0,0,29,Newcastle,Man Utd,Huddersfield,Watford,Bournemouth,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.8
Benik,Afobe,FWD,BOU,5700000,1,21,1.0,1.75438596491228e-07,3.6842105263157896e-06,0,31347,0,10,0,0,0,0,0,3.7,206,-3,0,21,3,0.2,0,0.9,0,0,0,0,1,0.2,6523,0,0,0,0,468,305,0,0,64,Brighton,Arsenal,West Ham,Chelsea,Stoke,0.5,0.5,0.5,0.5,0.8,0.5,0.6,0.5,0.5,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.5,29.2
Sergio,Aguero,FWD,MCI,11600000,1,105,6.6,5.68965517241379e-07,9.05172413793103e-06,0,2607998,1,4,0,0,0,12,0,9.1,89435,1,0,105,-1,0.3,0,4.0,16,0,10,0,4,21.0,3065402,0,0,0,2,1241,195491,0,0,428,Watford,Liverpool,Newcastle,West Brom,Burnley,8.5,7.6,9.0,9.3,7.9,9.0,6.8,7.3,8.5,9.5,8.2,8.9,7.7,8.9,8.1,9.7,8.8,174.9
Nathan,Ake,DEF,BOU,4900000,2,58,2.8,5.714285714285711e-07,1.18367346938776e-05,0,310399,3,32,0,0,0,1,0,11.8,7371,-1,0,58,1,0.4,0,2.1,5,0,4,0,1,4.2,136500,0,0,0,0,1882,9976,0,0,361,Brighton,Arsenal,West Ham,Chelsea,Stoke,2.7,3.1,2.8,2.5,3.1,2.1,2.8,1.9,2.8,3.2,3.1,4.0,2.1,2.8,2.6,2.5,2.5,69.0
Marc,Albrighton,MID,LEI,5500000,2,66,3.1,5.63636363636364e-07,1.2e-05,0,190676,3,25,0,0,0,1,0,12.0,6614,0,0,66,0,0.7,0,3.6,9,0,3,0,5,2.0,196741,0,0,0,1,1477,8610,0,0,277,Huddersfield,Chelsea,Watford,Everton,Swansea,3.6,2.1,2.5,2.8,3.4,1.7,2.9,3.3,2.6,3.2,2.2,3.2,2.5,2.9,2.3,3.3,1.9,87.5
Toby,Alderweireld,DEF,TOT,5800000,0,38,1.9,3.27586206896552e-07,6.55172413793103e-06,0,632867,3,7,0,0,0,0,0,6.6,2235,-2,0,38,2,0.0,0,0.0,3,0,5,0,0,5.0,160616,0,0,0,0,900,58,0,0,200,Swansea,West Ham,Everton,Southampton,Man Utd,0.0,0.0,0.0,0.0,1.0,1.8,2.3,1.9,1.0,1.5,1.3,1.3,1.3,1.4,1.8,1.3,1.3,27.7
Trent,Alexander-Arnold,DEF,LIV,4200000,0,31,1.47619047619048,3.51473922902494e-07,7.380952380952381e-06,0,192027,2,9,0,0,0,1,0,7.4,12532,-3,0,31,3,0.8,0,3.3,4,0,3,0,0,2.2,176360,0,0,0,1,619,26446,0,0,158,Burnley,Man City,Swansea,Huddersfield,Tottenham,0.9,0.8,0.7,0.7,1.1,0.9,1.5,1.0,0.7,1.2,1.7,0.7,1.0,0.8,1.2,0.9,1.5,42.9
Joe,Allen,MID,STK,5100000,0,60,3.2,6.274509803921571e-07,1.1764705882352901e-05,0,176037,4,34,0,0,0,1,0,11.8,4900,-4,0,60,4,0.9,0,4.6,7,0,2,0,4,1.6,50877,0,0,0,1,1692,8391,0,0,314,Newcastle,Man Utd,Huddersfield,Watford,Bournemouth,3.4,1.7,3.8,2.7,2.8,3.3,2.5,2.7,2.0,3.9,1.9,2.8,2.4,3.1,1.8,3.2,3.2,93.7
Bamidele,Alli,MID,TOT,9000000,0,92,4.8,5.33333333333333e-07,1.02222222222222e-05,0,1782724,3,18,0,0,0,4,0,10.2,13380,-5,0,92,5,0.6,0,5.5,7,0,7,0,8,15.3,854757,0,0,0,2,1564,244143,0,0,287,Swansea,West Ham,Everton,Southampton,Man Utd,11.8,6.8,4.9,5.2,3.4,6.1,4.4,6.7,5.1,6.2,4.0,4.5,3.9,4.1,5.1,4.8,5.7,133.7
Marcos,Alonso,DEF,CHE,7200000,6,116,5.5,7.63888888888889e-07,1.6111111111111098e-05,0,900211,5,14,0,0,0,5,0,16.1,50593,2,0,116,-2,1.0,0,6.9,11,0,10,0,1,22.7,1202013,0,0,0,4,1799,51193,0,0,444,Arsenal,Leicester,Brighton,Bournemouth,Watford,5.4,6.6,6.5,7.0,7.3,8.0,5.4,5.9,8.0,6.7,7.4,8.1,6.8,8.0,6.0,7.3,6.3,139.1
