FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4300000,0,5,0.22727272727272702,5.28541226215645e-08,1.16279069767442e-06,0,17841,0,2,0,0,0,0,0,1.2,600,-2,0,5,2,0.1,0,0.4,0,0,0,0,0,0.2,11577,0,0,0,0,136,166,0,0,19,Swansea,Man City,Burnley,Crystal Palace,Man Utd,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.6
Tammy,Abraham,FWD,SWA,5600000,0,64,3.2,5.714285714285711e-07,1.14285714285714e-05,0,1198771,0,25,0,0,0,4,0,11.4,73018,1,0,64,-1,0.2,0,1.2,8,0,4,0,2,5.2,1292663,0,0,0,1,1390,2355,0,0,184,Newcastle,Liverpool,Arsenal,Leicester,Burnley,0.0,2.9,3.3,3.2,2.9,2.8,3.5,2.7,3.4,2.4,3.1,3.5,2.8,2.5,3.3,4.0,83.4
Charlie,Adam,MID,STK,4700000,2,8,0.36363636363636404,7.73694390715667e-08,1.7021276595744699e-06,0,6742,0,7,0,0,0,0,0,1.7,140,-3,0,8,3,0.3,0,1.2,0,0,0,0,0,0.1,2611,0,0,0,0,219,120,0,0,52,Man Utd,Huddersfield,Watford,Bournemouth,Brighton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,16.2
,Adam Smith,DEF,BOU,4800000,6,39,1.9,3.9583333333333297e-07,8.125e-06,0,39933,5,29,0,0,0,0,0,8.1,773,-2,0,39,2,0.5,0,2.4,3,0,2,0,2,0.4,6937,0,0,0,0,1586,1128,0,0,292,Arsenal,West Ham,Chelsea,Stoke,Huddersfield,1.7,1.5,1.4,1.7,1.1,1.4,1.0,1.5,1.8,1.7,2.7,1.1,1.5,1.4,1.3,1.4,67.0
Oluwatosin,Adarabioyo,DEF,MCI,4000000,0,0,0.0,0.0,0.0,0,437,0,0,0,0,0,0,0,0.0,234,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1058,0,0,0,0,0,491,0,0,0,Liverpool,Newcastle,West Brom,Burnley,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Adrian,GLK,WHU,4300000,6,31,1.40909090909091,3.276955602537e-07,7.209302325581401e-06,0,45808,2,10,0,28,0,0,0,7.2,11738,-2,0,31,2,0.7,0,3.2,1,0,3,0,0,3.3,197919,0,0,0,0,720,44111,0,0,156,Huddersfield,Bournemouth,Crystal Palace,Brighton,Watford,0.7,0.9,2.0,0.8,1.2,0.7,0.7,1.1,1.0,1.0,0.8,1.1,0.7,0.8,0.7,0.8,18.5
Ibrahim,Afellay,MID,STK,4800000,0,6,0.272727272727273,5.68181818181818e-08,1.25e-06,0,1557,1,9,0,0,0,0,0,1.3,70,-2,0,6,2,0.1,0,0.4,0,0,0,0,0,0.0,1108,0,0,0,0,162,46,0,0,29,Man Utd,Huddersfield,Watford,Bournemouth,Brighton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.8
Benik,Afobe,FWD,BOU,5700000,2,23,1.04545454545455,1.8341307814992e-07,4.03508771929825e-06,0,31793,0,12,0,0,0,0,0,4.0,429,-3,0,23,3,0.2,0,1.0,0,0,0,0,1,0.2,6825,0,0,0,0,533,268,0,0,71,Arsenal,West Ham,Chelsea,Stoke,Huddersfield,0.6,0.5,0.5,0.8,0.5,0.6,0.5,0.5,0.7,0.5,0.6,0.5,0.5,0.5,0.6,0.5,31.2
Sergio,Aguero,FWD,MCI,11700000,6,111,6.5,5.55555555555556e-07,9.48717948717949e-06,0,2718880,1,5,0,0,0,13,0,9.5,104519,2,-1,111,-2,0.4,0,5.2,16,0,10,0,4,22.7,3273764,0,0,0,2,1331,189698,1,0,455,Liverpool,Newcastle,West Brom,Burnley,Leicester,7.3,8.6,9.1,8.0,9.0,6.8,7.2,8.5,9.3,8.3,8.4,7.7,8.6,8.0,9.6,8.7,191.3
Nathan,Ake,DEF,BOU,4900000,1,59,2.7,5.510204081632651e-07,1.20408163265306e-05,0,324569,3,32,0,0,0,1,0,12.0,13635,-1,0,59,1,0.4,0,2.2,5,0,4,0,1,4.0,143516,0,0,0,0,1912,6307,0,0,364,Arsenal,West Ham,Chelsea,Stoke,Huddersfield,2.9,2.5,2.4,2.9,2.0,2.5,1.8,2.6,3.0,2.9,3.8,2.0,2.6,2.4,2.4,2.4,69.2
