FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4300000,0,5,0.21739130434782603,5.05561172901921e-08,1.16279069767442e-06,0,18186,0,2,0,0,0,0,0,1.2,340,-2,0,5,2,0.1,0,0.4,0,0,0,0,0,0.2,11662,0,0,0,0,136,83,0,0,19,Man City,Burnley,Crystal Palace,Man Utd,Bournemouth,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.6
Tammy,Abraham,FWD,SWA,5500000,0,64,3.2,5.81818181818182e-07,1.16363636363636e-05,0,1244117,0,25,0,0,0,4,0,11.6,44419,0,1,64,0,0.1,0,0.8,8,0,4,0,2,4.4,1292998,0,0,0,1,1390,327,-1,0,184,Liverpool,Arsenal,Leicester,Burnley,Brighton,0.0,0.0,3.1,3.0,2.8,3.4,2.9,3.4,2.4,2.9,3.6,2.8,2.4,3.3,4.1,83.4
Charlie,Adam,MID,STK,4700000,0,8,0.34782608695652195,7.40055504162812e-08,1.7021276595744699e-06,0,6851,0,7,0,0,0,0,0,1.7,108,-3,0,8,3,0.2,0,1.0,0,0,0,0,0,0.1,2696,0,0,0,0,219,83,0,0,52,Huddersfield,Watford,Bournemouth,Brighton,Leicester,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,16.2
,Adam Smith,DEF,BOU,4800000,2,41,2.0,4.1666666666666704e-07,8.54166666666667e-06,0,40485,5,30,0,0,0,0,0,8.5,545,-2,0,41,2,0.6,0,2.8,3,0,2,0,2,0.4,7566,0,0,0,0,1676,612,0,0,308,West Ham,Chelsea,Stoke,Huddersfield,Newcastle,1.6,1.5,1.9,1.2,1.5,1.1,1.6,2.0,1.8,2.9,1.2,1.7,1.5,1.4,1.4,73.1
Oluwatosin,Adarabioyo,DEF,MCI,4000000,0,0,0.0,0.0,0.0,0,623,0,0,0,0,0,0,0,0.0,185,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1372,0,0,0,0,0,313,0,0,0,Newcastle,West Brom,Burnley,Leicester,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Adrian,GLK,WHU,4400000,2,33,1.4347826086956499,3.26086956521739e-07,7.499999999999999e-06,0,52139,2,11,0,29,0,0,0,7.5,6165,-1,-1,33,1,0.5,0,2.4,1,0,3,0,0,3.6,220572,0,0,0,0,810,22116,1,0,166,Bournemouth,Crystal Palace,Brighton,Watford,Liverpool,0.9,2.0,0.8,1.1,0.7,0.7,1.1,1.0,1.1,0.8,1.2,0.7,0.8,0.7,0.9,19.1
Ibrahim,Afellay,MID,STK,4800000,0,6,0.260869565217391,5.4347826086956504e-08,1.25e-06,0,1595,1,9,0,0,0,0,0,1.3,38,-2,0,6,2,0.1,0,0.4,0,0,0,0,0,0.0,1142,0,0,0,0,162,33,0,0,29,Huddersfield,Watford,Bournemouth,Brighton,Leicester,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.8
Benik,Afobe,FWD,BOU,5700000,1,24,1.0434782608695699,1.83066361556064e-07,4.21052631578947e-06,0,32154,0,12,0,0,0,0,0,4.2,358,-3,0,24,3,0.2,0,1.2,0,0,0,0,1,0.2,7168,0,0,0,0,534,340,0,0,73,West Ham,Chelsea,Stoke,Huddersfield,Newcastle,0.5,0.5,0.8,0.5,0.6,0.5,0.5,0.7,0.5,0.6,0.5,0.5,0.5,0.6,0.5,31.3
Sergio,Aguero,FWD,MCI,11700000,5,116,6.4,5.47008547008547e-07,9.914529914529919e-06,0,2793274,1,9,0,0,0,13,0,9.9,72779,2,0,116,-2,0.5,0,6.0,16,0,10,0,5,23.6,3397814,0,0,0,2,1421,122335,0,0,470,Newcastle,West Brom,Burnley,Leicester,Arsenal,8.6,9.2,7.6,8.9,6.6,7.1,8.2,9.4,8.0,8.3,7.3,8.6,7.8,9.5,8.5,200.4
Nathan,Ake,DEF,BOU,4900000,2,61,2.7,5.510204081632651e-07,1.2448979591836699e-05,0,332476,3,33,0,0,0,1,0,12.4,7756,-1,0,61,1,0.6,0,2.8,5,0,4,0,1,4.0,148973,0,0,0,0,2002,5393,0,0,379,West Ham,Chelsea,Stoke,Huddersfield,Newcastle,2.6,2.5,3.0,2.0,2.5,1.8,2.6,3.1,2.8,3.9,2.0,2.7,2.5,2.3,2.3,71.9
