FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4300000,0,5,0.208333333333333,4.84496124031008e-08,1.16279069767442e-06,0,18427,0,2,0,0,0,0,0,1.2,234,-2,0,5,2,0.0,0,0.0,0,0,0,0,0,0.2,11746,0,0,0,0,136,82,0,0,19,Burnley,Crystal Palace,Man Utd,Bournemouth,Liverpool,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,4.6
Tammy,Abraham,FWD,SWA,5500000,0,64,3.2,5.81818181818182e-07,1.16363636363636e-05,0,1267845,0,25,0,0,0,4,0,11.6,22458,0,0,64,0,0.0,0,0.0,8,0,4,0,2,4.0,1293893,0,0,0,1,1390,891,0,0,184,Arsenal,Leicester,Burnley,Brighton,West Ham,3.4,2.9,3.1,2.9,3.5,2.8,3.5,2.3,2.9,3.7,2.8,2.4,3.2,4.1,83.4
Charlie,Adam,MID,STK,4700000,3,11,0.4583333333333329,9.751773049645391e-08,2.34042553191489e-06,0,6969,0,7,0,0,0,0,0,2.3,116,-3,0,11,3,0.4,0,1.7,0,0,1,0,0,0.1,3024,0,0,0,0,289,327,0,0,58,Watford,Bournemouth,Brighton,Leicester,Southampton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,17.5
,Adam Smith,DEF,BOU,4800000,2,43,2.0,4.1666666666666704e-07,8.95833333333333e-06,0,41148,5,31,0,0,0,0,0,9.0,654,-2,0,43,2,0.7,0,3.3,3,0,2,0,2,0.4,8350,0,0,0,0,1766,767,0,0,321,Chelsea,Stoke,Huddersfield,Newcastle,Leicester,1.6,1.9,1.3,1.5,1.1,1.6,1.8,1.8,2.9,1.4,1.6,1.6,1.5,1.5,74.9
Oluwatosin,Adarabioyo,DEF,MCI,4000000,0,0,0.0,0.0,0.0,0,843,0,0,0,0,0,0,0,0.0,218,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1735,0,0,0,0,0,358,0,0,0,West Brom,Burnley,Leicester,Arsenal,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Adrian,GLK,WHU,4400000,2,35,1.4583333333333302,3.31439393939394e-07,7.95454545454546e-06,0,60018,2,12,0,31,0,0,0,8.0,7723,-1,0,35,1,0.6,0,2.5,1,0,3,0,0,3.8,236277,0,0,0,0,900,14915,0,0,179,Crystal Palace,Brighton,Watford,Liverpool,Swansea,2.0,0.9,1.2,0.7,0.7,1.1,1.0,1.1,0.9,1.2,0.7,0.8,0.7,0.9,20.4
Ibrahim,Afellay,MID,STK,4800000,0,6,0.25,5.20833333333333e-08,1.25e-06,0,1636,1,9,0,0,0,0,0,1.3,40,-2,0,6,2,0.0,0,0.0,0,0,0,0,0,0.0,1176,0,0,0,0,162,33,0,0,29,Watford,Bournemouth,Brighton,Leicester,Southampton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.8
Benik,Afobe,FWD,BOU,5700000,0,24,1.0,1.75438596491228e-07,4.21052631578947e-06,0,32488,0,12,0,0,0,0,0,4.2,325,-3,0,24,3,0.2,0,1.0,0,0,0,0,1,0.2,7356,0,0,0,0,534,184,0,0,73,Chelsea,Stoke,Huddersfield,Newcastle,Leicester,0.5,0.7,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.5,0.5,0.5,0.5,0.5,31.3
Sergio,Aguero,FWD,MCI,11900000,17,133,7.0,5.882352941176471e-07,1.1176470588235302e-05,0,2809880,1,10,0,0,0,16,0,11.3,15411,4,-2,133,-4,0.8,0,9.3,19,0,10,0,5,28.8,3707252,0,0,0,3,1511,305611,2,0,564,West Brom,Burnley,Leicester,Arsenal,Chelsea,10.0,8.9,9.8,7.4,7.8,8.8,10.1,8.7,9.2,8.3,9.5,8.8,10.4,9.3,230.5
Nathan,Ake,DEF,BOU,4900000,2,63,2.6,5.306122448979589e-07,1.28571428571429e-05,0,340447,3,34,0,0,0,1,0,12.9,7829,-1,0,63,1,0.3,0,1.7,5,0,4,0,1,3.9,152942,0,0,0,0,2092,3876,0,0,397,Chelsea,Stoke,Huddersfield,Newcastle,Leicester,2.4,2.8,1.9,2.3,1.7,2.5,2.6,2.6,3.8,2.1,2.5,2.4,2.3,2.3,74.2
Marc,Albrighton,MID,LEI,5600000,3,85,3.5,6.25e-07,1.5178571428571398e-05,0,246558,3,25,0,0,0,2,0,15.2,19403,1,0,85,-1,1.1,0,6.3,11,0,6,0,6,3.9,353741,0,0,0,2,1747,37641,0,0,333,Everton,Swansea,Man City,Stoke,Bournemouth,3.5,4.2,1.9,3.7,4.0,2.9,4.1,2.6,3.8,2.8,3.6,2.6,3.8,2.3,107.0
Toby,Alderweireld,DEF,TOT,5800000,0,38,1.5833333333333302,2.72988505747126e-07,6.55172413793103e-06,0,645649,3,7,0,0,0,0,0,6.6,2447,-2,0,38,2,0.0,0,0.0,3,0,5,0,0,4.7,161055,0,0,0,0,900,233,0,0,200,Man Utd,Liverpool,Arsenal,Crystal Palace,Huddersfield,0.0,0.9,1.4,1.7,1.5,0.8,1.1,1.1,0.9,0.9,1.0,1.3,0.8,1.0,27.7
Trent,Alexander-Arnold,DEF,LIV,4200000,0,36,1.5,3.5714285714285705e-07,8.571428571428571e-06,0,247575,2,10,0,0,0,1,0,8.6,16785,-3,0,36,3,0.4,0,1.7,4,0,3,0,1,2.9,272639,0,0,0,1,709,17152,0,0,177,Huddersfield,Tottenham,Southampton,West Ham,Newcastle,0.8,1.1,0.9,1.5,1.0,0.8,1.3,1.6,0.8,1.0,0.8,1.3,0.9,1.5,46.9
Joe,Allen,MID,STK,5100000,11,74,3.4,6.66666666666667e-07,1.45098039215686e-05,0,195313,5,38,0,0,0,2,0,14.5,6003,-4,0,74,4,0.9,0,4.7,10,0,3,0,4,2.0,96112,0,0,0,2,1962,36591,0,0,362,Watford,Bournemouth,Brighton,Leicester,Southampton,3.2,3.0,3.7,2.5,2.8,2.3,4.5,2.2,3.0,2.5,3.3,1.9,3.5,3.4,106.8
Bamidele,Alli,MID,TOT,9000000,2,110,4.8,5.33333333333333e-07,1.2222222222222199e-05,0,2016172,3,20,0,0,0,5,0,12.2,62338,-5,0,110,5,0.5,0,4.5,7,0,9,0,9,12.9,962559,0,0,0,2,1924,6312,0,0,338,Man Utd,Liverpool,Arsenal,Crystal Palace,Huddersfield,4.7,3.5,6.3,4.3,6.8,5.1,6.0,4.1,4.5,4.0,4.3,5.3,4.8,5.6,176.1
Marcos,Alonso,DEF,CHE,7300000,6,137,5.7,7.80821917808219e-07,1.87671232876712e-05,0,987598,5,16,0,0,0,6,0,18.8,28744,3,0,137,-3,1.0,0,7.0,13,0,12,0,1,26.9,1506606,0,0,0,4,2053,60427,0,0,515,Bournemouth,Watford,West Brom,Man Utd,Man City,7.2,7.5,7.9,6.1,6.2,8.2,7.3,7.5,8.2,7.4,8.5,6.5,8.1,6.7,156.1
