FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4300000,0,5,1.3,3.0232558139534897e-07,1.16279069767442e-06,0,18763,0,2,0,0,0,0,0,1.2,336,-2,0,5,2,0.0,0,0.0,0,0,0,0,0,0.2,11770,0,0,0,0,136,24,0,0,19,Crystal Palace,Man Utd,Bournemouth,Liverpool,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6
Tammy,Abraham,FWD,SWA,5500000,0,64,3.2,5.81818181818182e-07,1.16363636363636e-05,0,1284251,0,25,0,0,0,4,0,11.6,16188,0,0,64,0,0.0,0,0.0,8,0,4,0,2,3.7,1294632,0,0,0,1,1390,727,0,0,184,Leicester,Burnley,Brighton,West Ham,Huddersfield,2.9,3.1,2.9,3.6,2.8,3.5,2.3,2.8,3.7,2.7,2.4,3.1,4.1,83.4
Charlie,Adam,MID,STK,4700000,2,13,0.52,1.1063829787234001e-07,2.7659574468085098e-06,0,7058,1,7,0,0,0,0,0,2.8,88,-3,0,13,3,0.4,0,1.7,0,0,2,0,0,0.1,3141,0,0,0,0,349,111,0,0,62,Bournemouth,Brighton,Leicester,Southampton,Man City,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,21.8
,Adam Smith,DEF,BOU,4800000,0,43,2.0,4.1666666666666704e-07,8.95833333333333e-06,0,42774,5,31,0,0,0,0,0,9.0,1624,-2,0,43,2,0.3,0,1.3,3,0,2,0,2,0.4,8420,0,0,0,0,1766,69,0,0,321,Stoke,Huddersfield,Newcastle,Leicester,Tottenham,0.0,1.3,1.4,1.2,1.6,1.8,1.8,2.8,1.4,1.7,1.6,1.5,1.6,74.9
Oluwatosin,Adarabioyo,DEF,MCI,4000000,0,0,0.0,0.0,0.0,0,991,0,0,0,0,0,0,0,0.0,148,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,2021,0,0,0,0,0,285,0,0,0,Burnley,Leicester,Arsenal,Chelsea,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Adrian,GLK,WHU,4400000,2,37,1.48,3.36363636363636e-07,8.40909090909091e-06,0,66895,2,13,0,33,0,0,0,8.4,6774,-1,0,37,1,0.6,0,2.5,1,0,3,0,0,3.7,240714,0,0,0,0,990,4201,0,0,191,Brighton,Watford,Liverpool,Swansea,Burnley,0.9,1.2,0.8,0.7,1.2,1.1,1.2,0.8,1.3,0.7,0.9,0.7,0.9,22.1
Ibrahim,Afellay,MID,STK,4800000,0,6,0.24,5e-08,1.25e-06,0,1657,1,9,0,0,0,0,0,1.3,21,-2,0,6,2,0.0,0,0.0,0,0,0,0,0,0.0,1196,0,0,0,0,162,20,0,0,29,Bournemouth,Brighton,Leicester,Southampton,Man City,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.8
Benik,Afobe,FWD,BOU,5700000,0,24,1.4,2.4561403508771896e-07,4.21052631578947e-06,0,32884,0,12,0,0,0,0,0,4.2,391,-3,0,24,3,0.1,0,0.3,0,0,0,0,1,0.2,7404,0,0,0,0,534,47,0,0,73,Stoke,Huddersfield,Newcastle,Leicester,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.3
Sergio,Aguero,FWD,MCI,11900000,6,139,7.0,5.882352941176471e-07,1.1680672268907599e-05,0,2841321,1,10,0,0,0,17,0,11.7,31338,4,0,139,-4,0.8,0,9.3,19,0,11,0,5,29.8,3797969,0,0,0,3,1601,85420,0,0,591,Burnley,Leicester,Arsenal,Chelsea,Stoke,8.9,9.9,7.4,7.8,8.8,10.1,8.7,9.6,8.1,9.7,8.8,10.3,9.2,240.3
Nathan,Ake,DEF,BOU,5000000,14,77,3.1,6.2e-07,1.5399999999999998e-05,0,345620,3,34,0,0,0,2,0,15.7,5103,0,-1,77,0,1.2,0,6.0,7,0,5,0,1,5.3,237411,0,0,0,1,2182,84453,1,0,434,Stoke,Huddersfield,Newcastle,Leicester,Tottenham,3.6,2.7,2.9,2.5,3.2,3.4,3.5,4.4,2.9,3.3,3.2,3.0,3.1,82.5
