FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4300000,0,5,1.3,3.0232558139534897e-07,1.16279069767442e-06,0,19181,0,2,0,0,0,0,0,1.2,407,-2,0,5,2,0.0,0,0.0,0,0,0,0,0,0.2,11777,0,0,0,0,136,7,0,0,19,Man Utd,Bournemouth,Liverpool,Southampton,Tottenham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6
Tammy,Abraham,FWD,SWA,5400000,0,64,3.2,5.92592592592593e-07,1.1851851851851899e-05,0,1297365,0,25,0,0,0,4,0,11.9,12446,-1,1,64,1,0.0,0,0.0,8,0,4,0,2,3.6,1301140,0,0,0,1,1390,6489,-1,0,184,Burnley,Brighton,West Ham,Huddersfield,Southampton,3.1,2.9,3.6,2.8,3.5,2.2,2.9,3.7,2.7,2.5,3.2,4.0,83.4
Charlie,Adam,MID,STK,4700000,0,13,0.5,1.0638297872340401e-07,2.7659574468085098e-06,0,7232,1,7,0,0,0,0,0,2.8,174,-3,0,13,3,0.3,0,1.3,0,0,2,0,0,0.1,3226,0,0,0,0,349,83,0,0,62,Brighton,Leicester,Southampton,Man City,Everton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,22.1
,Adam Smith,DEF,BOU,4800000,0,43,2.0,4.1666666666666704e-07,8.95833333333333e-06,0,44115,5,31,0,0,0,0,0,9.0,1282,-2,0,43,2,0.2,0,1.0,3,0,2,0,2,0.4,8450,0,0,0,0,1766,30,0,0,321,Huddersfield,Newcastle,Leicester,Tottenham,West Brom,0.0,1.4,1.2,1.7,1.8,1.8,2.7,1.4,1.7,1.6,1.5,1.6,74.9
Oluwatosin,Adarabioyo,DEF,MCI,4000000,0,0,0.0,0.0,0.0,0,1242,0,0,0,0,0,0,0,0.0,251,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,2371,0,0,0,0,0,349,0,0,0,Leicester,Arsenal,Chelsea,Stoke,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Adrian,GLK,WHU,4400000,1,38,1.46153846153846,3.3216783216783197e-07,8.63636363636364e-06,0,75784,2,16,0,35,0,0,0,8.6,8664,-1,0,38,1,0.4,0,1.8,1,0,3,0,0,3.6,243694,0,0,0,0,1080,2809,0,0,203,Watford,Liverpool,Swansea,Burnley,Man Utd,1.2,0.8,0.7,1.2,1.1,1.1,0.8,1.2,0.7,0.9,0.7,0.9,23.9
Ibrahim,Afellay,MID,STK,4800000,0,6,0.23076923076923103,4.80769230769231e-08,1.25e-06,0,1697,1,9,0,0,0,0,0,1.3,40,-2,0,6,2,0.0,0,0.0,0,0,0,0,0,0.0,1224,0,0,0,0,162,28,0,0,29,Brighton,Leicester,Southampton,Man City,Everton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.8
Benik,Afobe,FWD,BOU,5700000,0,24,1.4,2.4561403508771896e-07,4.21052631578947e-06,0,33248,0,12,0,0,0,0,0,4.2,350,-3,0,24,3,0.1,0,0.3,0,0,0,0,1,0.2,7405,0,0,0,0,534,1,0,0,73,Huddersfield,Newcastle,Leicester,Tottenham,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.3
Sergio,Aguero,FWD,MCI,11900000,2,141,6.7,5.63025210084034e-07,1.18487394957983e-05,0,2926759,1,11,0,0,0,17,0,11.8,84564,4,0,141,-4,0.6,0,7.5,19,0,11,0,5,29.2,3847208,0,0,0,3,1691,45292,0,0,605,Leicester,Arsenal,Chelsea,Stoke,Brighton,9.5,6.9,7.6,8.3,9.8,8.2,9.1,7.6,9.2,8.3,10.0,8.8,251.8
Nathan,Ake,DEF,BOU,5000000,2,79,3.0,6e-07,1.58e-05,0,357630,3,35,0,0,0,2,0,15.8,11872,0,0,79,0,1.0,0,5.0,7,0,5,0,1,6.2,294893,0,0,0,1,2272,55096,0,0,448,Huddersfield,Newcastle,Leicester,Tottenham,West Brom,2.6,2.7,2.3,3.1,3.3,3.2,4.3,2.7,3.2,3.1,2.9,3.0,87.7
Marc,Albrighton,MID,LEI,5600000,2,88,3.4,6.071428571428571e-07,1.57142857142857e-05,0,299681,4,28,0,0,0,2,0,15.7,35710,1,0,88,-1,0.4,0,2.3,11,0,6,0,6,3.4,378489,0,0,0,2,1927,4289,0,0,359,Man City,Stoke,Bournemouth,West Brom,Arsenal,1.8,3.6,3.7,2.8,3.9,2.4,3.6,2.7,3.3,2.5,3.9,2.1,122.7
Toby,Alderweireld,DEF,TOT,5800000,0,38,1.46153846153846,2.51989389920424e-07,6.55172413793103e-06,0,648437,3,7,0,0,0,0,0,6.6,1407,-2,0,38,2,0.0,0,0.0,3,0,5,0,0,4.6,163607,0,0,0,0,900,2266,0,0,200,Arsenal,Crystal Palace,Huddersfield,Bournemouth,Newcastle,1.4,1.4,1.3,0.7,0.9,0.8,0.8,0.9,0.9,1.2,0.7,1.0,27.7
