FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4300000,0,5,1.3,3.0232558139534897e-07,1.16279069767442e-06,0,19693,0,2,0,0,0,0,0,1.2,145,-2,0,5,2,0.0,0,0.0,0,0,0,0,0,0.2,11796,0,0,0,0,136,5,0,0,19,Southampton,Huddersfield,Leicester,Arsenal,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6
Tammy,Abraham,FWD,SWA,5400000,1,70,3.0,5.55555555555556e-07,1.2962962962963e-05,0,1317957,0,28,0,0,0,4,0,13.0,5995,-1,0,70,1,0.4,0,2.0,8,0,4,0,3,3.6,1307511,0,0,0,1,1431,1195,0,0,199,Huddersfield,Man Utd,West Brom,Everton,Man City,2.5,0.0,2.0,2.5,3.6,2.3,2.5,2.8,3.6,88.9
Charlie,Adam,MID,STK,4700000,0,12,0.413793103448276,8.80410858400587e-08,2.5531914893617e-06,0,7521,2,7,0,0,0,0,0,2.6,81,-3,0,12,3,-0.1,1,-0.3,0,0,2,0,0,0.1,3423,0,0,0,0,376,58,0,0,62,Man City,Everton,Arsenal,Tottenham,West Ham,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,27.1
,Adam Smith,DEF,BOU,4800000,2,53,1.82758620689655,3.8074712643678204e-07,1.1041666666666698e-05,0,45014,5,33,0,0,0,1,0,11.0,321,-2,0,53,2,0.7,0,3.3,3,0,2,0,2,0.4,11076,0,0,0,0,1921,968,0,0,353,Tottenham,West Brom,Watford,Crystal Palace,Liverpool,1.5,1.6,1.4,2.3,1.2,1.5,1.4,1.4,1.3,87.8
Oluwatosin,Adarabioyo,DEF,MCI,4000000,0,0,0.0,0.0,0.0,0,1763,0,0,0,0,0,0,0,0.0,143,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,3168,0,0,0,0,0,191,0,0,0,Stoke,Everton,Man Utd,Tottenham,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Adrian,GLK,WHU,4400000,1,48,3.2,7.27272727272727e-07,1.09090909090909e-05,0,97546,2,24,0,50,0,0,0,10.9,8563,-1,0,48,1,0.7,0,3.3,1,0,4,0,0,3.0,255526,0,0,0,0,1350,2737,0,0,276,Burnley,Southampton,Chelsea,Stoke,Arsenal,3.8,0.0,3.7,2.7,4.1,2.5,3.1,2.3,3.4,34.3
Ibrahim,Afellay,MID,STK,4800000,0,6,0.206896551724138,4.3103448275862097e-08,1.25e-06,0,1793,1,9,0,0,0,0,0,1.3,32,-2,0,6,2,0.0,0,0.0,0,0,0,0,0,0.0,1308,0,0,0,0,162,18,0,0,29,Man City,Everton,Arsenal,Tottenham,West Ham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.8
Benik,Afobe,FWD,BOU,5700000,0,24,1.4,2.4561403508771896e-07,4.21052631578947e-06,0,33675,0,12,0,0,0,0,0,4.2,70,-3,0,24,3,0.0,0,0.0,0,0,0,0,1,0.2,7415,0,0,0,0,534,3,0,0,73,Tottenham,West Brom,Watford,Crystal Palace,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.3
Sergio,Aguero,FWD,MCI,11900000,2,169,7.0,5.882352941176471e-07,1.42016806722689e-05,0,3177493,1,12,0,0,0,21,0,14.2,28609,4,1,169,-4,0.8,0,9.3,22,0,13,0,6,27.0,4079355,0,0,0,4,1946,54772,-1,0,739,Stoke,Everton,Man Utd,Tottenham,Swansea,8.8,0.0,8.5,9.9,7.9,9.9,8.5,10.4,9.3,298.8
Nathan,Ake,DEF,BOU,5000000,2,85,2.9,5.8e-07,1.7e-05,0,403715,4,42,0,0,0,2,0,17.0,12871,0,0,85,0,0.4,0,2.0,8,0,5,0,2,6.5,352003,0,0,0,1,2542,12894,0,0,503,Tottenham,West Brom,Watford,Crystal Palace,Liverpool,3.0,3.2,2.8,4.1,2.5,3.1,2.9,2.9,2.7,99.4
