FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW4Forecast,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4500000,0,0,0.0,0.0,0.0,0,4442,0,0,0,0,0,0,0,0.0,1247,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.2,857,0,0,0,0,0,193,0,0,0,Swansea,Stoke,Brighton,Liverpool,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tammy,Abraham,FWD,SWA,5500000,8,12,4.0,7.27272727272727e-07,2.1818181818181803e-06,0,58946,0,3,0,0,0,1,0,2.2,27532,0,0,12,0,0.7,0,4.0,2,0,2,0,0,3.9,114771,0,0,0,0,239,100022,0,0,36,Newcastle,Tottenham,Watford,West Ham,Huddersfield,2.7,6.0,2.0,6.0,2.0,4.5,5.5,2.0,6.0,3.0,4.5,4.0,2.0,2.0,4.2,2.7,3.7,5.9,2.0,4.3,2.2,4.3,4.1,2.0,6.0,2.9,4.7,2.0,4.1,5.1,4.2,5.9,2.0,6.0,4.0,12.9
Charlie,Adam,MID,STK,4900000,0,0,0.0,0.0,0.0,0,2537,0,0,0,0,0,0,0,0.0,676,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,474,0,0,0,0,0,175,0,0,0,Man Utd,Newcastle,Chelsea,Southampton,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Adam Smith,DEF,BOU,4900000,0,2,0.7,1.42857142857143e-07,4.08163265306122e-07,0,16857,1,4,0,0,0,0,0,0.4,4907,-1,1,2,1,0.1,0,0.7,0,0,0,0,0,0.8,871,0,0,0,0,190,332,-1,0,26,Arsenal,Brighton,Everton,Leicester,Tottenham,0.4,0.5,0.4,0.6,0.9,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.7,0.4,0.4,0.4,0.4,0.5,0.6,0.4,0.4,0.4,0.7,0.4,0.4,0.4,0.5,0.4,0.4,0.8,0.4,0.4,0.4,0.4,0.4,5.4
,Adrian,GLK,WHU,4500000,0,0,0.0,0.0,0.0,0,6190,0,0,0,0,0,0,0,0.0,1758,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.5,500,0,0,0,0,0,134,0,0,0,Huddersfield,West Brom,Tottenham,Swansea,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibrahim,Afellay,MID,STK,4900000,0,0,0.0,0.0,0.0,0,461,0,0,0,0,0,0,0,0.0,112,-1,1,0,1,0.0,0,0.0,0,0,0,0,0,0.0,95,0,0,0,0,0,29,-1,0,0,Man Utd,Newcastle,Chelsea,Southampton,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benik,Afobe,FWD,BOU,5800000,1,4,1.3,2.24137931034483e-07,6.89655172413793e-07,0,18297,0,1,0,0,0,0,0,0.7,5854,-2,1,4,2,0.2,0,1.3,0,0,0,0,0,0.3,1458,0,0,0,0,142,134,-1,0,13,Arsenal,Brighton,Everton,Leicester,Tottenham,0.9,0.8,0.6,1.7,1.1,0.6,0.6,0.6,0.6,1.1,0.8,0.6,0.9,0.6,0.9,0.8,1.8,1.6,0.9,1.9,1.5,0.6,1.6,0.6,1.1,0.6,0.6,0.6,0.8,1.1,0.6,0.6,0.6,0.6,1.3,9.0
Sergio,Aguero,FWD,MCI,11500000,1,12,4.0,3.4782608695652196e-07,1.04347826086957e-06,0,211206,0,1,0,0,0,1,0,1.0,144510,0,0,12,0,0.3,0,4.0,3,0,1,0,0,9.8,120972,0,0,0,0,196,10785,0,0,46,Liverpool,Watford,Crystal Palace,Chelsea,Stoke,4.0,5.5,4.6,4.0,5.8,3.4,4.6,6.0,3.6,4.1,2.7,4.8,3.5,6.0,2.5,4.9,3.8,5.8,2.1,3.2,4.6,2.3,6.0,6.0,5.0,2.8,3.5,3.7,3.6,2.3,6.0,2.0,5.7,2.0,3.9,21.4
Nathan,Ake,DEF,BOU,5000000,0,4,1.3,2.6e-07,8e-07,0,135280,1,5,0,0,0,0,0,0.8,62896,0,0,4,0,0.3,0,1.3,1,0,0,0,0,5.5,20241,0,0,0,0,270,1841,0,0,44,Arsenal,Brighton,Everton,Leicester,Tottenham,0.6,1.3,0.6,1.4,2.0,0.6,0.7,0.6,0.7,1.3,0.6,0.8,1.6,0.6,0.9,0.8,0.8,1.4,1.4,1.2,0.6,0.6,1.7,0.8,1.1,0.6,1.4,0.9,1.2,1.8,0.6,0.6,0.6,0.6,1.0,8.7
Marc,Albrighton,MID,LEI,5500000,1,9,3.0,5.454545454545451e-07,1.63636363636364e-06,0,51198,0,4,0,0,0,0,0,1.6,20859,0,0,9,0,0.5,0,3.0,0,0,1,0,1,2.8,95012,0,0,0,0,236,7379,0,0,34,Chelsea,Huddersfield,Liverpool,Bournemouth,West Brom,3.7,1.5,3.8,1.5,2.8,3.0,4.5,1.5,2.9,1.5,2.3,2.9,1.5,1.5,4.4,2.3,1.5,1.5,2.8,1.5,2.4,1.5,3.3,1.5,4.5,4.5,1.5,4.5,1.5,4.5,1.7,3.5,1.5,4.4,1.5,11.3
Toby,Alderweireld,DEF,TOT,6000000,2,9,3.0,5e-07,1.5e-06,0,102758,1,3,0,0,0,0,0,1.5,40822,0,0,9,0,0.5,0,3.0,1,0,1,0,0,14.3,79223,0,0,0,0,270,12567,0,0,59,Everton,Swansea,West Ham,Huddersfield,Bournemouth,2.0,1.5,3.3,3.9,2.2,1.8,2.8,2.7,2.5,1.8,1.9,4.5,3.7,2.4,3.9,4.4,1.6,1.7,4.5,2.9,3.4,1.5,2.1,2.5,4.5,1.5,3.6,2.3,3.1,2.8,1.5,4.5,1.5,4.4,3.0,9.5
Trent,Alexander-Arnold,DEF,LIV,4500000,0,0,0.0,0.0,0.0,0,66769,1,2,0,0,0,0,0,0.0,26397,0,0,0,0,0.0,0,0.0,0,0,0,0,0,2.2,48218,0,0,0,0,90,6101,0,0,9,Man City,Burnley,Leicester,Newcastle,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2
Joe,Allen,MID,STK,5400000,1,5,1.7,3.14814814814815e-07,9.25925925925926e-07,0,64166,2,2,0,0,0,0,0,0.9,21388,-1,1,5,1,0.3,0,1.7,0,0,1,0,0,3.1,6135,0,0,0,0,270,1595,-1,0,28,Man Utd,Newcastle,Chelsea,Southampton,Man City,0.9,0.8,1.6,1.5,0.8,2.3,0.8,2.6,0.8,0.8,1.7,1.3,0.8,0.8,2.0,1.1,0.8,0.8,2.4,0.8,1.1,0.9,0.8,1.4,0.8,0.8,1.2,2.6,0.8,0.9,0.8,1.2,0.8,2.1,1.3,9.6
Bamidele,Alli,MID,TOT,9500000,9,19,6.3,6.63157894736842e-07,2e-06,0,225298,0,3,0,0,0,2,0,2.0,81633,0,0,19,0,0.7,0,6.3,2,0,1,0,0,34.7,192625,0,0,0,1,261,90434,0,0,62,Everton,Swansea,West Ham,Huddersfield,Bournemouth,8.1,4.1,9.4,9.2,6.3,5.8,6.8,5.7,8.4,3.7,7.5,9.4,9.4,4.9,9.4,9.4,5.0,6.1,9.4,9.4,8.8,3.2,6.5,8.3,9.4,3.8,9.2,7.9,9.3,7.8,3.9,9.4,3.2,9.2,9.4,32.1
Marcos,Alonso,DEF,CHE,7100000,6,22,7.3,1.02816901408451e-06,3.09859154929577e-06,0,136538,2,4,0,0,0,2,0,3.1,34625,1,-1,22,-1,1.0,0,7.3,3,0,1,0,0,21.2,394076,0,0,0,1,270,141335,1,0,85,Leicester,Arsenal,Stoke,Man City,Crystal Palace,6.0,11.0,7.7,8.7,9.6,8.5,9.1,8.6,10.5,6.5,7.4,11.0,9.3,10.5,10.0,6.2,9.1,11.0,7.6,11.0,10.5,10.4,11.0,9.1,8.3,10.7,9.8,11.0,8.3,10.2,9.5,9.1,11.0,10.5,7.9,29.2
Daniel,Amartey,MID,LEI,4500000,0,1,0.111111111111111,2.46913580246914e-08,2.22222222222222e-07,0,4145,0,2,0,0,0,0,0,0.2,1236,0,0,1,0,0.1,0,0.3,0,0,0,0,0,0.2,1375,0,0,0,0,18,228,0,0,2,Chelsea,Huddersfield,Liverpool,Bournemouth,West Brom,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6
Nordin,Amrabat,MID,WAT,5000000,1,6,2.0,4e-07,1.2e-06,0,4112,0,3,0,0,0,0,0,1.2,2504,0,0,6,0,0.4,0,2.0,0,0,1,0,0,0.1,3596,0,0,0,0,198,264,0,0,11,Southampton,Man City,Swansea,West Brom,Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Keshi,Anderson,FWD,CRY,4500000,0,0,0.0,0.0,0.0,0,2135,0,0,0,0,0,0,0,0.0,2135,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,4488,0,0,0,0,0,4488,0,0,0,Burnley,Southampton,Man City,Man Utd,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michail,Antonio,MID,WHU,7500000,2,7,3.5,4.66666666666667e-07,9.33333333333333e-07,0,10050,0,5,0,0,0,0,0,0.9,6307,0,0,7,0,0.3,0,2.3,0,0,0,0,1,0.7,30945,0,0,0,0,157,15425,0,0,17,Huddersfield,West Brom,Tottenham,Swansea,Burnley,2.7,3.2,2.1,3.2,4.6,3.4,4.4,3.9,3.8,5.2,3.5,3.7,3.8,5.2,2.4,5.2,4.2,4.0,2.7,3.3,5.1,4.7,3.9,2.3,1.8,5.2,2.9,2.2,3.5,3.3,5.2,2.7,2.8,2.2,5.2,13.0
Scott,Arfield,MID,BUR,4900000,2,2,0.222222222222222,4.53514739229025e-08,4.08163265306122e-07,0,1038,1,2,0,0,0,0,0,0.4,222,-1,0,2,1,0.1,0,0.7,0,0,0,0,0,0.1,286,0,0,0,0,105,168,0,0,14,Crystal Palace,Liverpool,Huddersfield,Everton,West Ham,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,3.6
Marko,Arnautovic,MID,WHU,6900000,0,0,0.0,0.0,0.0,0,74982,0,7,0,0,0,0,0,0.0,12123,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.8,21186,0,0,0,0,122,146,0,1,-1,Huddersfield,West Brom,Tottenham,Swansea,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7
Harry,Arter,MID,BOU,5000000,1,4,1.3,2.6e-07,8e-07,0,11050,2,5,0,0,0,0,0,0.8,3707,0,0,4,0,0.3,0,1.3,0,0,0,0,0,0.7,2595,0,0,0,0,270,835,0,0,33,Arsenal,Brighton,Everton,Leicester,Tottenham,0.6,0.7,0.7,1.7,0.8,0.6,0.8,0.6,0.6,1.6,0.6,0.7,0.9,0.6,0.8,0.7,1.1,2.0,0.8,1.4,0.8,0.6,1.6,0.6,1.4,0.6,0.6,0.6,0.8,1.1,0.6,0.6,0.6,0.7,1.0,9.7
Christian,Atsu,MID,NEW,5000000,6,10,3.3,6.6e-07,2e-06,0,65335,0,3,0,0,0,0,0,2.0,31166,0,0,10,0,0.7,0,3.3,0,0,1,0,1,3.6,112143,0,0,0,0,270,76677,0,0,22,Swansea,Stoke,Brighton,Liverpool,Southampton,4.7,4.9,2.6,4.0,1.8,4.8,3.3,4.9,1.6,2.5,2.0,2.1,4.9,4.9,1.6,2.6,3.0,3.6,1.6,3.4,2.4,3.1,3.1,2.4,3.0,1.6,3.7,2.7,3.0,1.6,4.9,2.3,2.9,2.5,4.0,15.7
Serge,Aurier,DEF,TOT,6000000,0,0,0.0,0.0,0.0,0,3823,0,0,0,0,0,0,0,0.0,3823,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.3,14655,0,0,0,0,0,14655,0,0,0,Everton,Swansea,West Ham,Huddersfield,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlie,Austin,FWD,SOU,6400000,0,8,0.8888888888888891,1.38888888888889e-07,1.25e-06,0,36153,0,0,0,0,0,1,0,1.3,12459,-1,0,8,1,0.4,0,2.7,2,0,0,0,0,0.8,13675,0,0,0,0,31,2778,0,0,31,Watford,Crystal Palace,Man Utd,Stoke,Newcastle,0.4,0.5,0.4,0.4,0.6,0.4,0.5,0.4,0.4,0.9,0.5,0.5,1.1,1.0,0.4,0.4,0.6,0.4,0.6,0.5,0.4,0.4,0.4,0.5,0.8,0.9,0.4,0.7,0.9,0.5,0.4,0.4,0.7,0.4,0.4,6.0
Andre,Ayew,MID,WHU,7000000,2,6,2.0,2.85714285714286e-07,8.57142857142857e-07,0,29991,0,7,0,0,0,0,0,0.9,11302,0,0,6,0,0.3,0,2.0,0,0,0,0,0,1.5,6561,0,0,0,0,226,1785,0,0,28,Huddersfield,West Brom,Tottenham,Swansea,Burnley,1.1,1.3,1.0,1.3,2.1,1.4,1.9,1.7,1.6,2.9,1.5,1.5,1.6,2.5,1.0,2.5,1.9,1.7,1.0,1.3,2.5,2.1,1.7,1.0,1.0,2.9,1.1,1.0,1.4,1.4,2.9,1.1,1.1,1.0,3.0,4.0
