FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4300000,0,5,1.3,3.0232558139534897e-07,1.16279069767442e-06,0,19842,0,2,0,0,0,0,0,1.2,144,-2,0,5,2,0.0,0,0.0,0,0,0,0,0,0.2,11798,0,0,0,0,136,2,0,0,19,Huddersfield,Leicester,Arsenal,Everton,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6
Tammy,Abraham,FWD,SWA,5400000,1,71,3.0,5.55555555555556e-07,1.31481481481481e-05,0,1322359,0,28,0,0,0,4,0,13.1,4224,-1,0,71,1,0.4,0,2.0,8,0,4,0,3,3.5,1310610,0,0,0,1,1448,3071,0,0,201,Man Utd,West Brom,Everton,Man City,Chelsea,0.0,2.0,2.6,3.6,2.3,2.5,2.9,3.6,89.0
Charlie,Adam,MID,STK,4700000,0,12,0.4,8.51063829787234e-08,2.5531914893617e-06,0,7601,2,7,0,0,0,0,0,2.6,77,-3,0,12,3,0.0,1,0.0,0,0,2,0,0,0.1,3477,0,0,0,0,376,53,0,0,62,Everton,Arsenal,Tottenham,West Ham,Burnley,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,27.1
,Adam Smith,DEF,BOU,4800000,3,56,1.8666666666666698,3.88888888888889e-07,1.1666666666666698e-05,0,45836,5,37,0,0,0,1,0,11.7,814,-2,0,56,2,0.8,0,4.0,3,0,2,0,3,2.2,35585,0,0,0,0,2011,24480,0,0,371,West Brom,Watford,Crystal Palace,Liverpool,Man Utd,1.6,1.4,2.3,1.3,1.5,1.5,1.5,1.3,93.3
Oluwatosin,Adarabioyo,DEF,MCI,4000000,0,0,0.0,0.0,0.0,0,1904,0,0,0,0,0,0,0,0.0,138,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,3297,0,0,0,0,0,125,0,0,0,Everton,Man Utd,Tottenham,Swansea,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Adrian,GLK,WHU,4300000,0,48,3.2,7.441860465116279e-07,1.11627906976744e-05,0,116398,2,24,0,50,0,0,0,10.9,18319,-2,1,48,2,0.2,0,1.0,1,0,4,0,0,2.2,255973,0,0,0,0,1350,361,-1,0,276,Southampton,Chelsea,Stoke,Arsenal,Man City,0.0,3.7,2.8,4.0,2.6,3.1,2.3,3.4,34.3
Ibrahim,Afellay,MID,STK,4800000,0,6,0.2,4.1666666666666696e-08,1.25e-06,0,1811,1,9,0,0,0,0,0,1.3,18,-2,0,6,2,0.0,0,0.0,0,0,0,0,0,0.0,1330,0,0,0,0,162,22,0,0,29,Everton,Arsenal,Tottenham,West Ham,Burnley,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.8
Benik,Afobe,FWD,BOU,5700000,0,24,1.4,2.4561403508771896e-07,4.21052631578947e-06,0,33721,0,12,0,0,0,0,0,4.2,46,-3,0,24,3,0.0,0,0.0,0,0,0,0,1,0.2,7418,0,0,0,0,534,3,0,0,73,West Brom,Watford,Crystal Palace,Liverpool,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.3
Sergio,Aguero,FWD,MCI,11800000,0,169,7.0,5.932203389830511e-07,1.43220338983051e-05,0,3487265,1,12,0,0,0,21,0,14.2,308968,3,1,169,-3,0.2,0,2.3,22,0,13,0,6,19.3,4101882,0,0,0,4,1946,20816,-1,0,739,Everton,Man Utd,Tottenham,Swansea,West Ham,0.0,0.0,9.9,8.0,9.7,8.7,10.4,9.2,298.8
Nathan,Ake,DEF,BOU,5100000,0,85,2.8,5.49019607843137e-07,1.6666666666666698e-05,0,410344,4,46,0,0,0,2,0,16.7,6233,1,-1,85,-1,0.4,0,2.0,8,0,5,0,2,11.8,442022,0,0,0,1,2632,89696,1,0,515,West Brom,Watford,Crystal Palace,Liverpool,Man Utd,3.0,2.7,4.0,2.4,2.8,2.7,2.7,2.5,101.5
