FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4300000,0,5,1.3,3.0232558139534897e-07,1.16279069767442e-06,0,19964,0,2,0,0,0,0,0,1.2,121,-2,0,5,2,0.0,0,0.0,0,0,0,0,0,0.1,11800,0,0,0,0,136,1,0,0,19,Huddersfield,Leicester,Arsenal,Everton,West Brom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6
Tammy,Abraham,FWD,SWA,5400000,0,71,3.0,5.55555555555556e-07,1.31481481481481e-05,0,1326770,0,28,0,0,0,4,0,13.1,4348,-1,0,71,1,0.2,0,1.0,8,0,4,0,3,3.5,1313105,0,0,0,1,1448,2479,0,0,201,Man Utd,West Brom,Everton,Man City,Chelsea,2.0,2.6,3.5,2.3,2.5,2.8,3.6,89.0
Charlie,Adam,MID,STK,4700000,-2,10,0.32258064516129,6.86341798215511e-08,2.12765957446809e-06,0,7807,2,9,0,0,0,0,0,2.1,206,-3,0,10,3,-0.1,1,-0.7,0,0,2,0,0,0.1,3501,0,0,0,0,405,23,0,1,57,Arsenal,Tottenham,West Ham,Burnley,Liverpool,0.0,0.0,0.0,0.2,0.2,0.2,0.2,27.1
,Adam Smith,DEF,BOU,4800000,0,56,1.80645161290323,3.7634408602150505e-07,1.1666666666666698e-05,0,56190,6,38,0,0,0,1,0,11.7,10330,-2,0,56,2,0.4,0,1.7,3,0,2,0,3,0.7,36486,0,0,0,0,2067,94,0,0,376,Watford,Crystal Palace,Liverpool,Man Utd,Southampton,0.0,0.0,2.5,0.0,1.4,1.4,1.2,94.5
Oluwatosin,Adarabioyo,DEF,MCI,4000000,0,0,0.0,0.0,0.0,0,2044,0,0,0,0,0,0,0,0.0,139,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,3467,0,0,0,0,0,170,0,0,0,Everton,Man Utd,Tottenham,Swansea,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Adrian,GLK,WHU,4300000,0,48,3.2,7.441860465116279e-07,1.11627906976744e-05,0,129734,2,24,0,50,0,0,0,11.2,12934,-2,0,48,2,0.1,0,0.5,1,0,4,0,0,2.5,257757,0,0,0,0,1350,1778,0,0,276,Southampton,Chelsea,Stoke,Arsenal,Man City,3.7,2.8,4.0,2.6,3.1,2.3,3.3,34.3
Ibrahim,Afellay,MID,STK,4800000,0,6,0.193548387096774,4.03225806451613e-08,1.25e-06,0,1828,1,9,0,0,0,0,0,1.3,17,-2,0,6,2,0.0,0,0.0,0,0,0,0,0,0.0,1341,0,0,0,0,162,11,0,0,29,Arsenal,Tottenham,West Ham,Burnley,Liverpool,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.8
Benik,Afobe,FWD,BOU,5700000,0,24,1.4,2.4561403508771896e-07,4.21052631578947e-06,0,33787,0,12,0,0,0,0,0,4.2,66,-3,0,24,3,0.0,0,0.0,0,0,0,0,1,0.2,7419,0,0,0,0,534,1,0,0,73,Watford,Crystal Palace,Liverpool,Man Utd,Southampton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.3
Sergio,Aguero,FWD,MCI,11700000,0,169,7.0,5.98290598290598e-07,1.44444444444444e-05,0,3825594,1,12,0,0,0,21,0,14.3,334376,2,1,169,-2,0.2,0,2.3,22,0,13,0,6,16.6,4119896,0,0,0,4,1946,17844,-1,0,739,Everton,Man Utd,Tottenham,Swansea,West Ham,0.0,0.0,8.0,9.7,8.7,10.3,9.2,298.8
Nathan,Ake,DEF,BOU,5100000,2,87,2.8,5.49019607843137e-07,1.70588235294118e-05,0,442651,4,47,0,0,0,2,0,17.1,32242,1,0,87,-1,0.3,0,1.3,8,0,5,0,2,7.5,448235,0,0,0,1,2722,4405,0,0,530,Watford,Crystal Palace,Liverpool,Man Utd,Southampton,2.7,3.9,5.1,0.0,2.7,2.8,2.5,104.3
Marc,Albrighton,MID,LEI,5600000,0,101,3.4,6.071428571428571e-07,1.8035714285714302e-05,0,365302,5,35,0,0,0,2,0,18.0,11344,1,0,101,-1,0.5,0,3.0,12,0,6,0,8,3.1,430437,0,0,0,2,2220,8067,0,0,424,Brighton,Newcastle,Burnley,Southampton,Crystal Palace,2.4,3.7,6.2,0.0,2.7,3.9,2.1,150.0
Toby,Alderweireld,DEF,TOT,5800000,0,38,1.26666666666667,2.1839080459770103e-07,6.55172413793103e-06,0,656926,3,7,0,0,0,0,0,6.6,948,-2,0,38,2,0.0,0,0.0,3,0,5,0,0,5.0,166364,0,0,0,0,900,355,0,0,200,Chelsea,Stoke,Man City,Brighton,Watford,0.6,0.7,1.3,0.0,1.0,0.6,0.7,27.7
Trent,Alexander-Arnold,DEF,LIV,4300000,0,54,1.74193548387097,4.0510127531883e-07,1.2558139534883699e-05,0,314125,3,15,0,0,0,1,0,12.6,15692,-2,0,54,2,0.8,0,3.3,7,0,5,0,1,3.8,400842,0,0,0,2,1148,9006,0,0,279,Crystal Palace,Everton,Bournemouth,West Brom,Stoke,1.8,0.9,1.2,0.9,1.7,1.1,1.8,64.9
Joe,Allen,MID,STK,5100000,7,96,3.3,6.47058823529412e-07,1.88235294117647e-05,0,240173,7,46,0,0,0,2,0,18.8,8069,-4,0,96,4,0.7,0,3.7,12,0,5,0,6,1.9,125574,0,0,0,2,2592,2093,0,0,454,Arsenal,Tottenham,West Ham,Burnley,Liverpool,2.2,2.8,2.7,3.2,1.9,3.2,2.7,133.9
Bamidele,Alli,MID,TOT,8900000,0,138,4.8,5.393258426966289e-07,1.55056179775281e-05,0,2156149,6,23,0,0,0,6,0,15.5,12900,-6,0,138,6,0.9,0,8.0,8,0,13,0,12,11.6,1025278,0,0,0,2,2442,3125,0,0,433,Chelsea,Stoke,Man City,Brighton,Watford,4.0,4.6,8.1,0.0,5.8,4.9,5.8,220.9
