FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4300000,0,5,1.3,3.0232558139534897e-07,1.16279069767442e-06,0,20014,0,2,0,0,0,0,0,1.2,47,-2,0,5,2,0.0,0,0.0,0,0,0,0,0,0.1,11801,0,0,0,0,136,1,0,0,19,Leicester,Arsenal,Everton,West Brom,Watford,0.0,0.0,0.0,0.0,0.0,0.0,4.6
Tammy,Abraham,FWD,SWA,5400000,1,72,2.9,5.37037037037037e-07,1.3333333333333301e-05,0,1330116,0,28,0,0,0,4,0,13.3,3211,-1,0,72,1,0.2,0,1.0,8,0,4,0,3,3.5,1317747,0,0,0,1,1493,4574,0,0,202,West Brom,Everton,Man City,Chelsea,Bournemouth,2.5,3.4,2.2,2.4,5.9,3.5,95.2
Charlie,Adam,MID,STK,4700000,0,10,0.3125,6.648936170212769e-08,2.12765957446809e-06,0,7886,2,9,0,0,0,0,0,2.1,71,-3,0,10,3,-0.1,1,-0.7,0,0,2,0,0,0.1,3514,0,0,0,0,405,13,0,1,57,Tottenham,West Ham,Burnley,Liverpool,Crystal Palace,0.0,0.0,0.2,0.2,0.2,0.2,27.1
,Adam Smith,DEF,BOU,4800000,0,56,1.75,3.6458333333333295e-07,1.1666666666666698e-05,0,63135,6,38,0,0,0,1,0,11.7,6464,-2,0,56,2,0.2,0,1.0,3,0,2,0,3,0.6,36504,0,0,0,0,2067,16,0,0,376,Crystal Palace,Liverpool,Man Utd,Southampton,Swansea,0.0,0.0,0.0,0.0,0.0,1.1,94.5
Oluwatosin,Adarabioyo,DEF,MCI,4000000,0,0,0.0,0.0,0.0,0,2159,0,0,0,0,0,0,0,0.0,109,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,3628,0,0,0,0,0,155,0,0,0,Man Utd,Tottenham,Swansea,West Ham,Huddersfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Adrian,GLK,WHU,4200000,0,48,1.5483870967741902,3.68663594470046e-07,1.14285714285714e-05,0,144224,2,24,0,50,0,0,0,11.2,14082,-3,1,48,3,0.0,0,0.0,1,0,4,0,0,2.2,258210,0,0,0,0,1350,392,-1,0,276,Chelsea,Stoke,Arsenal,Man City,Leicester,0.8,1.4,0.8,1.0,2.0,1.0,34.3
Ibrahim,Afellay,MID,STK,4800000,0,6,0.1875,3.90625e-08,1.25e-06,0,1846,1,9,0,0,0,0,0,1.3,18,-2,0,6,2,0.0,0,0.0,0,0,0,0,0,0.0,1350,0,0,0,0,162,9,0,0,29,Tottenham,West Ham,Burnley,Liverpool,Crystal Palace,0.1,0.1,0.1,0.1,0.1,0.1,1.8
Benik,Afobe,FWD,BOU,5700000,0,24,1.4,2.4561403508771896e-07,4.21052631578947e-06,0,33827,0,12,0,0,0,0,0,4.2,38,-3,0,24,3,0.0,0,0.0,0,0,0,0,1,0.2,7422,0,0,0,0,534,3,0,0,73,Crystal Palace,Liverpool,Man Utd,Southampton,Swansea,0.0,0.0,0.0,0.0,0.0,0.0,31.3
Sergio,Aguero,FWD,MCI,11600000,0,169,7.0,6.03448275862069e-07,1.4568965517241401e-05,0,3974198,1,12,0,0,0,21,0,14.4,135340,1,1,169,-1,0.0,0,0.0,22,0,13,0,6,14.2,4123586,0,0,0,4,1946,3448,-1,0,739,Man Utd,Tottenham,Swansea,West Ham,Huddersfield,0.0,8.0,9.9,8.6,20.5,9.1,298.8
Nathan,Ake,DEF,BOU,5100000,4,91,2.8,5.49019607843137e-07,1.7843137254902e-05,0,457443,4,49,0,0,0,2,0,17.8,13864,1,0,91,-1,0.4,0,2.0,8,0,5,0,3,7.4,454665,0,0,0,1,2812,6293,0,0,552,Crystal Palace,Liverpool,Man Utd,Southampton,Swansea,3.9,5.3,0.0,2.7,2.8,2.4,109.1
Marc,Albrighton,MID,LEI,5600000,3,104,3.4,6.071428571428571e-07,1.8571428571428602e-05,0,373739,5,35,0,0,0,2,0,18.6,8077,1,0,104,-1,0.6,0,3.5,12,0,7,0,8,3.2,443704,0,0,0,2,2298,12988,0,0,434,Newcastle,Burnley,Southampton,Crystal Palace,West Ham,3.7,6.3,0.0,2.7,7.7,2.1,152.1
Toby,Alderweireld,DEF,TOT,5800000,0,38,1.2258064516129,2.1134593993325898e-07,6.55172413793103e-06,0,657461,3,7,0,0,0,0,0,6.6,522,-2,0,38,2,0.0,0,0.0,3,0,5,0,0,5.0,166687,0,0,0,0,900,309,0,0,200,Stoke,Man City,Brighton,Watford,West Brom,0.7,1.2,0.0,1.0,1.3,0.7,27.7
Trent,Alexander-Arnold,DEF,LIV,4300000,2,56,1.75,4.0697674418604703e-07,1.30232558139535e-05,0,322013,3,16,0,0,0,1,0,13.0,7506,-2,0,56,2,0.2,0,1.0,7,0,5,0,1,3.9,411100,0,0,0,2,1238,9849,0,0,286,Everton,Bournemouth,West Brom,Stoke,Chelsea,0.9,1.2,0.9,1.7,1.1,1.7,69.5
Joe,Allen,MID,STK,5100000,1,97,3.2,6.274509803921571e-07,1.9019607843137303e-05,0,245313,8,49,0,0,0,2,0,19.0,4873,-4,0,97,4,0.6,0,3.0,12,0,5,0,6,1.8,127111,0,0,0,2,2682,1483,0,0,464,Tottenham,West Ham,Burnley,Liverpool,Crystal Palace,2.7,2.4,3.1,1.8,3.0,2.6,137.6
Bamidele,Alli,MID,TOT,8900000,15,153,5.1,5.730337078651689e-07,1.71910112359551e-05,0,2161333,6,24,0,0,0,8,0,17.2,4885,-6,0,153,6,1.5,0,13.0,11,0,13,0,12,13.8,1157547,0,0,0,3,2532,132162,0,0,482,Stoke,Man City,Brighton,Watford,West Brom,5.1,9.0,0.0,6.3,12.0,6.2,234.2
Marcos,Alonso,DEF,CHE,7200000,1,144,5.0,6.94444444444444e-07,2e-05,0,1544971,5,26,0,0,0,6,0,20.0,21476,2,0,144,-2,0.2,0,1.5,13,0,12,0,1,19.7,1652898,0,0,0,4,2495,28390,0,0,565,West Ham,Southampton,Burnley,Swansea,Liverpool,7.4,11.7,0.0,5.3,13.9,4.9,181.3
Daniel,Amartey,MID,LEI,4300000,0,13,0.419354838709677,9.75243810952738e-08,3.02325581395349e-06,0,27504,0,7,0,0,0,0,0,3.0,362,-2,0,13,2,0.0,0,0.0,0,0,3,0,0,0.2,23723,0,0,0,0,486,4,0,1,53,Newcastle,Burnley,Southampton,Crystal Palace,West Ham,0.2,0.4,0.0,0.2,0.4,0.2,9.2
Ethan,Ampadu,MID,CHE,4500000,0,1,0.032258064516129,7.168458781362009e-09,2.22222222222222e-07,0,704,0,1,0,0,0,0,0,0.2,8,0,0,1,0,0.0,0,0.0,0,0,0,0,0,0.0,794,0,0,0,0,10,8,0,0,6,West Ham,Southampton,Burnley,Swansea,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.7
Nordin,Amrabat,MID,WAT,5000000,0,6,2.0,4e-07,1.2e-06,0,7651,0,3,0,0,0,0,0,1.2,2,0,0,6,0,0.0,0,0.0,0,0,1,0,0,0.0,3628,0,0,0,0,198,0,0,0,11,Burnley,Huddersfield,Crystal Palace,Tottenham,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Keshi,Anderson,FWD,CRY,4500000,0,0,0.0,0.0,0.0,0,51930,0,0,0,0,0,0,0,0.0,168,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.3,59762,0,0,0,0,0,38,0,0,0,Bournemouth,Brighton,Watford,Leicester,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Andre Ayew,MID,SWA,6800000,2,61,1.96774193548387,2.89373814041746e-07,8.970588235294119e-06,0,104031,4,30,0,0,0,3,0,9.0,604,-2,0,61,2,0.3,1,2.0,2,0,3,0,4,1.0,55643,0,0,0,0,1210,838,0,0,195,West Brom,Everton,Man City,Chelsea,Bournemouth,1.2,2.0,1.0,1.3,2.7,1.5,63.1
Michail,Antonio,MID,WHU,7400000,1,62,2.0,2.7027027027027e-07,8.37837837837838e-06,0,89111,1,23,0,0,0,3,0,8.4,2194,-1,0,62,1,0.2,0,1.5,1,0,7,0,2,0.2,85770,0,0,0,0,1350,72,0,0,188,Chelsea,Stoke,Arsenal,Man City,Leicester,0.0,0.0,0.0,0.0,0.0,2.1,94.6
Scott,Arfield,MID,BUR,4900000,0,56,1.80645161290323,3.68663594470046e-07,1.14285714285714e-05,0,43905,3,15,0,0,0,2,0,11.4,362,-1,0,56,1,0.0,0,0.0,6,0,6,0,2,0.2,48011,0,0,0,2,1330,23,0,0,185,Watford,Leicester,Chelsea,Stoke,Brighton,0.0,0.0,0.0,0.0,0.0,1.3,60.1
Marko,Arnautovic,MID,WHU,6900000,16,109,4.5,6.52173913043478e-07,1.57971014492754e-05,0,1013475,3,39,0,0,0,9,0,15.8,18113,-1,0,109,1,1.3,0,9.0,10,0,5,0,4,4.8,1265973,0,0,0,3,1691,55545,0,1,325,Chelsea,Stoke,Arsenal,Man City,Leicester,3.5,5.5,3.3,3.8,8.8,6.5,170.8
Harry,Arter,MID,BOU,4700000,0,27,0.84375,1.7952127659574499e-07,5.74468085106383e-06,0,41456,4,13,0,0,0,1,0,5.7,114,-3,0,27,3,0.0,0,0.0,0,0,3,0,0,0.4,13923,0,0,0,0,959,59,0,0,156,Crystal Palace,Liverpool,Man Utd,Southampton,Swansea,0.4,0.8,0.0,0.4,0.4,0.4,29.2
Christian,Atsu,MID,NEW,4800000,1,77,2.9,6.04166666666667e-07,1.60416666666667e-05,0,526077,1,21,0,0,0,2,0,16.0,3119,-2,0,77,2,0.2,0,1.0,5,0,6,0,4,1.5,453129,0,0,0,1,1750,434,0,0,234,Leicester,Arsenal,Everton,West Brom,Watford,2.1,3.2,2.4,3.3,3.5,2.5,112.8
Pierre-Emerick,Aubameyang,FWD,ARS,10800000,13,39,1.25806451612903,1.1648745519713302e-07,3.6111111111111098e-06,0,213768,0,7,0,0,0,5,0,3.6,22497,3,-1,39,-3,1.0,1,11.0,6,0,2,0,1,14.6,1068946,0,0,0,1,540,168824,1,0,154,Southampton,Newcastle,West Ham,Man Utd,Burnley,1.0,0.6,1.0,0.6,1.4,0.6,52.8
Serge,Aurier,DEF,TOT,5900000,0,74,2.38709677419355,4.04592673592127e-07,1.25423728813559e-05,0,95330,0,11,0,0,0,2,0,12.5,5103,-1,0,74,1,1.1,0,6.5,9,0,6,0,2,1.0,134930,0,0,0,3,1247,4526,0,1,311,Stoke,Man City,Brighton,Watford,West Brom,2.0,3.8,0.0,2.7,3.7,2.0,76.5
Charlie,Austin,FWD,SOU,5800000,2,55,1.7741935483871,3.05895439377086e-07,9.48275862068966e-06,0,448409,1,13,0,0,0,6,0,9.5,969,-7,0,55,7,0.2,0,1.0,9,0,1,0,0,0.7,406953,0,0,0,1,678,3824,0,0,167,Arsenal,Chelsea,Leicester,Bournemouth,Everton,0.9,2.2,0.0,1.5,2.1,1.2,74.1
Cesar,Azpilicueta,DEF,CHE,6900000,1,143,4.8,6.956521739130439e-07,2.07246376811594e-05,0,1032408,1,30,0,0,0,1,0,20.7,21588,4,0,143,-4,0.3,0,2.0,19,0,13,0,6,19.9,1397963,1,0,0,3,2700,13910,0,0,756,West Ham,Southampton,Burnley,Swansea,Liverpool,7.1,11.1,0.0,5.0,13.2,4.6,134.5
Daniel,Bachmann,GLK,WAT,4000000,0,0,0.0,0.0,0.0,0,3765,0,0,0,0,0,0,0,0.0,72,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.1,8368,0,0,0,0,0,71,0,0,0,Burnley,Huddersfield,Crystal Palace,Tottenham,Newcastle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
