FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4300000,0,5,1.3,3.0232558139534897e-07,1.16279069767442e-06,0,20086,0,2,0,0,0,0,0,1.2,67,-2,0,5,2,0.0,0,0.0,0,0,0,0,0,0.1,11802,0,0,0,0,136,1,0,0,19,Arsenal,Everton,West Brom,Watford,Tottenham,0.0,0.0,0.0,0.0,0.0,4.6
Tammy,Abraham,FWD,SWA,5400000,9,81,3.1,5.74074074074074e-07,1.4999999999999999e-05,0,1333627,0,29,0,0,0,5,0,15.0,3377,-1,0,81,1,0.9,0,5.0,11,0,4,0,3,3.6,1324131,0,0,0,1,1583,6184,0,0,231,Everton,Man City,Chelsea,Bournemouth,Southampton,3.7,2.5,2.6,6.6,3.8,104.5
Charlie,Adam,MID,STK,4700000,0,10,0.303030303030303,6.44745325596389e-08,2.12765957446809e-06,0,7943,2,9,0,0,0,0,0,2.1,54,-3,0,10,3,-0.1,1,-0.7,0,0,2,0,0,0.1,3529,0,0,0,0,405,15,0,1,57,West Ham,Burnley,Liverpool,Crystal Palace,Swansea,0.0,0.2,0.2,0.2,0.2,27.1
,Adam Smith,DEF,BOU,4800000,0,56,2.1,4.375e-07,1.1666666666666698e-05,0,67252,6,38,0,0,0,1,0,11.7,3795,-2,0,56,2,0.0,0,0.0,3,0,2,0,3,0.5,36518,0,0,0,0,2067,12,0,0,376,Liverpool,Man Utd,Southampton,Swansea,Burnley,0.0,0.0,0.0,0.0,0.0,94.5
Oluwatosin,Adarabioyo,DEF,MCI,4000000,0,0,0.0,0.0,0.0,0,2272,0,0,0,0,0,0,0,0.0,112,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,3756,0,0,0,0,0,126,0,0,0,Tottenham,Swansea,West Ham,Huddersfield,Brighton,0.0,0.0,0.0,0.0,0.0,0.0
,Adrian,GLK,WHU,4100000,0,48,1.5,3.65853658536585e-07,1.17073170731707e-05,0,157853,2,24,0,50,0,0,0,11.4,12963,-4,1,48,4,0.0,0,0.0,1,0,4,0,0,1.9,258758,0,0,0,0,1350,527,-1,0,276,Stoke,Arsenal,Man City,Leicester,Man Utd,1.3,0.8,0.9,2.0,1.0,34.3
Ibrahim,Afellay,MID,STK,4800000,0,6,0.18181818181818202,3.78787878787879e-08,1.25e-06,0,1857,1,9,0,0,0,0,0,1.3,11,-2,0,6,2,0.0,0,0.0,0,0,0,0,0,0.0,1366,0,0,0,0,162,16,0,0,29,West Ham,Burnley,Liverpool,Crystal Palace,Swansea,0.1,0.1,0.1,0.1,0.1,1.8
Benik,Afobe,FWD,BOU,5700000,0,24,1.4,2.4561403508771896e-07,4.21052631578947e-06,0,33855,0,12,0,0,0,0,0,4.2,28,-3,0,24,3,0.0,0,0.0,0,0,0,0,1,0.2,7423,0,0,0,0,534,1,0,0,73,Liverpool,Man Utd,Southampton,Swansea,Burnley,0.0,0.0,0.0,0.0,0.0,31.3
Sergio,Aguero,FWD,MCI,11600000,0,169,6.8,5.862068965517239e-07,1.4568965517241401e-05,0,4056679,2,12,0,0,0,21,0,14.6,76469,1,0,169,-1,0.0,0,0.0,22,0,13,0,6,12.9,4134686,0,0,0,4,1960,10983,0,0,740,Tottenham,Swansea,West Ham,Huddersfield,Brighton,0.0,9.4,8.4,19.7,9.0,302.5
Nathan,Ake,DEF,BOU,5100000,1,92,2.8,5.49019607843137e-07,1.80392156862745e-05,0,482264,4,51,0,0,0,2,0,18.0,24201,1,0,92,-1,0.5,0,2.3,8,0,5,0,3,7.0,461846,0,0,0,1,2902,6914,0,0,569,Liverpool,Man Utd,Southampton,Swansea,Burnley,5.3,0.0,2.7,2.8,2.4,111.5
