FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4300000,0,5,1.3,3.0232558139534897e-07,1.16279069767442e-06,0,20233,0,2,0,0,0,0,0,1.2,45,-2,0,5,2,0.0,0,0.0,0,0,0,0,0,0.1,11804,0,0,0,0,136,2,0,0,19,Watford,Tottenham,Chelsea,,,0.0,0.0,4.6
Tammy,Abraham,FWD,SWA,5400000,0,83,3.0,5.55555555555556e-07,1.53703703703704e-05,0,1345763,0,30,0,0,0,5,0,15.4,2485,-1,0,83,1,0.5,0,2.8,11,0,4,0,3,3.4,1328870,0,0,0,1,1623,2849,0,0,235,Bournemouth,Southampton,Stoke,,,6.2,3.5,107.5
Charlie,Adam,MID,STK,4700000,0,10,0.277777777777778,5.91016548463357e-08,2.12765957446809e-06,0,8002,2,9,0,0,0,0,0,2.1,14,-3,0,10,3,0.0,1,0.0,0,0,2,0,0,0.1,3587,0,0,0,0,405,14,0,1,57,Crystal Palace,Swansea,,,,0.1,0.1,27.1
,Adam Smith,DEF,BOU,4800000,0,56,2.1,4.375e-07,1.1666666666666698e-05,0,71130,6,38,0,0,0,1,0,11.7,920,-2,0,56,2,0.0,0,0.0,3,0,2,0,3,0.4,36619,0,0,0,0,2067,43,0,0,376,Swansea,Burnley,,,,0.0,0.0,94.5
Oluwatosin,Adarabioyo,DEF,MCI,4000000,0,0,0.0,0.0,0.0,0,2600,0,0,0,0,0,0,0,0.0,102,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,4072,0,0,0,0,0,107,0,0,0,Huddersfield,Brighton,Southampton,,,0.0,0.0,0.0
,Adrian,GLK,WHU,4000000,1,49,1.4,3.5e-07,1.225e-05,0,177675,2,28,0,54,0,0,0,12.0,6209,-5,1,49,5,0.1,0,0.3,1,0,4,0,0,1.8,267959,0,0,0,0,1440,5868,-1,0,292,Leicester,Man Utd,Everton,,,1.7,0.9,37.1
Ibrahim,Afellay,MID,STK,4800000,0,6,0.166666666666667,3.47222222222222e-08,1.25e-06,0,1892,1,9,0,0,0,0,0,1.3,13,-2,0,6,2,0.0,0,0.0,0,0,0,0,0,0.0,1405,0,0,0,0,162,7,0,0,29,Crystal Palace,Swansea,,,,0.1,0.1,1.8
Benik,Afobe,FWD,BOU,5700000,0,24,1.4,2.4561403508771896e-07,4.21052631578947e-06,0,33919,0,12,0,0,0,0,0,4.2,15,-3,0,24,3,0.0,0,0.0,0,0,0,0,1,0.2,7431,0,0,0,0,534,4,0,0,73,Swansea,Burnley,,,,0.0,0.0,31.3
Sergio,Aguero,FWD,MCI,11500000,0,169,6.8,5.91304347826087e-07,1.4695652173913e-05,0,4177855,2,12,0,0,0,21,0,14.7,16411,0,0,169,0,0.0,0,0.0,22,0,13,0,6,10.9,4136865,0,0,0,4,1960,269,0,0,740,Huddersfield,Brighton,Southampton,,,0.0,0.0,302.5
Nathan,Ake,DEF,BOU,5000000,1,94,2.6,5.2e-07,1.88e-05,0,544446,5,58,0,0,0,2,0,18.8,19310,0,0,94,0,0.2,0,0.8,8,0,5,0,3,6.1,469611,0,0,0,1,3172,2135,0,0,607,Swansea,Burnley,,,,2.5,2.1,123.5
