FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4300000,0,5,1.3,3.0232558139534897e-07,1.16279069767442e-06,0,20288,0,2,0,0,0,0,0,1.2,0,-2,0,5,2,0,0,0,0,0,0,0,0,0.1,11807,0,0,0,0,136,0,0,0,19,Chelsea,,,,,0.0,4.6
Tammy,Abraham,FWD,SWA,5400000,1,86,2.8,5.185185185185179e-07,1.59259259259259e-05,0,1348417,0,31,0,0,0,5,0,15.9,0,-1,0,86,1,0,0,0,11,0,4,0,3,3.4,1332277,0,0,0,1,1715,0,0,0,238,Stoke,,,,,3.2,114.2
Charlie,Adam,MID,STK,4700000,0,10,0.27027027027027,5.75043128234618e-08,2.12765957446809e-06,0,8023,2,9,0,0,0,0,0,2.1,0,-3,0,10,3,0,1,0,0,0,2,0,0,0.1,3620,0,0,0,0,405,0,0,1,57,Swansea,,,,,0.1,27.1
,Adam Smith,DEF,BOU,4800000,0,56,1.5135135135135098,3.15315315315315e-07,1.1666666666666698e-05,0,71957,6,38,0,0,0,1,0,11.7,0,-2,0,56,2,0,0,0,3,0,2,0,3,0.4,36683,0,0,0,0,2067,0,0,0,376,Burnley,,,,,0.8,94.5
Oluwatosin,Adarabioyo,DEF,MCI,4000000,0,0,0.0,0.0,0.0,0,2737,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,4277,0,0,0,0,0,0,0,0,0,Southampton,,,,,0.0,0.0
,Adrian,GLK,WHU,4000000,4,72,3.8,9.5e-07,1.8e-05,0,179290,2,29,0,69,0,0,0,18.0,0,-5,0,72,5,0,0,0,5,0,6,0,0,2.4,301496,0,0,0,1,1710,0,0,0,374,Everton,,,,,4.1,47.0
Ibrahim,Afellay,MID,STK,4800000,0,6,0.162162162162162,3.37837837837838e-08,1.25e-06,0,1900,1,9,0,0,0,0,0,1.3,0,-2,0,6,2,0,0,0,0,0,0,0,0,0.0,1423,0,0,0,0,162,0,0,0,29,Swansea,,,,,0.1,1.8
Benik,Afobe,FWD,BOU,5700000,0,24,1.4,2.4561403508771896e-07,4.21052631578947e-06,0,33941,0,12,0,0,0,0,0,4.2,0,-3,0,24,3,0,0,0,0,0,0,0,1,0.2,7433,0,0,0,0,534,0,0,0,73,Burnley,,,,,0.0,31.3
Sergio,Aguero,FWD,MCI,11500000,0,169,6.8,5.91304347826087e-07,1.4695652173913e-05,0,4192169,2,12,0,0,0,21,0,14.7,0,0,0,169,0,0,0,0,22,0,13,0,6,10.7,4137173,0,0,0,4,1960,0,0,0,740,Southampton,,,,,9.1,302.5
Nathan,Ake,DEF,BOU,5000000,2,102,2.7,5.4e-07,2.0399999999999998e-05,0,550652,5,59,0,0,0,2,0,20.4,0,0,0,102,0,0,0,0,8,0,6,0,3,6.1,473457,0,0,0,1,3352,0,0,0,642,Burnley,,,,,2.1,133.5
Marc,Albrighton,MID,LEI,5500000,0,107,3.1,5.63636363636364e-07,1.9454545454545497e-05,0,469984,5,42,0,0,0,2,0,19.5,0,0,0,107,0,0,0,0,12,0,8,0,8,2.2,480100,0,0,0,2,2533,0,0,1,458,Tottenham,,,,,1.8,160.2
Toby,Alderweireld,DEF,TOT,5800000,0,43,1.16216216216216,2.0037278657968302e-07,7.4137931034482805e-06,0,659946,3,13,0,0,0,0,0,7.4,0,-2,0,43,2,0,0,0,3,0,5,0,0,5.0,169714,0,0,0,0,1177,0,0,0,247,Leicester,,,,,0.6,36.8
Trent,Alexander-Arnold,DEF,LIV,4400000,6,83,2.2432432432432403,5.0982800982801e-07,1.88636363636364e-05,0,386082,3,17,0,0,0,1,0,18.9,0,-1,0,83,1,0,0,0,10,0,8,0,2,5.5,567608,0,0,0,3,1573,0,0,0,385,Brighton,,,,,2.6,90.1
Joe,Allen,MID,STK,5100000,1,109,3.0,5.882352941176471e-07,2.13725490196078e-05,0,260198,8,55,0,0,0,2,0,21.4,0,-4,0,109,4,0,0,0,12,0,6,0,6,1.7,132625,0,0,0,2,3139,0,0,0,527,Swansea,,,,,2.4,154.3
Bamidele,Alli,MID,TOT,9000000,1,175,4.9,5.44444444444444e-07,1.9444444444444398e-05,0,2312061,7,28,0,0,0,9,0,19.4,0,-5,0,175,5,0,0,0,12,0,16,0,13,13.8,1310914,0,0,0,3,2957,0,0,0,565,Leicester,,,,,6.0,258.8
Marcos,Alonso,DEF,CHE,7100000,0,165,5.0,7.04225352112676e-07,2.32394366197183e-05,0,1821079,6,30,0,0,0,7,0,23.2,0,1,0,165,-1,0,0,0,15,0,13,0,2,16.2,1720420,0,0,0,5,2855,0,0,0,650,Newcastle,,,,,4.8,207.1
Daniel,Amartey,MID,LEI,4300000,0,13,0.351351351351351,8.17096165933375e-08,3.02325581395349e-06,0,28515,0,7,0,0,0,0,0,3.0,0,-2,0,13,2,0,0,0,0,0,3,0,0,0.2,23807,0,0,0,0,486,0,0,1,53,Tottenham,,,,,0.2,9.2
Ethan,Ampadu,MID,CHE,4500000,0,1,1.0,2.22222222222222e-07,2.22222222222222e-07,0,737,0,1,0,0,0,0,0,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,836,0,0,0,0,10,0,0,0,6,Newcastle,,,,,0.0,0.7
Nordin,Amrabat,MID,WAT,5000000,0,6,2.0,4e-07,1.2e-06,0,7659,0,3,0,0,0,0,0,1.2,0,0,0,6,0,0,0,0,0,0,1,0,0,0.0,3633,0,0,0,0,198,0,0,0,11,Man Utd,,,,,0.0,8.0
Keshi,Anderson,FWD,CRY,4500000,0,0,0.0,0.0,0.0,0,52610,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,59883,0,0,0,0,0,0,0,0,0,West Brom,,,,,0.0,0.0
,Andre Ayew,MID,SWA,6800000,5,77,2.6,3.82352941176471e-07,1.1323529411764698e-05,0,107492,5,42,0,0,0,3,0,11.3,0,-2,0,77,2,0,1,0,2,0,3,0,5,1.0,60750,0,0,0,0,1834,0,0,0,249,Stoke,,,,,2.3,102.7
Michail,Antonio,MID,WHU,7400000,0,62,1.67567567567568,2.2644265887509103e-07,8.37837837837838e-06,0,90416,1,23,0,0,0,3,0,8.4,0,-1,0,62,1,0,0,0,1,0,7,0,2,0.2,85938,0,0,0,0,1350,0,0,0,188,Everton,,,,,1.5,94.6
Scott,Arfield,MID,BUR,4900000,0,56,1.5135135135135098,3.0888030888030896e-07,1.14285714285714e-05,0,44755,3,15,0,0,0,2,0,11.4,0,-1,0,56,1,0,0,0,6,0,6,0,2,0.2,48050,0,0,0,2,1330,0,0,0,185,Bournemouth,,,,,1.0,60.1
