FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW5Forecast,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4500000,0,0,0.0,0.0,0.0,0,5375,0,0,0,0,0,0,0,0.0,908,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.2,985,0,0,0,0,0,127,0,0,0,Stoke,Brighton,Liverpool,Southampton,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tammy,Abraham,FWD,SWA,5500000,2,14,3.5,6.36363636363636e-07,2.5454545454545503e-06,0,89786,0,4,0,0,0,1,0,2.5,30466,0,0,14,0,0.7,0,4.0,2,0,2,0,0,3.8,137812,0,0,0,0,329,21173,0,0,33,Tottenham,Watford,West Ham,Huddersfield,Leicester,5.2,1.8,3.9,1.8,2.4,3.6,1.9,4.7,2.6,3.8,3.9,1.8,1.8,4.3,2.1,3.2,4.7,1.8,3.8,3.2,4.0,4.1,1.8,4.7,5.0,3.3,1.8,3.3,4.0,2.0,4.1,1.8,5.2,2.4,17.6
Charlie,Adam,MID,STK,4900000,0,0,0.0,0.0,0.0,0,3009,0,0,0,0,0,0,0,0.0,465,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.1,606,0,0,0,0,0,132,0,0,0,Newcastle,Chelsea,Southampton,Man City,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Adam Smith,DEF,BOU,4900000,1,3,0.8,1.63265306122449e-07,6.12244897959184e-07,0,19651,1,7,0,0,0,0,0,0.6,2732,-1,0,3,1,0.1,0,0.7,0,0,0,0,0,0.7,1258,0,0,0,0,280,384,0,0,36,Brighton,Everton,Leicester,Tottenham,Stoke,0.5,0.4,0.4,0.7,0.4,0.4,0.4,0.5,0.7,0.4,0.4,0.8,0.4,0.7,0.4,1.1,0.4,0.4,0.7,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.5,0.6,1.0,0.4,0.4,0.4,0.4,0.4,8.4
,Adrian,GLK,WHU,4400000,0,0,0.0,0.0,0.0,0,7248,0,0,0,0,0,0,0,0.0,1045,-1,1,0,1,0.0,0,0.0,0,0,0,0,0,0.4,650,0,0,0,0,0,149,-1,0,0,West Brom,Tottenham,Swansea,Burnley,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibrahim,Afellay,MID,STK,4900000,0,0,0.0,0.0,0.0,0,515,0,0,0,0,0,0,0,0.0,50,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,111,0,0,0,0,0,16,0,0,0,Newcastle,Chelsea,Southampton,Man City,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benik,Afobe,FWD,BOU,5800000,0,4,0.33333333333333304,5.74712643678161e-08,6.89655172413793e-07,0,20149,0,1,0,0,0,0,0,0.7,1777,-2,0,4,2,0.1,0,0.7,0,0,0,0,0,0.3,1959,0,0,0,0,142,498,0,0,13,Brighton,Everton,Leicester,Tottenham,Stoke,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,9.0
Sergio,Aguero,FWD,MCI,11400000,9,21,5.3,4.64912280701754e-07,1.84210526315789e-06,0,238260,0,1,0,0,0,2,0,1.8,24833,-1,1,21,1,0.4,0,4.0,3,0,2,0,1,10.1,159327,0,0,0,0,286,38138,-1,0,84,Watford,Crystal Palace,Chelsea,Stoke,Burnley,7.0,6.9,5.6,7.9,6.3,5.8,8.0,6.0,4.9,5.3,8.0,4.9,8.0,4.0,7.3,5.6,7.3,3.8,4.7,5.1,6.0,6.9,7.9,5.4,5.3,5.7,7.1,6.4,5.8,7.7,3.9,5.7,5.8,6.4,37.8
Nathan,Ake,DEF,BOU,5000000,1,5,1.3,2.6e-07,1e-06,0,159116,1,8,0,0,0,0,0,1.0,23236,0,0,5,0,0.1,0,0.7,1,0,0,0,0,5.1,23718,0,0,0,0,360,3462,0,0,59,Brighton,Everton,Leicester,Tottenham,Stoke,1.1,0.6,0.9,1.4,0.6,0.7,0.6,1.0,1.4,0.6,0.8,1.6,0.6,1.5,0.6,2.0,0.8,0.8,1.4,0.6,0.6,1.3,0.6,0.8,0.6,0.8,1.2,1.3,1.8,0.6,0.7,0.7,0.6,0.6,12.4
Marc,Albrighton,MID,LEI,5500000,1,10,2.5,4.54545454545455e-07,1.81818181818182e-06,0,65829,0,5,0,0,0,0,0,1.8,14294,0,0,10,0,0.3,0,1.7,0,0,1,0,1,2.6,99939,0,0,0,0,281,4845,0,0,39,Huddersfield,Liverpool,Bournemouth,West Brom,Swansea,1.2,3.7,2.1,2.3,3.4,3.6,1.2,2.0,1.2,1.5,2.5,1.7,1.5,3.1,2.0,1.6,1.2,2.7,1.3,1.5,1.9,2.3,1.2,3.1,3.6,1.2,3.8,1.2,2.8,1.5,2.3,1.9,3.8,1.9,11.7
