FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4500000,0,0,0.0,0.0,0.0,0,6373,0,0,0,0,0,0,0,0.0,978,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.2,1114,0,0,0,0,0,128,0,0,0,Brighton,Liverpool,Southampton,Crystal Palace,Burnley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tammy,Abraham,FWD,SWA,5500000,2,16,3.2,5.81818181818182e-07,2.90909090909091e-06,0,118052,0,4,0,0,0,1,0,2.9,27449,0,0,16,0,0.7,0,4.0,2,0,3,0,0,4.3,192404,0,0,0,0,400,54198,0,0,43,Watford,West Ham,Huddersfield,Leicester,Arsenal,1.6,2.9,1.6,2.4,2.8,2.1,4.1,3.0,3.2,3.6,1.6,1.6,4.0,2.2,3.0,4.8,1.6,3.3,2.6,2.6,3.7,1.6,4.3,3.7,3.2,1.6,2.8,3.4,2.6,3.4,1.6,4.4,2.7,19.0
Charlie,Adam,MID,STK,4800000,0,0,0.0,0.0,0.0,0,3521,0,0,0,0,0,0,0,0.0,501,-2,1,0,2,0.0,0,0.0,0,0,0,0,0,0.1,853,0,0,0,0,0,245,-1,0,0,Chelsea,Southampton,Man City,Bournemouth,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Adam Smith,DEF,BOU,4900000,2,5,1.0,2.04081632653061e-07,1.0204081632653099e-06,0,22876,1,8,0,0,0,0,0,1.0,3172,-1,0,5,1,0.2,0,1.0,0,0,0,0,0,0.6,1414,0,0,0,0,370,140,0,0,53,Everton,Leicester,Tottenham,Stoke,Chelsea,0.5,0.5,0.8,0.5,0.6,0.5,0.6,0.7,0.5,0.5,1.0,0.5,0.9,0.5,1.3,0.7,0.5,0.8,0.5,0.5,0.9,0.5,0.6,0.5,0.6,0.8,1.0,1.3,0.5,0.5,0.6,0.5,0.5,9.9
,Adrian,GLK,WHU,4400000,0,0,0.0,0.0,0.0,0,8459,0,0,0,0,0,0,0,0.0,1191,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.4,862,0,0,0,0,0,208,0,0,0,Tottenham,Swansea,Burnley,Brighton,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibrahim,Afellay,MID,STK,4900000,0,0,0.0,0.0,0.0,0,573,0,0,0,0,0,0,0,0.0,57,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.0,136,0,0,0,0,0,25,0,0,0,Chelsea,Southampton,Man City,Bournemouth,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benik,Afobe,FWD,BOU,5800000,1,5,0.33333333333333304,5.74712643678161e-08,8.620689655172409e-07,0,22100,0,1,0,0,0,0,0,0.9,1918,-2,0,5,2,0.1,0,0.7,0,0,0,0,0,0.3,2362,0,0,0,0,154,375,0,0,12,Everton,Leicester,Tottenham,Stoke,Chelsea,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,9.2
Sergio,Aguero,FWD,MCI,11700000,20,41,8.2,7.008547008547011e-07,3.5042735042735002e-06,0,250334,0,1,0,0,0,5,0,3.6,11410,2,-3,41,-2,0.9,0,10.0,6,0,3,0,2,25.8,934041,0,0,0,1,376,773967,3,0,180,Crystal Palace,Chelsea,Stoke,Burnley,West Brom,10.4,10.5,12.3,10.2,10.9,12.3,10.3,10.3,8.4,12.3,9.3,12.3,7.5,11.8,10.7,11.4,8.0,9.7,10.0,10.1,11.5,11.9,9.5,9.2,10.0,10.8,10.3,10.3,12.3,7.2,9.2,10.6,12.3,64.1
Nathan,Ake,DEF,BOU,5000000,2,7,1.4,2.8e-07,1.4e-06,0,186219,1,9,0,0,0,0,0,1.4,26607,0,0,7,0,0.2,0,1.0,1,0,0,0,0,4.5,25536,0,0,0,0,450,1720,0,0,77,Everton,Leicester,Tottenham,Stoke,Chelsea,0.7,1.0,1.4,0.7,1.0,0.7,1.1,1.2,0.9,0.9,1.6,0.7,1.4,0.7,2.0,1.2,0.8,1.3,0.7,0.7,1.6,0.7,1.0,0.7,1.0,1.4,1.6,2.0,0.7,0.8,1.0,0.7,0.7,14.9
Marc,Albrighton,MID,LEI,5500000,2,12,2.4,4.3636363636363604e-07,2.1818181818181803e-06,0,82397,0,6,0,0,0,0,0,2.2,16310,0,0,12,0,0.2,0,1.3,0,0,1,0,1,2.3,102510,0,0,0,0,345,2468,0,0,45,Liverpool,Bournemouth,West Brom,Swansea,Everton,3.0,1.5,2.0,3.2,3.5,1.2,1.6,1.2,1.4,2.2,1.4,1.8,2.9,1.7,2.3,1.2,2.3,1.5,1.3,1.8,2.2,1.2,2.8,3.2,1.2,3.5,1.2,2.4,1.4,1.7,2.0,3.6,1.9,13.6
Toby,Alderweireld,DEF,TOT,6000000,6,20,4.0,6.66666666666667e-07,3.3333333333333304e-06,0,159159,3,3,0,0,0,0,0,3.3,26433,0,0,20,0,0.7,0,4.3,2,0,3,0,0,13.5,105801,0,0,0,0,450,15848,0,0,109,West Ham,Huddersfield,Bournemouth,Liverpool,Man Utd,4.2,4.9,3.7,4.0,3.7,3.8,3.4,3.8,3.6,6.0,4.4,3.9,4.1,5.0,2.6,5.7,6.0,3.2,6.0,2.3,3.8,3.7,6.0,3.1,4.8,2.9,5.3,4.8,2.0,5.8,2.7,6.0,2.7,17.4
Trent,Alexander-Arnold,DEF,LIV,4500000,2,1,0.3,6.66666666666667e-08,2.22222222222222e-07,0,91994,2,8,0,0,0,0,0,0.2,12737,0,0,1,0,0.1,0,0.3,0,0,0,0,0,2.0,61737,0,0,0,0,270,4167,0,0,38,Leicester,Newcastle,Man Utd,Tottenham,Huddersfield,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,20.7
Joe,Allen,MID,STK,5400000,6,13,2.6,4.81481481481482e-07,2.40740740740741e-06,0,89380,2,6,0,0,0,0,0,2.4,11207,-1,0,13,1,0.6,0,3.0,1,0,1,0,1,2.6,10656,0,0,0,0,443,2902,0,0,65,Chelsea,Southampton,Man City,Bournemouth,Watford,2.7,2.1,1.3,3.6,2.3,3.3,1.3,2.0,3.4,2.6,2.0,1.4,3.9,2.4,1.3,1.5,2.8,1.3,2.7,1.6,1.5,2.5,1.3,1.8,2.0,3.9,1.3,1.7,1.3,2.6,1.3,3.3,3.3,16.9
Bamidele,Alli,MID,TOT,9500000,3,25,5.0,5.263157894736841e-07,2.63157894736842e-06,0,532542,0,3,0,0,0,2,0,2.6,209719,0,0,25,0,0.5,0,5.0,2,0,3,0,0,30.9,348811,0,0,0,1,441,29714,0,0,76,West Ham,Huddersfield,Bournemouth,Liverpool,Man Utd,5.7,6.2,5.7,5.3,4.5,4.7,6.1,3.3,6.3,7.5,4.8,3.6,6.2,6.8,2.8,7.5,7.5,5.7,7.5,2.8,5.1,6.5,7.5,3.9,7.0,4.1,6.9,5.4,2.6,6.1,2.5,6.2,5.1,44.6
Marcos,Alonso,DEF,CHE,7100000,6,30,6.0,8.450704225352109e-07,4.2253521126760595e-06,0,255041,2,5,0,0,0,2,0,4.2,62212,1,0,30,-1,0.7,0,4.7,3,0,2,0,0,21.1,486052,0,0,0,1,450,49331,0,0,122,Stoke,Man City,Crystal Palace,Watford,Bournemouth,7.0,5.1,8.1,6.4,7.2,6.8,8.0,5.7,6.0,7.8,6.4,7.3,7.0,6.5,8.2,9.0,5.0,7.5,7.8,8.8,9.0,8.0,5.5,6.1,7.9,7.5,6.6,9.0,9.0,8.1,9.0,9.0,7.7,38.1
Daniel,Amartey,MID,LEI,4400000,0,1,0.0666666666666667,1.5151515151515202e-08,2.2727272727272702e-07,0,6628,0,2,0,0,0,0,0,0.2,1438,-1,0,1,1,0.0,0,0.0,0,0,0,0,0,0.2,4528,0,0,0,0,18,1836,0,0,2,Liverpool,Bournemouth,West Brom,Swansea,Everton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6
Nordin,Amrabat,MID,WAT,5000000,0,6,2.0,4e-07,1.2e-06,0,6419,0,3,0,0,0,0,0,1.2,811,0,0,6,0,0.1,0,0.3,0,0,1,0,0,0.1,3604,0,0,0,0,198,4,0,0,11,Swansea,West Brom,Arsenal,Chelsea,Stoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Keshi,Anderson,FWD,CRY,4500000,0,0,0.0,0.0,0.0,0,9182,0,0,0,0,0,0,0,0.0,4113,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.2,16036,0,0,0,0,0,6810,0,0,0,Man City,Man Utd,Chelsea,Newcastle,West Ham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michail,Antonio,MID,WHU,7500000,2,12,3.0,4e-07,1.6e-06,0,25539,1,5,0,0,0,0,0,1.6,8864,0,0,12,0,0.3,0,2.3,0,0,2,0,1,0.7,46092,0,0,0,0,337,3814,0,0,27,Tottenham,Swansea,Burnley,Brighton,Crystal Palace,2.4,3.5,1.5,3.4,1.5,4.4,1.7,4.3,1.5,1.5,3.6,4.5,1.5,3.7,1.5,1.5,3.3,1.5,4.5,4.2,1.5,2.3,1.5,2.8,3.5,2.9,2.9,1.5,4.1,1.5,2.7,1.5,4.5,21.1
