FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4400000,0,0,0.0,0.0,0.0,0,7361,0,0,0,0,0,0,0,0.0,976,-1,1,0,1,0.0,0,0.0,0,0,0,0,0,0.2,2281,0,0,0,0,0,1166,-1,0,0,Liverpool,Southampton,Crystal Palace,Burnley,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tammy,Abraham,FWD,SWA,5600000,8,24,4.0,7.142857142857141e-07,4.28571428571429e-06,0,142787,0,5,0,0,0,2,0,4.3,24309,1,-1,24,-1,0.7,0,4.0,5,0,3,0,0,5.5,275094,0,0,0,0,445,81788,1,0,72,West Ham,Huddersfield,Leicester,Arsenal,Brighton,4.5,2.3,3.8,3.5,3.6,5.1,4.3,4.4,5.5,3.0,2.0,5.2,3.8,4.4,6.0,2.0,4.3,3.9,4.4,5.2,2.6,4.9,4.0,4.1,2.0,3.9,4.5,4.4,4.4,2.0,5.7,3.9,26.5
Charlie,Adam,MID,STK,4800000,0,0,0.0,0.0,0.0,0,3961,0,0,0,0,0,0,0,0.0,436,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,1121,0,0,0,0,0,265,0,0,0,Southampton,Man City,Bournemouth,Watford,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Adam Smith,DEF,BOU,4900000,1,6,1.0,2.04081632653061e-07,1.22448979591837e-06,0,25321,1,10,0,0,0,0,0,1.2,2380,-1,0,6,1,0.3,0,1.3,0,0,0,0,0,0.6,1565,0,0,0,0,460,149,0,0,67,Leicester,Tottenham,Stoke,Chelsea,Newcastle,0.5,0.6,0.5,0.5,0.5,0.7,0.6,0.5,0.5,1.0,0.5,0.7,0.5,0.9,0.6,0.5,0.8,0.5,0.5,0.8,0.5,0.7,0.5,0.5,0.9,0.8,1.2,0.5,0.5,0.7,0.5,0.5,11.7
,Adrian,GLK,WHU,4400000,0,0,0.0,0.0,0.0,0,9442,0,0,0,0,0,0,0,0.0,974,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.4,1085,0,0,0,0,0,220,0,0,0,Swansea,Burnley,Brighton,Crystal Palace,Liverpool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibrahim,Afellay,MID,STK,4900000,1,1,0.0555555555555556,1.1337868480725601e-08,2.04081632653061e-07,0,647,0,2,0,0,0,0,0,0.2,72,-1,0,1,1,0.1,0,0.3,0,0,0,0,0,0.0,295,0,0,0,0,14,158,0,0,3,Southampton,Man City,Bournemouth,Watford,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Benik,Afobe,FWD,BOU,5700000,1,6,0.33333333333333304,5.84795321637427e-08,1.05263157894737e-06,0,23614,0,3,0,0,0,0,0,1.1,1488,-3,1,6,3,0.1,0,0.7,0,0,0,0,0,0.3,2602,0,0,0,0,169,235,-1,0,15,Leicester,Tottenham,Stoke,Chelsea,Newcastle,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,9.3
Sergio,Aguero,FWD,MCI,11600000,11,52,8.7,7.5e-07,4.48275862068966e-06,0,1110396,0,1,0,0,0,6,0,4.4,859848,1,1,52,-1,1.1,0,13.3,8,0,4,0,3,11.6,1062806,0,0,0,1,466,118092,-1,0,219,Chelsea,Stoke,Burnley,West Brom,Arsenal,0.0,0.0,0.0,0.0,0.0,10.9,10.5,9.7,13.0,10.1,13.0,9.7,12.3,11.0,11.8,9.5,10.3,12.3,12.5,11.9,12.5,9.2,9.6,11.0,12.7,10.5,11.0,13.0,9.2,10.2,11.4,13.0,80.0
Nathan,Ake,DEF,BOU,4900000,1,8,1.3,2.6530612244898e-07,1.63265306122449e-06,0,205424,1,11,0,0,0,0,0,1.6,18684,-1,1,8,1,0.3,0,1.3,1,0,0,0,0,4.1,27373,0,0,0,0,532,1814,-1,0,88,Leicester,Tottenham,Stoke,Chelsea,Newcastle,0.7,1.0,0.6,0.7,0.6,1.0,0.9,0.8,0.8,1.5,0.6,1.1,0.6,1.3,1.0,0.6,1.2,0.6,0.6,1.2,0.6,1.0,0.6,0.7,1.3,1.2,1.8,0.6,0.7,1.1,0.6,0.6,17.1
Marc,Albrighton,MID,LEI,5500000,1,13,2.2,4e-07,2.36363636363636e-06,0,95254,1,9,0,0,0,0,0,2.4,12624,0,0,13,0,0.2,0,1.3,0,0,1,0,1,2.1,107044,0,0,0,0,424,4492,0,0,52,Bournemouth,West Brom,Swansea,Everton,Stoke,1.6,2.1,2.7,3.0,1.1,1.2,1.1,1.2,1.8,1.3,1.9,2.5,1.4,1.9,1.1,2.0,1.4,1.2,1.6,2.0,1.1,2.0,2.6,1.1,3.2,1.1,2.3,1.4,1.4,1.9,2.7,1.5,18.6
