FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4400000,0,0,0.0,0.0,0.0,0,8325,0,0,0,0,0,0,0,0.0,951,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.2,3437,0,0,0,0,0,1139,0,0,0,Southampton,Crystal Palace,Burnley,Bournemouth,Man Utd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tammy,Abraham,FWD,SWA,5600000,2,26,3.7,6.607142857142861e-07,4.64285714285714e-06,0,172473,0,6,0,0,0,2,0,4.6,29297,1,0,26,-1,0.7,0,4.0,5,0,3,0,0,6.7,366563,0,0,0,0,535,90133,0,0,77,Huddersfield,Leicester,Arsenal,Brighton,Burnley,2.5,3.4,2.6,4.2,4.4,4.0,4.3,4.7,3.2,2.0,4.7,4.1,3.8,5.3,1.8,3.8,4.0,4.4,4.1,2.4,4.2,4.2,4.0,2.1,3.3,4.0,4.2,3.7,1.8,4.6,4.2,30.4
Charlie,Adam,MID,STK,4800000,0,0,0.0,0.0,0.0,0,4342,0,0,0,0,0,0,0,0.0,378,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,1332,0,0,0,0,0,207,0,0,0,Man City,Bournemouth,Watford,Leicester,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Adam Smith,DEF,BOU,4800000,6,12,1.7,3.5416666666666705e-07,2.5e-06,0,27066,1,10,0,0,0,0,0,2.5,1712,-2,1,12,2,0.6,0,3.0,0,0,1,0,0,0.6,1954,0,0,0,0,550,387,-1,0,95,Tottenham,Stoke,Chelsea,Newcastle,Huddersfield,1.4,0.8,1.1,0.8,1.5,1.2,1.2,1.3,2.0,0.8,1.7,0.8,2.1,1.4,1.0,2.1,0.8,1.1,1.6,1.1,1.5,0.8,1.0,1.8,1.6,2.4,0.8,1.0,1.4,1.0,1.1,16.2
,Adrian,GLK,WHU,4400000,0,0,0.0,0.0,0.0,0,10207,0,0,0,0,0,0,0,0.0,751,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.4,1244,0,0,0,0,0,155,0,0,0,Burnley,Brighton,Crystal Palace,Liverpool,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibrahim,Afellay,MID,STK,4900000,1,2,0.0952380952380952,1.94363459669582e-08,4.08163265306122e-07,0,735,0,2,0,0,0,0,0,0.4,88,-1,0,2,1,0.1,0,0.7,0,0,0,0,0,0.0,473,0,0,0,0,17,176,0,0,6,Man City,Bournemouth,Watford,Leicester,Brighton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Benik,Afobe,FWD,BOU,5700000,1,7,0.33333333333333304,5.84795321637427e-08,1.2280701754386e-06,0,24718,0,3,0,0,0,0,0,1.2,1081,-3,0,7,3,0.2,0,1.0,0,0,0,0,0,0.2,2866,0,0,0,0,177,258,0,0,20,Tottenham,Stoke,Chelsea,Newcastle,Huddersfield,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,10.1
Sergio,Aguero,FWD,MCI,11500000,0,52,8.7,7.56521739130435e-07,4.52173913043478e-06,0,1373452,0,1,0,0,0,6,0,4.5,247203,0,1,52,0,0.9,0,10.3,8,0,4,0,3,6.8,1081382,0,0,0,1,466,18545,-1,0,219,Stoke,Burnley,West Brom,Arsenal,Leicester,0.0,0.0,11.2,13.0,11.1,11.8,10.1,13.0,10.3,13.0,8.7,12.4,11.2,11.9,9.7,10.5,12.2,12.2,12.5,12.2,8.6,9.3,11.0,13.0,11.0,11.0,13.0,9.8,10.1,11.2,13.0,80.0
Nathan,Ake,DEF,BOU,4900000,9,17,2.4,4.89795918367347e-07,3.4693877551020403e-06,0,217593,1,11,0,0,0,0,0,3.5,11836,-1,0,17,1,0.8,0,4.0,4,0,1,0,0,3.9,30164,0,0,0,0,622,2776,0,0,120,Tottenham,Stoke,Chelsea,Newcastle,Huddersfield,2.4,1.5,1.9,1.4,2.5,2.1,2.2,2.2,2.9,1.2,2.8,1.2,3.3,2.4,1.8,3.3,1.2,2.0,2.7,1.9,2.5,1.2,1.8,2.9,2.7,3.4,1.2,1.8,2.4,1.7,1.9,20.1
Marc,Albrighton,MID,LEI,5500000,3,16,2.3,4.18181818181818e-07,2.90909090909091e-06,0,105061,1,9,0,0,0,0,0,2.9,9599,0,0,16,0,0.4,0,2.0,0,0,2,0,1,2.0,112049,0,0,0,0,498,4940,0,0,64,West Brom,Swansea,Everton,Stoke,Man City,2.1,2.6,2.9,1.2,1.3,1.2,1.3,1.8,1.4,1.9,2.5,1.4,1.8,1.2,1.9,1.9,1.3,1.9,2.2,1.2,2.2,2.8,1.2,3.4,1.2,2.4,1.6,1.7,2.0,3.1,1.8,21.1
