FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Rolando,Aarons,MID,NEW,4400000,0,0,0.0,0.0,0.0,0,8909,0,0,0,0,0,0,0,0.0,573,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.2,3906,0,0,0,0,0,452,0,0,0,Crystal Palace,Burnley,Bournemouth,Man Utd,Watford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tammy,Abraham,FWD,SWA,5700000,13,39,4.9,8.596491228070179e-07,6.8421052631578906e-06,0,187897,0,6,0,0,0,4,0,6.8,14933,2,-1,39,-2,1.4,0,7.7,8,0,4,0,0,12.0,653849,0,0,0,1,625,285168,1,0,130,Leicester,Arsenal,Brighton,Burnley,Bournemouth,6.0,3.8,6.8,6.2,6.9,5.8,6.3,5.8,4.2,6.5,6.5,5.2,7.0,3.5,5.7,6.1,7.0,5.8,4.6,5.9,6.7,5.5,4.4,4.4,5.7,6.5,5.5,4.1,6.3,6.8,44.8
Charlie,Adam,MID,STK,4800000,0,0,0.0,0.0,0.0,0,4574,0,0,0,0,0,0,0,0.0,227,-2,0,0,2,0.0,0,0.0,0,0,0,0,0,0.1,1468,0,0,0,0,0,131,0,0,0,Bournemouth,Watford,Leicester,Brighton,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,Adam Smith,DEF,BOU,4800000,1,13,1.6,3.3333333333333304e-07,2.70833333333333e-06,0,28128,2,11,0,0,0,0,0,2.7,1027,-2,0,13,2,0.6,0,2.7,0,0,1,0,0,0.5,2233,0,0,0,0,624,273,0,0,100,Stoke,Chelsea,Newcastle,Huddersfield,Swansea,0.8,1.1,0.8,1.6,0.8,1.1,1.0,1.8,0.8,1.5,0.8,1.9,1.1,0.9,1.9,0.8,1.0,1.5,0.9,1.3,0.8,1.1,1.7,1.3,2.4,0.8,1.1,1.0,0.9,0.9,18.7
,Adrian,GLK,WHU,4400000,0,0,0.0,0.0,0.0,0,10847,0,0,0,0,0,0,0,0.0,635,-1,0,0,1,0.0,0,0.0,0,0,0,0,0,0.4,1323,0,0,0,0,0,76,0,0,0,Brighton,Crystal Palace,Liverpool,Watford,Leicester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibrahim,Afellay,MID,STK,4900000,0,2,0.0833333333333333,1.70068027210884e-08,4.08163265306122e-07,0,809,1,6,0,0,0,0,0,0.4,73,-1,0,2,1,0.1,0,0.7,0,0,0,0,0,0.0,583,0,0,0,0,62,109,0,0,4,Bournemouth,Watford,Leicester,Brighton,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
Benik,Afobe,FWD,BOU,5700000,0,7,0.29166666666666696,5.1169590643274906e-08,1.2280701754386e-06,0,25407,0,3,0,0,0,0,0,1.2,674,-3,0,7,3,0.1,0,0.7,0,0,0,0,0,0.2,3030,0,0,0,0,177,163,0,0,20,Stoke,Chelsea,Newcastle,Huddersfield,Swansea,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,10.1
Sergio,Aguero,FWD,MCI,11500000,0,52,8.7,7.56521739130435e-07,4.52173913043478e-06,0,1393897,0,1,0,0,0,6,0,4.5,18125,0,0,52,0,0.3,0,3.7,8,0,4,0,3,9.3,1233272,0,0,0,1,466,151276,0,0,219,Burnley,West Brom,Arsenal,Leicester,Huddersfield,10.6,11.3,13.0,11.2,11.5,10.1,13.0,9.9,12.3,9.0,12.5,11.4,11.4,9.9,10.8,11.9,12.0,12.5,12.1,9.0,10.0,11.0,12.8,11.4,11.2,12.4,10.2,10.3,11.7,13.0,80.0
Nathan,Ake,DEF,BOU,4900000,2,19,2.4,4.89795918367347e-07,3.8775510204081595e-06,0,224032,1,12,0,0,0,0,0,3.9,6131,-1,0,19,1,0.8,0,4.0,4,0,1,0,0,3.8,32095,0,0,0,0,712,1891,0,0,134,Stoke,Chelsea,Newcastle,Huddersfield,Swansea,1.4,2.1,1.4,2.8,1.5,2.1,2.0,2.6,1.2,2.7,1.2,3.3,2.1,1.8,3.2,1.3,1.9,2.7,1.8,2.4,1.2,2.1,3.0,2.4,3.6,1.3,2.1,2.0,1.8,1.8,22.6
Marc,Albrighton,MID,LEI,5500000,1,17,2.1,3.8181818181818203e-07,3.09090909090909e-06,0,113093,2,10,0,0,0,0,0,3.1,7850,0,0,17,0,0.3,0,1.7,0,0,2,0,1,1.9,113191,0,0,0,0,588,1016,0,0,79,Swansea,Everton,Stoke,Man City,West Ham,1.9,2.5,1.0,1.0,1.1,1.1,1.6,1.3,1.6,2.2,1.4,1.4,1.0,1.9,1.5,1.1,1.7,1.9,1.0,2.0,2.5,1.0,2.9,1.0,2.0,1.4,1.5,1.5,2.6,1.3,25.1
Toby,Alderweireld,DEF,TOT,6000000,7,34,4.3,7.16666666666667e-07,5.66666666666667e-06,0,242426,3,5,0,0,0,0,0,5.7,14850,0,0,34,0,0.8,0,4.7,3,0,5,0,0,12.3,143043,0,0,0,0,720,18041,0,0,174,Liverpool,Man Utd,Crystal Palace,Arsenal,West Brom,4.8,3.9,5.3,3.6,5.2,4.2,6.4,4.7,5.8,4.3,5.7,3.4,5.9,5.2,3.7,6.0,3.6,4.6,5.7,6.0,4.9,5.0,4.2,5.9,4.9,2.6,5.7,3.8,5.7,3.7,24.9
Trent,Alexander-Arnold,DEF,LIV,4300000,0,1,0.0416666666666667,9.68992248062015e-09,2.3255813953488398e-07,0,126648,2,8,0,0,0,0,0,0.2,7282,-2,1,1,2,0.0,0,0.0,0,0,0,0,0,1.3,65784,0,0,0,0,270,1100,-1,0,38,Tottenham,Huddersfield,West Ham,Southampton,Chelsea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7
